Name,xMLBAMID,Team,Season,IP,G,GS,W,L,SO,BB,HBP,ERA,WHIP,HR,R,ER,H,SV,HLD,QS,K/BB,BS,TBF
"<a href=""statss.aspx?playerid=17425&position=P"">Erick Fedde</a>",607200,- - -,2024,177.1,31,31,9,9,154,52,5,3.298872275069166,1.1616541686568345,20,66,65,154,0,0,13,2.96153846,0,726
"<a href=""statss.aspx?playerid=12730&position=P"">Nick Martinez</a>",607259,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=18&rost=0&age=0"">CIN</a>",2024,142.1,42,16,10,7,116,18,5,3.098360766457221,1.0257611607772206,13,56,49,128,0,6,6,6.44444444,0,570
"<a href=""statss.aspx?playerid=13743&position=P"">Max Fried</a>",608331,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,174.1,29,29,11,10,166,57,7,3.2523901522515013,1.1644359804357227,13,71,63,146,0,0,16,2.9122807,0,714
"<a href=""statss.aspx?playerid=17479&position=P"">Jack Flaherty</a>",656427,- - -,2024,162,28,28,13,7,194,38,4,3.166666741233796,1.0679012597143211,24,61,57,135,0,0,15,5.10526316,0,649
"<a href=""statss.aspx?playerid=14078&position=P"">Michael Wacha</a>",608379,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=7&rost=0&age=0"">KCR</a>",2024,166.2,29,29,13,8,145,45,5,3.3480002043457158,1.194000072875981,17,65,62,154,0,0,14,3.22222222,0,685
"<a href=""statss.aspx?playerid=30134&position=P"">Tanner Bibee</a>",676440,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,173.2,31,31,12,8,187,44,8,3.4721691093324223,1.1170825990223714,22,70,67,150,0,0,12,4.25,0,710
"<a href=""statss.aspx?playerid=17085&position=P"">Pablo Lopez</a>",641154,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,185.1,32,32,15,10,198,41,8,4.079136802594762,1.192446075890797,26,90,84,180,0,0,18,4.82926829,0,772
"<a href=""statss.aspx?playerid=22201&position=P"">MacKenzie Gore</a>",669022,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=24&rost=0&age=0"">WSN</a>",2024,166.1,32,32,10,12,181,65,11,3.895791702294717,1.418837718736965,15,93,72,171,0,0,11,2.78461538,0,731
"<a href=""statss.aspx?playerid=25880&position=P"">Hunter Brown</a>",686613,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=21&rost=0&age=0"">HOU</a>",2024,170,31,30,11,9,179,60,5,3.4941176470588236,1.2705882352941176,18,71,66,156,0,0,19,2.98333333,0,712
"<a href=""statss.aspx?playerid=21390&position=P"">Joe Ryan</a>",657746,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,135,23,23,7,7,147,23,5,3.6,0.9851851851851852,19,59,54,110,0,0,13,6.39130435,0,538
"<a href=""statss.aspx?playerid=27782&position=P"">Brandon Pfaadt</a>",694297,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=15&rost=0&age=0"">ARI</a>",2024,181.2,32,32,11,10,185,42,4,4.706422281887357,1.2385321794440414,24,103,95,183,0,0,13,4.4047619,0,760
"<a href=""statss.aspx?playerid=16149&position=P"">Aaron Nola</a>",605400,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,199.1,33,33,14,8,197,50,3,3.5668897231211,1.1989966861124373,30,84,79,189,0,0,20,3.94,0,820
"<a href=""statss.aspx?playerid=33829&position=P"">Shota Imanaga</a>",684007,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,173.1,29,29,15,3,174,28,3,2.907692393015125,1.021153876118407,27,66,56,149,0,0,19,6.21428571,0,694
"<a href=""statss.aspx?playerid=13543&position=P"">Blake Snell</a>",605483,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=30&rost=0&age=0"">SFG</a>",2024,104,20,20,5,3,145,44,1,3.1153846153846154,1.0480769230769231,6,38,36,65,0,0,10,3.29545455,0,418
"<a href=""statss.aspx?playerid=17874&position=P"">Nestor Cortes</a>",641482,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,174.1,31,30,9,10,162,39,4,3.768642454290741,1.1529636732305006,24,74,73,162,0,0,13,4.15384615,0,710
"<a href=""statss.aspx?playerid=17312&position=P"">Justin Steele</a>",657006,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,134.2,24,24,5,5,135,37,4,3.07425765796757,1.0990099840077303,12,54,46,111,0,0,11,3.64864865,0,555
"<a href=""statss.aspx?playerid=14107&position=P"">Kevin Gausman</a>",592332,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=14&rost=0&age=0"">TOR</a>",2024,181,31,31,14,11,162,56,2,3.8287292817679557,1.2209944751381216,20,86,77,165,0,0,16,2.89285714,0,756
"<a href=""statss.aspx?playerid=21224&position=P"">Bailey Ober</a>",641927,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,178.2,31,31,12,9,191,43,6,3.9794778385149736,1.0018657286837978,27,81,79,136,0,0,18,4.44186047,0,709
"<a href=""statss.aspx?playerid=33825&position=P"">Yoshinobu Yamamoto</a>",808967,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,90,18,18,7,2,105,22,1,3,1.1111111111111112,7,32,30,78,0,0,7,4.77272727,0,368
"<a href=""statss.aspx?playerid=19291&position=P"">Zac Gallen</a>",668678,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=15&rost=0&age=0"">ARI</a>",2024,148,28,28,14,6,156,54,4,3.6486486486486487,1.2635135135135136,13,62,60,133,0,0,12,2.88888889,0,621
"<a href=""statss.aspx?playerid=13774&position=P"">Zach Eflin</a>",621107,- - -,2024,165.1,28,28,10,9,134,24,3,3.592741963115369,1.1491935572254546,22,71,66,166,0,0,13,5.58333333,0,684
"<a href=""statss.aspx?playerid=15873&position=P"">Sean Manaea</a>",640455,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=25&rost=0&age=0"">NYM</a>",2024,181.2,32,32,12,6,184,63,9,3.4678901024433157,1.0844037304465606,21,75,70,134,0,0,15,2.92063492,0,738
"<a href=""statss.aspx?playerid=29837&position=P"">Bryce Miller</a>",682243,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=11&rost=0&age=0"">SEA</a>",2024,180.1,31,31,12,8,171,45,3,2.9445472179856282,0.9759704526656696,21,62,59,131,0,0,18,3.8,0,704
"<a href=""statss.aspx?playerid=27867&position=P"">Cade Smith</a>",671922,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,75.1,74,0,6,1,103,17,3,1.9115047474253068,0.9026550196175059,1,16,16,51,1,26,0,6.05882353,2,289
"<a href=""statss.aspx?playerid=31846&position=P"">Spencer Schwellenbach</a>",680885,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,123.2,21,21,8,7,127,23,6,3.3477089637223516,1.0431267060873994,14,49,46,106,0,0,12,5.52173913,0,500
"<a href=""statss.aspx?playerid=9132&position=P"">Nathan Eovaldi</a>",543135,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=13&rost=0&age=0"">TEX</a>",2024,170.2,29,29,12,8,166,42,7,3.796875226311399,1.1074219410074915,23,74,72,147,0,0,16,3.95238095,0,696
"<a href=""statss.aspx?playerid=20253&position=P"">Griffin Jax</a>",643377,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=8&rost=0&age=0"">MIN</a>",2024,71,72,0,5,5,95,15,2,2.0281692320239895,0.8732395304547732,4,19,16,47,10,24,0,6.33333333,6,276
"<a href=""statss.aspx?playerid=24968&position=P"">Reese Olson</a>",681857,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=6&rost=0&age=0"">DET</a>",2024,112.1,22,22,4,8,101,33,4,3.5252227115448953,1.183976314736038,7,51,44,100,0,0,9,3.06060606,0,465
"<a href=""statss.aspx?playerid=21446&position=P"">Ryan Feltner</a>",663372,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=19&rost=0&age=0"">COL</a>",2024,162.1,30,30,3,10,138,52,7,4.490759894298887,1.336755688700766,20,94,81,165,0,0,13,2.65384615,0,692
"<a href=""statss.aspx?playerid=25377&position=P"">Brady Singer</a>",663903,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=7&rost=0&age=0"">KCR</a>",2024,179.2,32,32,9,13,170,54,10,3.7068647738859655,1.2745826324622913,22,77,74,175,0,0,13,3.14814815,0,762
"<a href=""statss.aspx?playerid=27636&position=P"">Mitchell Parker</a>",680730,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=24&rost=0&age=0"">WSN</a>",2024,151,29,29,7,10,133,43,2,4.291390728476821,1.304635761589404,18,82,72,154,0,0,11,3.09302326,0,646
"<a href=""statss.aspx?playerid=11674&position=P"">Jameson Taillon</a>",592791,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=17&rost=0&age=0"">CHC</a>",2024,165.1,28,28,12,8,125,33,1,3.266129132736241,1.1310484218919945,21,67,60,154,0,0,16,3.78787879,0,675
"<a href=""statss.aspx?playerid=31757&position=P"">Mason Miller</a>",695243,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=10&rost=0&age=0"">OAK</a>",2024,65,55,0,2,2,104,21,1,2.492307984843091,0.8769231798521987,6,23,18,36,28,0,0,4.95238095,3,249
"<a href=""statss.aspx?playerid=12304&position=P"">Chris Bassitt</a>",605135,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=14&rost=0&age=0"">TOR</a>",2024,171,31,31,10,14,168,70,16,4.157894736842105,1.4619883040935673,18,91,79,180,0,0,12,2.4,0,758
"<a href=""statss.aspx?playerid=15689&position=P"">Luis Castillo</a>",622491,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=11&rost=0&age=0"">SEA</a>",2024,175.1,30,30,11,12,175,47,5,3.6444867977385083,1.1692015548300378,25,73,71,158,0,0,18,3.72340426,0,719
"<a href=""statss.aspx?playerid=18679&position=P"">Freddy Peralta</a>",642547,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=23&rost=0&age=0"">MIL</a>",2024,173.2,32,32,11,9,200,68,10,3.6794627875015222,1.214971280380002,26,74,71,143,0,0,11,2.94117647,0,725
"<a href=""statss.aspx?playerid=15823&position=P"">Zack Littell</a>",641793,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=12&rost=0&age=0"">TBR</a>",2024,156.1,29,29,8,10,141,31,5,3.626865789640896,1.247334795379144,22,68,63,164,0,0,10,4.5483871,0,656
"<a href=""statss.aspx?playerid=18138&position=P"">Ryan Helsley</a>",664854,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=28&rost=0&age=0"">STL</a>",2024,66.1,65,0,7,4,79,23,0,2.0351760354488535,1.100502596946417,3,19,15,50,49,0,0,3.43478261,4,266
"<a href=""statss.aspx?playerid=21032&position=P"">Emmanuel Clase</a>",661403,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=5&rost=0&age=0"">CLE</a>",2024,74.1,74,0,4,2,66,10,2,0.605381145207661,0.6591928025594531,2,10,5,39,47,0,0,6.6,3,270
"<a href=""statss.aspx?playerid=30279&position=P"">Bryan Woo</a>",693433,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=11&rost=0&age=0"">SEA</a>",2024,121.1,22,22,9,3,101,13,3,2.8928572641249968,0.8983516860103266,14,41,39,96,0,0,10,7.76923077,0,472
"<a href=""statss.aspx?playerid=19407&position=P"">Ronel Blanco</a>",669854,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=21&rost=0&age=0"">HOU</a>",2024,167.1,30,29,13,6,166,68,2,2.7968128340158906,1.087649435450624,22,56,52,114,0,0,14,2.44117647,0,676
"<a href=""statss.aspx?playerid=15423&position=P"">Andrew Heaney</a>",571760,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=13&rost=0&age=0"">TEX</a>",2024,160,32,31,5,14,159,41,12,4.27500028029086,1.250000081956392,23,84,76,159,0,0,7,3.87804878,0,693
"<a href=""statss.aspx?playerid=17594&position=P"">Mitch Keller</a>",656605,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=27&rost=0&age=0"">PIT</a>",2024,178,31,31,11,12,166,50,15,4.247191011235955,1.303370786516854,23,90,84,182,0,0,15,3.32,0,773
"<a href=""statss.aspx?playerid=26253&position=P"">Ryne Nelson</a>",669194,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=15&rost=0&age=0"">ARI</a>",2024,150.2,28,25,10,6,126,34,5,4.241150728826656,1.2544248634557715,17,73,71,155,1,0,12,3.70588235,0,630
"<a href=""statss.aspx?playerid=27792&position=P"">Gavin Stone</a>",694813,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,140.1,25,25,11,5,116,37,2,3.527316042333899,1.2114014690843693,18,55,55,133,0,0,10,3.13513514,0,580
"<a href=""statss.aspx?playerid=22191&position=P"">Tobias Myers</a>",668964,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=23&rost=0&age=0"">MIL</a>",2024,138,27,25,9,6,127,36,5,3,1.173913043478261,18,52,46,126,0,0,7,3.52777778,0,569
"<a href=""statss.aspx?playerid=15890&position=P"">Luis Severino</a>",622663,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=25&rost=0&age=0"">NYM</a>",2024,182,31,31,11,7,161,60,11,3.9065934065934065,1.2417582417582418,23,86,79,166,0,0,14,2.68333333,0,761
"<a href=""statss.aspx?playerid=21052&position=P"">Luis Gil</a>",661563,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=9&rost=0&age=0"">NYY</a>",2024,151.2,29,29,15,7,171,77,8,3.501099135923223,1.1934066734502888,18,60,59,104,0,0,10,2.22077922,0,637
"<a href=""statss.aspx?playerid=13799&position=P"">Matt Strahm</a>",621381,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,62.2,66,0,6,2,79,11,6,1.8670214660138744,0.7500000760910436,4,14,13,36,3,18,0,7.18181818,6,237
"<a href=""statss.aspx?playerid=17432&position=P"">Jeff Hoffman</a>",656546,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,66.1,68,0,3,3,89,16,3,2.1708544378121104,0.9648241945831602,6,20,16,48,10,21,0,5.5625,3,265
"<a href=""statss.aspx?playerid=24492&position=P"">Grayson Rodriguez</a>",680570,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=2&rost=0&age=0"">BAL</a>",2024,116.2,20,20,13,4,130,36,5,3.857142941221901,1.2428571699492792,15,52,50,109,0,0,11,3.61111111,0,491
"<a href=""statss.aspx?playerid=15454&position=P"">Nick Pivetta</a>",601713,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=3&rost=0&age=0"">BOS</a>",2024,145.2,27,26,6,12,172,36,1,4.139588389771652,1.1258582021932853,28,70,67,128,0,0,11,4.77777778,0,595
"<a href=""statss.aspx?playerid=26378&position=P"">Nick Lodolo</a>",666157,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=18&rost=0&age=0"">CIN</a>",2024,115.1,21,21,9,6,122,37,18,4.760115816860124,1.1965318446752227,13,62,61,101,0,0,8,3.2972973,0,493
"<a href=""statss.aspx?playerid=23920&position=P"">Brayan Bello</a>",678394,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=3&rost=0&age=0"">BOS</a>",2024,162.1,30,30,14,8,153,64,11,4.490759894298887,1.3613963465570014,19,84,81,157,0,0,10,2.390625,0,702
"<a href=""statss.aspx?playerid=16977&position=P"">Trevor Williams</a>",592866,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=24&rost=0&age=0"">WSN</a>",2024,66.2,13,13,6,1,59,18,0,2.0250000772476224,1.0350000394821182,3,17,15,51,0,0,1,3.27777778,0,260
