Name,xMLBAMID,Team,Season,IP,G,GS,W,L,SO,BB,HBP,ERA,WHIP,HR,R,ER,H,SV,HLD,QS,K/BB,BS,TBF
"<a href=""statss.aspx?playerid=10603&position=P"">Chris Sale</a>",519242,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,177.2,29,29,18,3,225,39,8,2.380863175718908,1.0131332662633652,9,48,47,141,0,0,18,5.76923077,0,702
"<a href=""statss.aspx?playerid=22267&position=P"">Tarik Skubal</a>",669373,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=6&rost=0&age=0"">DET</a>",2024,192,31,31,18,4,228,35,9,2.390625,0.921875,15,54,51,142,0,0,22,6.51428571,0,753
"<a href=""statss.aspx?playerid=10310&position=P"">Zack Wheeler</a>",554430,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,200,32,32,16,7,224,52,8,2.565,0.955,20,62,57,139,0,0,26,4.30769231,0,787
"<a href=""statss.aspx?playerid=21846&position=P"">Cole Ragans</a>",666142,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=7&rost=0&age=0"">KCR</a>",2024,186.1,32,32,11,9,223,67,6,3.1395349694195023,1.143112732455306,15,71,65,146,0,0,21,3.32835821,0,762
"<a href=""statss.aspx?playerid=18525&position=P"">Dylan Cease</a>",656302,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=29&rost=0&age=0"">SDP</a>",2024,189.1,33,33,14,11,224,65,2,3.470070515755412,1.066901437112014,18,80,73,137,0,0,16,3.44615385,0,762
"<a href=""statss.aspx?playerid=12447&position=P"">Seth Lugo</a>",607625,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=7&rost=0&age=0"">KCR</a>",2024,206.2,33,33,16,9,181,48,9,3.004838857581298,1.0887097310077165,16,75,69,177,0,0,22,3.77083333,0,836
"<a href=""statss.aspx?playerid=20778&position=P"">Cristopher Sanchez</a>",650911,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,181.2,31,31,11,9,153,44,0,3.319266240910031,1.244036766908237,11,76,67,182,0,0,17,3.47727273,0,754
"<a href=""statss.aspx?playerid=27463&position=P"">Garrett Crochet</a>",676979,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=4&rost=0&age=0"">CHW</a>",2024,146,32,32,6,12,209,33,5,3.5753424657534247,1.0684931506849316,18,61,58,123,0,0,11,6.33333333,0,595
"<a href=""statss.aspx?playerid=17995&position=P"">Logan Webb</a>",657277,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=30&rost=0&age=0"">SFG</a>",2024,204.2,33,33,13,10,172,50,2,3.473941540743131,1.2312704195038946,11,83,79,202,0,0,20,3.44,0,841
"<a href=""statss.aspx?playerid=33677&position=P"">Paul Skenes</a>",694973,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=27&rost=0&age=0"">PIT</a>",2024,133,23,23,11,3,170,32,6,1.962406015037594,0.9473684210526315,10,31,29,94,0,0,15,5.3125,0,514
"<a href=""statss.aspx?playerid=25436&position=P"">George Kirby</a>",669923,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=11&rost=0&age=0"">SEA</a>",2024,191,33,33,14,11,179,23,7,3.5340314136125652,1.068062827225131,22,82,75,181,0,0,20,7.7826087,0,778
"<a href=""statss.aspx?playerid=22250&position=P"">Logan Gilbert</a>",669302,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=11&rost=0&age=0"">SEA</a>",2024,208.2,33,33,9,12,220,37,4,3.2348244388482548,0.8865815128695217,26,83,75,148,0,0,22,5.94594595,0,803
"<a href=""statss.aspx?playerid=19853&position=P"">Michael King</a>",650633,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=29&rost=0&age=0"">SDP</a>",2024,173.2,31,30,13,9,201,63,7,2.9539348328033785,1.191938616745223,17,71,57,144,0,0,14,3.19047619,0,726
"<a href=""statss.aspx?playerid=14374&position=P"">Tyler Glasnow</a>",607192,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=22&rost=0&age=0"">LAD</a>",2024,134,22,22,9,6,168,35,0,3.4925373134328357,0.9477611940298507,15,53,52,92,0,0,14,4.8,0,522
"<a href=""statss.aspx?playerid=19879&position=P"">Tanner Houck</a>",656557,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=3&rost=0&age=0"">BOS</a>",2024,178.2,30,30,9,10,154,48,16,3.1231345061763083,1.141791109784887,11,75,62,156,0,0,19,3.20833333,0,743
"<a href=""statss.aspx?playerid=19361&position=P"">Corbin Burnes</a>",669203,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=2&rost=0&age=0"">BAL</a>",2024,194.1,32,32,15,9,181,48,2,2.917667314785712,1.0960549171946325,22,76,63,165,0,0,22,3.77083333,0,784
"<a href=""statss.aspx?playerid=12768&position=P"">Sonny Gray</a>",543243,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=28&rost=0&age=0"">STL</a>",2024,166.1,28,28,13,9,203,39,3,3.8416834842072904,1.0881763859804687,21,79,71,142,0,0,13,5.20512821,0,671
"<a href=""statss.aspx?playerid=22182&position=P"">Hunter Greene</a>",668881,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=18&rost=0&age=0"">CIN</a>",2024,150.1,26,26,9,5,169,57,19,2.75388035924807,1.0177383936351563,12,47,46,96,0,0,13,2.96491228,0,611
"<a href=""statss.aspx?playerid=17295&position=P"">Framber Valdez</a>",664285,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=21&rost=0&age=0"">HOU</a>",2024,176.1,28,28,15,7,169,55,6,2.9092628438408847,1.1058601453196346,13,60,57,140,0,0,17,3.07272727,0,703
"<a href=""statss.aspx?playerid=20633&position=P"">Yusei Kikuchi</a>",579328,- - -,2024,175.2,32,32,9,10,206,44,2,4.047438476657994,1.2011385633963947,25,85,79,167,0,0,12,4.68181818,0,736
"<a href=""statss.aspx?playerid=16400&position=P"">Reynaldo Lopez</a>",625643,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=16&rost=0&age=0"">ATL</a>",2024,135.2,26,25,8,5,148,42,2,1.9901719155586892,1.1056510641992718,10,32,30,108,0,1,14,3.52380952,0,543
"<a href=""statss.aspx?playerid=17277&position=P"">Ranger Suarez</a>",624133,"<a href=""leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=0&team=26&rost=0&age=0"">PHI</a>",2024,150.2,27,27,12,8,145,41,5,3.4646020038302265,1.201327514738067,14,63,58,140,0,0,11,3.53658537,0,626
