Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TEX,Rangers,10.7932,7.86222,24.9361,24.9361,0,0.171083,0,153.424,625.04,134.948,67.8485,62.4206,18.0742,148.753,37.3174,0.951518,6.30953,3.66164,1.1228,8.72598,2.18907,3.98616,1.06025,0.23799,0.0597041,0.1782858446240425,,0.232103,0.281904,0.710504,3.58056,728.8,4.7633986928104575,700,4.57516339869281,2.91848,2.56447,4.28117,0.472886,0.80104,13.0311,4.28117,-0.472886,3.93195,134.66000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
BAL,Orioles,8.00135,6.74896,24.2254,24.2254,0,0,0,135.519,560.622,117.066,59.1013,54.3732,15.2709,146.41,43.1934,0.526651,6.00178,3.61099,1.18256,9.72327,2.86852,3.38964,1.01416,0.261156,0.0770454,0.1841108575463295,,0.228901,0.291054,0.728384,3.52834,662.7,4.872794117647059,630,4.632352941176471,2.9026,2.43408,2.62538,-0.181118,0.53884,10.2499,2.62538,0.181118,4.28155,73.29000091552734,2,AL,Kyle Bradish,680694,24586,24586
NYM,Mets,12.0956,8.61754,28.5095,28.5095,0,0,0,164.756,683.362,135.741,74.824,68.8381,21.8976,183.589,60.6755,0.632902,7.50524,3.76037,1.19217,10.0288,3.31447,3.02575,1.19618,0.268655,0.0887897,0.17986531555652618,,0.220653,0.277874,0.733546,3.87583,757.8000000000001,4.592727272727273,700,4.242424242424242,2.88936,2.81417,3.1629,0.0279887,1.02423,12.3825,3.1629,-0.0279887,3.63436,56.54999923706055,25,NL,Freddy Peralta,642547,18679,18679
SDP,Padres,10.0596,8.36691,27.396,27.396,0,0,0.651199,156.377,654.748,137.9,70.4228,64.7889,20.253,163.314,54.8678,1.65667,6.92337,3.72881,1.23271,9.39926,3.15782,2.9765,1.16563,0.24943,0.0837998,0.16563057899475098,,0.232564,0.287372,0.74413,3.91552,689.6000000000001,4.420512820512822,660,4.230769230769231,2.78949,2.75821,2.77192,-0.0605699,0.800167,11.0972,2.77192,0.0605699,3.93311,128.80999755859375,29,NL,Michael King,650633,19853,19853
TBR,Rays,9.59247,7.6438,28.2271,28.2271,0.0517561,0,0,151.437,620.132,135.769,66.1558,60.8633,16.8855,138.503,38.6689,0.801002,5.01157,3.61714,1.15188,8.23133,2.29812,3.58177,1.00351,0.223345,0.062356,0.16098883748054504,,0.235526,0.282342,0.71806,3.62079,700.7000000000002,4.6403973509933785,680,4.503311258278146,2.77308,2.85725,3.23178,0.565364,0.622819,10.0726,3.23178,-0.565364,4.16957,134.67999267578125,12,AL,Drew Rasmussen,656876,25385,25385
MIL,Brewers,9.62652,7.28797,24.4446,24.4446,0,0,0,141.725,577.41,121.166,63.9809,58.8625,20.1374,150.296,38.2099,0.479759,5.61424,3.73796,1.12454,9.54428,2.42645,3.93343,1.27879,0.260293,0.0661746,0.1941184625029564,,0.227079,0.278199,0.727187,3.78899,658.1999999999999,4.635211267605634,618,4.352112676056338,2.74463,2.5076,2.15502,-0.627833,0.734505,10.7084,2.15502,0.627833,4.02066,140.5,23,NL,Brandon Woodruff,605540,16162,16162
LAA,Angels,9.95974,10.0646,29.2952,29.2952,0,0,0.198857,169.584,727.399,152.125,77.1083,70.9396,14.4726,157.418,72.7748,1.31226,9.01106,3.76485,1.32619,8.35437,3.86224,2.16309,0.768077,0.216412,0.100048,0.11636453866958618,,0.235629,0.290576,0.722209,3.83488,758.5999999999999,4.46235294117647,736,4.329411764705882,2.73839,2.90504,2.01709,-0.579339,1.25305,12.9425,2.01709,0.579339,3.32927,326.82000732421875,1,AL,José Soriano,667755,22100,22100
CIN,Reds,7.10013,7.30184,22.4076,27.72,0,0.397854,0,124.481,510.628,105.884,53.9677,49.6502,16.5801,146.983,39.1524,0.79936,3.35218,3.58973,1.16513,10.6269,2.83073,3.75413,1.19874,0.287848,0.076675,0.21117285639047623,,0.226189,0.293223,0.747542,3.52948,600.8999999999999,4.845967741935483,567,4.57258064516129,2.72837,2.63877,3.91479,-0.327351,0.581329,9.16774,3.91479,0.327351,4.22489,105,18,NL,Chase Burns,695505,35333,35333
MIA,Marlins,8.79962,8.53043,26.7433,26.7433,0,0,0,143.6,589.858,119.521,67.7359,62.317,20.0228,159.786,47.6665,0.610638,4.79354,3.90566,1.16426,10.0144,2.98745,3.35216,1.25491,0.270888,0.0808102,0.19007814675569534,,0.222407,0.278248,0.71468,3.81832,668.6000000000001,4.643055555555557,621,4.3125,2.61244,2.36176,2.65085,-0.226036,0.714396,9.1662,2.65085,0.226036,4.04747,80.36000061035156,20,NL,Eury Pérez,691587,27768,27768
DET,Tigers,9.96976,9.82911,27.7721,27.7721,0,0,0,157.323,660.612,142.031,76.9015,70.7494,21.249,173.288,54.0345,1.07633,6.73652,4.04737,1.24626,9.91331,3.09116,3.20699,1.21559,0.262314,0.0817945,0.18051980435848236,,0.236781,0.298003,0.716487,3.84688,697.3,4.44140127388535,675,4.2993630573248405,2.59229,1.99276,2.85718,-0.27437,1.0335,11.6811,2.85718,0.27437,3.622,211.57000732421875,6,AL,Jack Flaherty,656427,17479,17479
