Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
,,4.36102,6.27799,15.2894,17.0669,0,0,0,85.212,370.114,91.2986,50.2429,46.2234,13.0251,68.1629,28.5071,0.637506,2.34141,4.88207,1.40597,7.19929,3.01089,2.39109,1.3757,0.184167,0.0770224,0.10714483261108398,,0.269107,0.303294,0.684872,4.60848,275.5,3.2411764705882353,299,3.5176470588235293,0.617004,0.280504,3.33101,-0.184016,0.468328,4.58751,3.33101,0.184016,4.37556,999,-1,,Patrick Corbin,571578,9323,9323
TBR,Rays,3.73495,3.56306,0,62.2292,7.55525,17.6105,4.06772,61.8036,254.859,47.3284,25.1312,23.1207,7.11202,75.1667,22.5734,0.842096,4.20894,3.3669,1.13103,10.946,3.2872,3.32988,1.03567,0.294934,0.0885721,0.20636220276355743,,0.207511,0.275836,0.746861,3.49871,431.49999999999994,6.959677419354838,400,6.451612903225806,0.611667,0.761436,1.92191,-0.316663,0.918964,0,1.92191,0.316663,3.77472,513.7899780273438,12,AL,Garrett Cleavinger,664076,17897,17897
TOR,Blue Jays,4.42816,3.9474,0,60.8959,26.1404,2.91843,4.65606,61.7516,254.43,49.275,26.772,24.6302,8.26096,73.5564,22.1512,1.40243,3.30657,3.58974,1.15667,10.7205,3.22842,3.32066,1.20399,0.289103,0.0870619,0.202040895819664,,0.215201,0.278713,0.745967,3.72869,448,7.225806451612903,421,6.790322580645161,0.610759,0.495769,2.09525,-2.40775,1.68861,0,2.09525,2.40775,2.74852,101.12000274658203,14,AL,Jeff Hoffman,656546,17432,17432
BAL,Orioles,3.93055,3.51154,0,60.0727,29.14,1.37396,6.85527,62.4899,259.532,52.51,26.683,24.5484,7.09376,70.363,23.2215,1.84598,1.95446,3.53554,1.2119,10.1339,3.34444,3.03008,1.02167,0.271115,0.0894748,0.1816406026482582,,0.224061,0.289462,0.745415,3.56754,448.8999999999999,7.24032258064516,433,6.983870967741935,0.590135,0.471725,2.58945,-2.96173,1.92139,0,2.58945,2.96173,2.43815,85.54000091552734,2,AL,Ryan Helsley,664854,18138,18138
LAD,Dodgers,4.23362,3.67303,0,61.6725,5.01078,18.9367,6.14929,63.28,264.967,52.0859,27.0764,24.9103,6.87787,71.0523,25.6261,1.76634,3.1098,3.54287,1.22807,10.1054,3.64467,2.77265,0.978205,0.268156,0.0967144,0.17144115269184113,,0.220487,0.285583,0.743733,3.66477,400.90000000000003,6.363492063492064,380,6.031746031746032,0.586098,0.608218,1.52487,1.01781,0.704199,0,1.52487,-1.01781,4.06107,718.5499877929688,22,NL,Tanner Scott,656945,17586,17586
LAD,Dodgers,3.92761,3.08421,0,60.974,2.21309,21.9612,3.01313,60.8057,251.178,46.7193,26.129,24.0387,8.19401,75.4988,24.6464,1.95598,2.86753,3.55802,1.17367,11.1748,3.64798,3.06327,1.21282,0.300579,0.0981234,0.20245541632175446,,0.208882,0.275237,0.755278,3.76117,394.8000000000001,6.472131147540986,365,5.983606557377049,0.583496,0.603651,1.34706,0.73054,0.72162,0,1.34706,-0.73054,4.03784,744.719970703125,22,NL,Alex Vesia,681911,25007,25007
ATL,Braves,3.35842,2.62077,0.126338,56.1776,0.170436,8.74798,1.14456,59.8276,255.314,55.129,26.7204,24.5827,4.40241,60.7648,21.5857,2.11251,4.50108,3.69803,1.28226,9.14098,3.24718,2.81505,0.662264,0.238,0.0845456,0.1534544751048088,,0.240499,0.309195,0.708624,3.36851,328.8,5.48,325,5.416666666666667,0.576924,0.491627,1.71547,-1.24326,0.686772,0,1.71547,1.24326,4.0843,999,16,NL,Aaron Bummer,607481,16258,16258
COL,Rockies,6.05272,8.4095,20.2447,20.2447,0,0,0,114.792,501.587,134.445,73.3634,67.4943,21.9354,73.6022,28.0429,1.05191,5.0553,5.29174,1.4155,5.77062,2.19864,2.62463,1.71979,0.146739,0.0559083,0.09083034098148346,,0.286975,0.301673,0.676321,5.20192,281,2.4434782608695653,338,2.9391304347826086,0.57597,0.813593,5.70255,0.246055,1.29118,6.31318,5.70255,-0.246055,3.27843,999,19,NL,Tomoyuki Sugano,608372,35321,35321
CHC,Cubs,5.06706,4.49854,8.44484,36.47,0.11188,0.70149,0,81.858,346.771,81.8884,42.5782,39.1719,11.9544,66.7368,23.0598,0.389221,3.61638,4.30682,1.28208,7.33748,2.53534,2.89408,1.31434,0.192452,0.0664985,0.12595339864492416,,0.255825,0.289697,0.707046,4.38073,303.00000000000006,3.695121951219513,311,3.792682926829268,0.571922,0.467347,1.75374,0.477928,0.292412,4.02108,1.75374,-0.477928,4.61012,747.5800170898438,17,NL,Colin Rea,607067,12317,12317
BOS,Red Sox,4.32822,4.12667,6.12189,36.8924,0,1.24022,0,70.7386,293.479,64.7378,36.6043,33.676,10.9491,69.0266,20.0399,0.518336,2.85241,4.28456,1.19846,8.78219,2.54966,3.44446,1.39304,0.235201,0.0682839,0.16691715270280838,,0.239249,0.28219,0.693651,4.16657,294.09999999999997,4.14225352112676,285,4.014084507042254,0.561048,0.459774,1.25468,-0.738688,0.523088,3.72254,1.25468,0.738688,4.30255,999,3,AL,Kutter Crawford,676710,20531,20531
NYY,Yankees,3.4103,3.58812,0.0653151,56.7737,1.8019,18.3559,1.85803,57.9953,242.835,44.6207,25.594,23.5464,7.08582,77.7362,26.6694,0.9947,2.77835,3.65406,1.22924,12.0635,4.13869,2.91481,1.09961,0.32012,0.109825,0.21029464155435562,,0.209107,0.291953,0.744601,3.56597,374.1,6.45,347,5.982758620689655,0.557186,0.441857,2.89935,-1.0499,0.653596,0,2.89935,1.0499,4.12854,999,9,AL,Fernando Cruz,518585,7048,7048
HOU,Astros,3.67885,3.07922,0,61.4705,0.675569,19.3479,1.70452,62.6647,259.266,55.8852,27.3366,25.1497,7.22132,62.1572,17.5952,0.77513,3.43152,3.61204,1.1726,8.92711,2.52705,3.53262,1.03714,0.239743,0.0678654,0.17187726497650146,,0.234576,0.288189,0.728158,3.65605,376.5,5.976190476190476,366,5.809523809523809,0.555121,0.550293,1.42859,1.47687,0.817357,0,1.42859,-1.47687,3.91019,999,21,AL,Bryan King,687911,25890,25890
TOR,Blue Jays,3.47525,3.08776,0.344389,57.0484,4.22207,15.6273,1.79665,64.1768,267.113,59.0628,29.248,26.9081,7.95222,64.3899,18.8223,1.03481,2.44056,3.77353,1.2136,9.02988,2.63959,3.42093,1.1152,0.241058,0.0704656,0.17059262096881866,,0.240239,0.294571,0.728624,3.73329,370.80000000000007,5.793750000000001,365,5.703125,0.553648,0.393625,3.30987,-0.794483,0.74037,0.251835,3.30987,0.794483,4.01284,744.4199829101562,14,AL,Louis Varland,686973,27691,27691
KCR,Royals,3.47998,3.19196,7.56,27.2509,0,1.63668,0.555717,63.2923,274.102,66.4462,32.8084,30.1837,6.46036,45.8201,19.6342,0.763819,3.84076,4.29205,1.36005,6.5155,2.79193,2.33369,0.918646,0.167165,0.0716311,0.09553349763154984,,0.26512,0.30243,0.691522,4.12687,248.80000000000004,3.94920634920635,265,4.2063492063492065,0.551027,0.419317,1.17459,0.388391,0.513276,3.09,1.17459,-0.388391,4.31563,999,7,AL,Stephen Kolek,663568,21487,21487
ATL,Braves,3.86544,3.45618,0,61.4292,26.2182,4.03521,3.95756,62.8145,256.017,55.109,27.5789,25.3726,7.80784,66.4551,16.5946,1.43784,2.17251,3.63536,1.14151,9.52162,2.37765,4.00463,1.1187,0.259573,0.0648182,0.1947547048330307,,0.232283,0.290214,0.726063,3.53143,445.80000000000007,7.076190476190478,432,6.857142857142857,0.543558,0.551896,1.782,1.25994,1.77226,0,1.782,-1.25994,2.63699,101.36000061035156,16,NL,Raisel Iglesias,628452,17130,17130
CHC,Cubs,3.29111,3.30133,0,61.0776,29.5742,2.89201,3.74711,63.4769,266.766,53.0401,28.4588,26.1821,6.71047,70.1482,25.8248,1.02684,3.34141,3.7122,1.24242,9.94588,3.66153,2.71632,0.951436,0.262958,0.0968069,0.166151225566864,,0.223233,0.288226,0.725578,3.67767,457.3,7.258730158730159,439,6.968253968253968,0.540076,0.504884,2.35161,-0.710286,1.9971,0,2.35161,0.710286,2.3372,98.05999755859375,17,NL,Daniel Palencia,694037,27914,27914
,,2.80193,2.09629,6.96046,11.915,0,0.681185,0,42.7426,180.002,40.8904,20.4787,18.8404,4.83903,33.6406,13.1646,0.224269,1.56628,3.96709,1.26466,7.08345,2.77198,2.55538,1.01892,0.18689,0.0731359,0.11375375092029572,,0.247414,0.284335,0.710153,4.06673,177.1,4.118604651162791,177,4.116279069767442,0.539111,0.630402,2.94062,0.479468,0.900848,2.04201,2.94062,-0.479468,3.79887,999,-1,,Alex Cobb,502171,6562,6562
HOU,Astros,4.88022,6.8516,15.0546,24.5174,0,0.597364,0,91.3743,395.077,84.2736,50.7385,46.6795,13.69,90.662,39.6988,0.661042,5.20588,4.59774,1.35675,8.92985,3.91018,2.28375,1.34841,0.229479,0.100484,0.12899548560380936,,0.240663,0.287135,0.698754,4.57274,333.80000000000007,3.668131868131869,324,3.5604395604395602,0.53455,0.36037,3.05436,3.9249,0.360838,5.25511,3.05436,-3.9249,4.51888,716.4600219726562,21,AL,Spencer Arrighetti,681293,29921,29921
SFG,Giants,2.72043,3.13164,7.68,23.2928,0,1.54553,0,60.9228,262.86,60.4431,30.3802,27.9498,6.81691,48.8977,21.5372,0.620125,3.59411,4.12897,1.34564,7.22356,3.18165,2.27038,1.00705,0.186022,0.0819343,0.10408778488636017,,0.254252,0.294627,0.712348,4.22206,237.30000000000007,3.8901639344262304,242,3.9672131147540983,0.520961,0.63542,4.16259,-1.54801,0.60197,2.75563,4.16259,1.54801,4.19737,747.97998046875,30,NL,Trevor McDonald,686790,26448,26448
NYY,Yankees,4.06373,3.45107,0,61.0913,4.74651,15.5816,4.54115,62.1945,265.493,51.0834,27.387,25.196,5.2856,69.2915,30.1587,1.57861,3.26475,3.64605,1.30626,10.027,4.36419,2.29756,0.764866,0.260992,0.113595,0.1473969742655754,,0.220121,0.290794,0.729327,3.62393,392.69999999999993,6.333870967741935,373,6.016129032258065,0.515463,0.554235,1.89671,-2.79102,0.656883,0,1.89671,2.79102,4.12416,680.7100219726562,9,AL,Camilo Doval,666808,21992,21992
MIL,Brewers,4.68026,3.35227,0.199451,59.4758,1.53463,18.2595,2.20376,62.1599,259.801,54.8658,26.4196,24.306,6.57455,62.8644,20.9968,1.47925,3.0531,3.51921,1.22044,9.102,3.04008,2.994,0.951915,0.241971,0.0808188,0.16115246713161469,,0.232728,0.290365,0.74174,3.64817,365.69999999999993,5.898387096774193,355,5.725806451612903,0.51432,0.669349,0.762944,0.00547924,0.720785,0,0.762944,-0.00547924,4.03895,999,23,NL,Jared Koenig,657649,27517,27517
KCR,Royals,4.44019,4.58346,0,58.7518,6.06337,18.0569,4.25793,61.3536,259.995,55.249,27.58,25.3736,5.49076,58.8862,22.2227,1.62186,3.9921,3.72207,1.26271,8.63805,3.25987,2.64982,0.805444,0.226489,0.0854736,0.14101587980985641,,0.236328,0.293726,0.714938,3.66081,388.9000000000001,6.375409836065575,382,6.262295081967213,0.511302,0.397188,1.07488,0.444924,0.740294,0,1.07488,-0.444924,4.01294,541.97998046875,7,AL,Lucas Erceg,668674,19360,19360
ATL,Braves,3.18302,3.05212,0,61.7124,1.6568,16.8225,3.21692,63.3242,257.737,55.2782,27.4548,25.2584,8.78105,69.3825,17.4025,1.47085,1.30616,3.58987,1.14775,9.86103,2.47334,3.98692,1.24801,0.269199,0.0675205,0.20167846232652664,,0.231262,0.289045,0.748932,3.63281,374.5,5.944444444444445,360,5.714285714285714,0.510128,0.654173,0.690988,1.13919,0.85877,0,0.690988,-1.13919,3.85497,999,16,NL,Dylan Lee,669276,19996,19996
,,2.78665,2.98363,8.33992,9.85882,0,0,1.65602,49.6237,211.481,49.2547,27.8184,25.593,7.81713,42.5134,16.181,0.294805,1.64095,4.64167,1.31864,7.71044,2.93468,2.62736,1.41776,0.201026,0.0765128,0.12451367825269699,,0.254336,0.289108,0.69033,4.547,176.20000000000002,3.5240000000000005,178,3.56,0.507192,0.290928,3.118,-1.08004,0.616868,2.44164,3.118,1.08004,4.17751,999,-1,,Jon Gray,592351,14916,14916
ARI,Diamondbacks,2.38986,1.76808,5.86548,5.99463,0,0,0,35.3349,147.3,31.6771,15.3466,14.1189,3.9206,33.9174,11.3384,0.226725,1.46013,3.59617,1.21737,8.63895,2.88795,2.99138,0.998599,0.23026,0.0769746,0.15328573435544968,,0.235515,0.287146,0.737312,3.74441,158.60000000000002,4.531428571428572,155,4.428571428571429,0.506851,0.73069,1.23998,-0.521674,1.04602,3.06405,1.23998,0.521674,3.60531,735.0399780273438,15,NL,Corbin Burnes,669203,19361,19361
BOS,Red Sox,2.54445,2.5096,6.04025,20.6274,0,0.923565,0,47.6062,199.779,43.486,23.8694,21.9599,6.9742,48.17,16.2386,0.491822,1.52037,4.15153,1.25455,9.10658,3.06992,2.96639,1.31848,0.241116,0.0812828,0.1598334163427353,,0.238907,0.287775,0.717667,4.13504,203.3,4.235416666666667,195,4.0625,0.506706,0.495486,2.78144,0.478625,0.759396,2.10855,2.78144,-0.478625,3.98747,657.0499877929688,3,AL,Payton Tolle,801139,35466,35466
CHC,Cubs,3.68461,3.15126,0,61.3971,1.52206,18.5236,1.60062,59.2538,243.859,51.1296,26.7666,24.6252,7.53212,60.9528,18.9023,1.09,1.39872,3.7403,1.1819,9.25806,2.87105,3.22463,1.14405,0.249951,0.077513,0.17243772000074387,,0.228708,0.281141,0.727308,3.75813,353.6,5.993220338983051,339,5.745762711864407,0.50569,0.392549,1.60755,-1.8293,0.769305,0,1.60755,1.8293,3.97426,999,17,NL,Caleb Thielbar,573204,10078,10078
STL,Cardinals,3.26884,2.74343,0,56.9716,6.30645,11.672,1.32755,63.7568,269.276,58.1254,28.2777,26.0155,5.69566,59.7213,23.1263,0.997511,3.54943,3.67238,1.2744,8.43034,3.26455,2.58239,0.804008,0.221785,0.0858835,0.1359015330672264,,0.239594,0.295908,0.722921,3.67827,365.99999999999994,5.718749999999999,359,5.609375,0.501739,0.559,5.28169,3.24806,0.831464,0,5.28169,-3.24806,3.89138,582.3499755859375,28,NL,Matt Svanson,694335,29629,29629
NYM,Mets,2.20593,2.17137,4.90627,11.1499,0,0.683289,0,31.0406,130.619,26.0396,14.2997,13.1557,3.39082,34.4889,13.1727,0.288587,1.07815,3.8144,1.26326,9.99981,3.81931,2.61822,0.983144,0.264043,0.100848,0.16319476068019867,,0.22377,0.288563,0.722835,3.71036,154.89999999999998,4.9967741935483865,146,4.709677419354839,0.501645,0.476614,2.13454,-0.517758,0.98644,1.56097,2.13454,0.517758,3.68475,702.5599975585938,25,NL,Jonah Tong,804636,32157,32157
TEX,Rangers,3.47567,4.06168,0,60.9539,17.7214,7.83413,4.71585,60.1344,250.505,52.3898,26.519,24.3974,6.7878,64.693,21.3081,1.55087,2.03232,3.65144,1.22555,9.68226,3.18907,3.03607,1.01589,0.25825,0.0850606,0.17318962514400482,,0.230625,0.292914,0.734932,3.61534,405.7,6.761666666666667,392,6.533333333333333,0.49661,0.365642,2.18089,-0.492303,1.32138,0,2.18089,0.492303,3.23816,234.6199951171875,13,AL,Robert Garcia,676395,23363,23363
TBR,Rays,4.17729,3.2426,0,56.3194,9.59343,14.7153,2.00161,60.422,250.113,48.7708,26.9234,24.7695,7.72905,71.6892,21.8351,1.73941,3.69857,3.68948,1.16854,10.6783,3.25238,3.28321,1.15126,0.286627,0.0873008,0.19932635873556137,,0.217165,0.282732,0.730657,3.69288,394.20000000000005,6.570000000000001,372,6.2,0.490625,0.446491,1.84634,0.669002,0.853596,0,1.84634,-0.669002,3.86187,552.3499755859375,12,AL,Edwin Uceta,670955,20539,20539
MIN,Twins,3.6378,3.16876,0.203368,61.2068,4.87729,13.0814,2.32366,65.4562,274.024,60.3405,31.5816,29.0551,7.47139,63.8909,20.0172,1.22852,3.53638,3.99497,1.22766,8.78477,2.7523,3.1918,1.02729,0.233158,0.0730492,0.16010895371437073,,0.240909,0.29518,0.697821,3.74634,371.9,5.7215384615384615,367,5.6461538461538465,0.489,0.179035,1.66076,-2.738,0.676702,0,1.66076,2.738,4.09773,732.219970703125,8,AL,Cole Sands,663485,21461,21461
PIT,Pirates,2.51263,3.31436,0,61.0572,4.13176,17.2311,2.1556,59.1784,253.648,52.8955,27.4563,25.2598,5.16624,63.2589,23.76,1.21058,4.78301,3.84157,1.29533,9.62057,3.61348,2.66241,0.785695,0.249397,0.0936732,0.15572353452444077,,0.234982,0.30463,0.70869,3.57909,364.3,6.1745762711864405,357,6.0508474576271185,0.487135,0.475789,2.99345,-2.48351,0.752407,0,2.99345,2.48351,3.99679,738.6199951171875,27,NL,Gregory Soto,642397,19677,19677
MIN,Twins,3.27951,3.53141,4.64721,36.2803,0,1.76433,0,57.634,249.327,56.1247,29.0177,26.6963,6.60915,53.912,22.4579,0.940611,3.03003,4.16884,1.36348,8.41878,3.50698,2.40058,1.03207,0.21623,0.0900739,0.12615562975406647,,0.250736,0.303184,0.714915,4.08178,238.50000000000003,4.112068965517242,240,4.137931034482759,0.477276,0.372924,1.63635,-1.09687,0.513302,1.61443,1.63635,1.09687,4.3156,999,8,AL,Connor Prielipp,687570,sa3020808,sa3020808
WSN,Nationals,1.92439,2.71164,6.18488,26.3337,0,0.950853,0,52.4508,225.835,50.8208,26.4749,24.3569,5.5851,40.0243,20.2103,0.330845,2.17182,4.17939,1.35424,6.86775,3.46788,1.98039,0.958343,0.177228,0.0894917,0.08773667365312576,,0.249792,0.286586,0.70487,4.27342,196.4,3.776923076923077,200,3.8461538461538463,0.474831,0.460568,2.45498,0.729447,0.744081,2.27932,2.45498,-0.729447,4.00789,999,24,NL,Andrew Alvarez,674841,29914,29914
ARI,Diamondbacks,3.6507,3.72637,0,58.4755,14.186,12.3136,4.05712,60.181,253.538,54.3982,28.6244,26.3345,6.0387,61.5582,21.2635,0.831592,2.85344,3.93829,1.25724,9.20595,3.17994,2.89501,0.903081,0.242797,0.0838673,0.15892933309078217,,0.237111,0.29884,0.699881,3.59604,399.80000000000007,6.663333333333335,392,6.533333333333333,0.472096,0.302944,2.46596,-0.30055,1.1105,0,2.46596,0.30055,3.51933,509.3500061035156,15,NL,Kevin Ginkel,656464,19876,19876
DET,Tigers,4.0108,3.37856,0.532732,61.3439,1.12406,14.5985,1.69087,67.5764,275.74,60.6868,29.3647,27.0155,8.18742,56.5135,16.3275,1.04544,2.07788,3.598,1.13966,7.52662,2.17454,3.46124,1.09042,0.204953,0.0592136,0.14573903754353523,,0.235829,0.272536,0.726899,3.8547,371.20000000000005,5.458823529411766,361,5.3088235294117645,0.470858,0.686511,2.33935,1.51941,0.905407,0,2.33935,-1.51941,3.79279,999,6,AL,Tyler Holton,663947,26231,26231
CIN,Reds,3.03929,3.48007,0.0703471,62.7495,26.1519,4.37666,4.74489,64.6577,266.633,55.1445,31.6693,29.1357,10.3797,70.6037,21.8361,0.76728,2.11782,4.05554,1.19059,9.82766,3.03947,3.23334,1.4448,0.264797,0.0818958,0.1829012930393219,,0.227232,0.276846,0.725574,4.14957,431,6.630769230769231,411,6.323076923076923,0.463521,0.390183,1.2445,1.1928,1.81058,0,1.2445,-1.1928,2.58589,112.58999633789062,18,NL,Emilio Pagán,641941,14771,14771
TBR,Rays,3.24617,3.0173,0,60.0188,2.16762,16.5289,3.12391,61.569,254.792,51.9263,28.8496,26.5416,8.1411,67.7334,21.6873,0.960051,2.01287,3.87978,1.19563,9.90109,3.1702,3.12318,1.19004,0.265838,0.0851177,0.18071997165679932,,0.2247,0.282089,0.719493,3.80866,367.2,5.922580645161291,348,5.612903225806452,0.462637,0.348011,1.67425,-1.08774,0.704735,0,1.67425,1.08774,4.06035,999,12,AL,Bryan Baker,641329,19804,19804
TOR,Blue Jays,3.85827,3.49525,0,65.7034,2.95223,22.4,2.65416,66.3017,274.794,66.0608,29.5274,27.1652,6.54114,45.3595,12.8356,0.910114,2.95924,3.68749,1.18996,6.15724,1.74234,3.53388,0.887915,0.165067,0.0467099,0.11835753545165062,,0.255062,0.287398,0.707913,3.76408,375.70000000000005,5.692424242424243,384,5.818181818181818,0.460239,0.396026,2.85898,-0.247072,0.903857,0,2.85898,0.247072,3.79486,744.5800170898438,14,AL,Tyler Rogers,643511,15541,15541
TEX,Rangers,2.58124,2.78463,6.97517,13.6767,0.00107406,0.519671,0,46.4899,199.532,47.9323,25.3439,23.3164,6.00328,36.3401,14.9498,0.393753,1.36397,4.51382,1.3526,7.03509,2.89414,2.4308,1.16218,0.182127,0.0749245,0.10720222443342209,,0.261614,0.297634,0.68906,4.30321,169.8,3.691304347826087,180,3.9130434782608696,0.458717,0.216432,1.78141,-1.08302,0.68505,2.73631,1.78141,1.08302,4.0866,999,13,AL,Jordan Montgomery,656756,16511,16511
DET,Tigers,2.96287,2.59857,4.20616,28.8558,0,2.43776,0,51.9381,216.789,48.1437,24.5227,22.5609,6.96366,46.5633,16.2675,0.395695,1.32636,3.90942,1.24015,8.06862,2.81888,2.86235,1.20668,0.214787,0.0750386,0.13974794000387192,,0.241692,0.282698,0.729729,4.10134,224.90000000000003,4.325000000000001,220,4.230769230769231,0.456458,0.423081,3.20806,1.43235,0.803629,2.39562,3.20806,-1.43235,3.92849,734.1500244140625,6,AL,Troy Melton,675512,31807,31807
SDP,Padres,3.71234,2.42162,0,50.184,1.31534,20.469,2.86201,51.7148,213.936,41.8238,21.3271,19.6209,5.54888,55.2394,18.2576,1.42604,3.36471,3.41466,1.16178,9.61339,3.1774,3.02555,0.965678,0.258205,0.0853415,0.1728634014725685,,0.217477,0.275801,0.740816,3.64802,333.8,6.4192307692307695,314,6.038461538461538,0.454623,0.635432,2.29724,2.10189,0.91853,0,2.29724,-2.10189,3.77529,999,29,NL,Jason Adam,592094,11861,11861
COL,Rockies,2.83608,3.09086,0.57973,61.6766,1.83997,9.26239,1.74172,70.3713,301.649,70.7061,38.1706,35.1169,10.0999,64.8939,22.2719,1.68692,3.8908,4.49121,1.32125,8.29947,2.84842,2.91371,1.2917,0.21513,0.0738337,0.14129644632339478,,0.256659,0.302286,0.695189,4.27194,308.4,4.405714285714286,318,4.542857142857143,0.450277,0.415966,2.04794,0.00803627,0.440289,0.423928,2.04794,-0.00803627,4.41295,999,19,NL,Jimmy Herget,623474,17556,17556
STL,Cardinals,3.97467,3.56618,0,60.9906,12.1373,17.7565,3.36323,61.2261,258.991,55.0541,26.3924,24.281,5.49864,57.436,23.8579,2.02091,2.52445,3.56921,1.28886,8.44287,3.50701,2.40743,0.808278,0.221768,0.0921184,0.12964992225170135,,0.236681,0.292063,0.737491,3.71915,411.9000000000001,6.752459016393444,405,6.639344262295082,0.447821,0.603651,1.98771,-0.376024,1.06084,0,1.98771,0.376024,3.58555,466.3500061035156,28,NL,JoJo Romero,668941,19574,19574
MIA,Marlins,2.75604,2.29002,0,50.25,0.542441,8.30975,2.75179,49.6976,207.63,41.7193,22.7429,20.9235,6.0575,59.5799,19.3397,1.01492,1.95083,3.78914,1.22861,10.7896,3.50232,3.08071,1.09698,0.286952,0.0931449,0.19380734860897064,,0.223889,0.295453,0.728741,3.60718,281,5.62,266,5.32,0.445652,0.378852,2.14665,-2.35135,0.778139,0,2.14665,2.35135,3.96248,999,20,NL,Andrew Nardi,677053,25942,25942
SFG,Giants,1.76287,1.85798,0,41.2057,0.973392,3.96673,1.17262,41.3656,173.035,37.2734,17.777,16.3549,3.89869,41.8276,14.0386,0.750231,1.34913,3.55836,1.24045,9.1005,3.0544,2.97947,0.848246,0.241729,0.0811314,0.16059737652540207,,0.236435,0.298198,0.731344,3.45402,218.00000000000006,5.3170731707317085,213,5.195121951219512,0.44267,0.351487,1.60116,-0.233404,1.0337,0,1.60116,0.233404,3.62174,999,30,NL,Sam Hentges,656529,18548,18548
CLE,Guardians,3.06782,2.81607,0.391386,62.4703,2.52293,15.9276,2.32354,65.8172,273.559,58.4192,30.2358,27.8169,7.61021,65.1664,20.0335,0.721504,3.5781,3.80375,1.19198,8.911,2.73943,3.25287,1.04064,0.238217,0.0732329,0.1649840846657753,,0.233726,0.28678,0.711181,3.73429,376.2000000000001,5.700000000000002,363,5.5,0.442338,0.377694,0.950457,0.885263,0.766008,0,0.950457,-0.885263,3.97866,747.8499755859375,5,AL,Shawn Armstrong,542888,12857,12857
LAA,Angels,2.63922,2.67345,0.436865,53.5474,3.49142,11.7545,2.129,53.6125,223.937,46.6968,24.6208,22.6512,7.03452,58.067,18.2681,1.07905,3.15138,3.80248,1.21175,9.74779,3.06669,3.1786,1.18089,0.2593,0.0815768,0.17772343754768372,,0.230581,0.288629,0.731977,3.87327,307.3,5.690740740740741,295,5.462962962962963,0.441573,0.32239,2.22997,-0.242249,0.845475,0.303764,2.22997,0.242249,3.8727,738.1500244140625,1,AL,Drew Pomeranz,519141,11426,11426
NYM,Mets,2.99849,2.46196,0,46.1082,0.950458,16.5898,2.48835,46.5006,191.206,38.0648,19.1804,17.646,5.03682,51.5234,16.5114,0.778161,1.31269,3.4153,1.17367,9.97213,3.19572,3.12047,0.974855,0.269466,0.0863543,0.18311135470867157,,0.219544,0.282722,0.744789,3.47716,310.5,6.6063829787234045,293,6.23404255319149,0.440985,0.572269,1.75138,-1.0325,0.968949,0,1.75138,1.0325,3.70807,999,25,NL,A.J. Minter,621345,18655,18655
CHC,Cubs,3.62483,3.2106,0,61.8001,5.41398,19.2758,3.19479,62.2188,260.813,51.4769,27.8298,25.6035,6.53025,67.0502,23.1187,1.33477,5.16079,3.70356,1.19892,9.69886,3.34414,2.90026,0.944605,0.257081,0.0886409,0.16844044625759125,,0.221374,0.282767,0.714491,3.70781,391.0999999999999,6.308064516129031,370,5.967741935483871,0.439796,0.450968,1.85845,0.00297163,0.771025,0,1.85845,-0.00297163,3.97197,738.4600219726562,17,NL,Phil Maton,664208,18064,18064
HOU,Astros,3.3177,2.64351,0.0908139,60.5919,0.520769,11.5557,3.03952,61.2018,254.104,50.9985,29.3172,26.9718,8.6237,68.1456,21.9313,1.63943,3.07748,3.96633,1.19163,10.0211,3.22509,3.10723,1.26815,0.26818,0.0863082,0.1818714737892151,,0.222608,0.278184,0.716645,3.96588,322.10000000000014,5.280327868852461,302,4.950819672131147,0.435787,0.234062,1.29779,0.597567,0.672845,0,1.29779,-0.597567,4.10287,999,21,AL,Steven Okert,595345,13580,13580
CIN,Reds,4.57679,3.25451,0.259757,53.6181,1.78133,15.482,2.53843,61.4733,262.904,60.3994,30.0449,27.6413,6.35197,53.9316,20.7558,0.490682,2.86135,4.04682,1.32017,7.89586,3.03876,2.59838,0.929959,0.205138,0.0789484,0.1261896714568138,,0.252414,0.301936,0.707288,3.87633,327.6000000000001,5.37049180327869,333,5.459016393442623,0.429746,0.36924,2.08474,-1.3283,0.543377,0.189947,2.08474,1.3283,4.2755,999,18,NL,Graham Ashcraft,668933,27552,27552
PHI,Phillies,3.18482,2.31218,0.13217,54.8788,0.335842,10.4354,2.39827,58.2627,241.64,54.2531,27.5348,25.332,7.51723,54.6749,15.8415,1.20007,2.00097,3.91311,1.20308,8.44577,2.44708,3.45136,1.16121,0.226266,0.0655583,0.1607072502374649,,0.242421,0.289197,0.714445,3.85432,286.4000000000001,4.9379310344827605,282,4.862068965517241,0.426851,0.313791,1.15673,-0.75431,0.769106,0,1.15673,0.75431,3.97453,999,26,NL,Tanner Banks,621383,16990,16990
