Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
KCR,Royals,3,3,0,64,1,13,,64,272,60,31,29,7,59,23,,3,4.04682,1.30033,8.3436,3.27874,2.54476,1.03269,0.218027,0.0856768,0.13234995305538177,,0.243805,0.293585,0.715099,4.01114,328.5,5.1328125,326,5.09375,0.361344,0.317582,0,999,7,AL,John Schreiber,670167,20020,20020
SFG,Giants,4,4,8,31,0,1,,69,300,70,35,32,8,54,23,,6,4.19605,1.34431,6.9959,2.9834,2.34494,0.980386,0.178929,0.0763045,0.10262490063905716,,0.257536,0.2967,0.702644,4.23132,255.20000000000005,3.698550724637682,266,3.8550724637681157,0.359907,0.466603,3,747.97998046875,30,NL,Trevor McDonald,686790,26448,26448
ATH,Athletics,4,4,6,46,0,1,,73,321,70,40,37,9,66,33,,5,4.52107,1.40835,8.07851,4.01991,2.00962,1.0797,0.203848,0.101436,0.10241233557462692,,0.247376,0.293285,0.697862,4.44674,269.50000000000006,3.691780821917809,270,3.6986301369863015,0.358716,0.236616,2,999,10,AL,Luis Medina,665622,21649,21649
,,2,2,0,34,0,0,,34,147,32,15,14,4,37,13,,1,3.61898,1.30368,9.78774,3.37192,2.90272,0.989184,0.250867,0.0864249,0.16444208472967148,,0.236519,0.299991,0.758605,3.61041,151.20000000000005,4.447058823529413,150,4.411764705882353,0.358259,0.31554,0,999,-1,,Justin Wilson,458677,4301,4301
PHI,Phillies,3,3,0,62,0,12,,62,259,58,29,27,8,58,18,,2,3.85432,1.22635,8.47878,2.54736,3.32845,1.16465,0.225252,0.0676746,0.15757711231708527,,0.244079,0.29138,0.731883,3.88609,313.59999999999997,5.058064516129032,310,5,0.358197,0.343744,0,999,26,NL,Tanner Banks,621383,16990,16990
MIN,Twins,3,3,0,62,4,11,,62,268,63,30,28,6,51,20,,4,4.03132,1.34297,7.40735,2.91807,2.53844,0.828347,0.190301,0.0749677,0.11533351242542267,,0.25875,0.306644,0.703962,3.84883,315.19999999999993,5.083870967741935,326,5.258064516129032,0.351004,0.224831,0,999,8,AL,Justin Topa,623437,15145,15145
DET,Tigers,4,4,0,64,4,13,,64,270,60,30,28,8,60,23,,1,3.92001,1.3017,8.37553,3.22043,2.60075,1.08984,0.220233,0.0846808,0.1355525255203247,,0.244964,0.293702,0.732339,3.96551,339.20000000000005,5.300000000000001,336,5.25,0.347121,0.363494,0,641.3800048828125,6,AL,Kyle Finnegan,640448,15009,15009
CLE,Guardians,3,3,0,61,3,12,,61,257,55,28,26,8,59,20,,3,3.87082,1.22879,8.77552,2.8774,3.04981,1.19751,0.231565,0.0759277,0.15563757717609406,,0.236915,0.284358,0.733167,4.03552,322.0000000000001,5.278688524590166,313,5.131147540983607,0.344475,0.458988,0,747.8800048828125,5,AL,Hunter Gaddis,683769,25636,25636
LAD,Dodgers,5,4,0,54,0,12,,54,233,49,25,24,7,60,20,,3,3.93828,1.28172,10.0181,3.33683,3.00227,1.09745,0.258464,0.0860894,0.17237437516450882,,0.23451,0.297804,0.731046,3.7606,285.1,5.27962962962963,278,5.148148148148148,0.341422,0.236798,0,999,22,NL,Blake Treinen,595014,12572,12572
DET,Tigers,4,3,0,60,23,4,,60,250,53,29,27,9,60,22,,2,4.10395,1.24074,9.03899,3.23905,2.79063,1.27738,0.240769,0.0862776,0.15449126809835434,,0.232836,0.280226,0.71943,4.13631,374.49999999999994,6.241666666666665,362,6.033333333333333,0.337349,0.310132,0,135.36000061035156,6,AL,Kenley Jansen,445276,3096,3096
