Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAD,Dodgers,13,11,32,32,0,1,,200,859,194,101,94,26,190,74,,11,4.20795,1.33814,8.55705,3.32273,2.57531,1.16883,0.221449,0.0859892,0.1354593113064766,0.464375,0.250272,0.300645,0.719815,4.18758,784.8000000000001,3.9240000000000004,791,3.955,2.89232,2.51293,271.17999267578125,22,NL,Roki Sasaki,808963,35323,35323
LAA,Angels,11,13,32,32,0,0,,200,842,187,98,91,29,205,71,,6,4.10486,1.28834,9.20952,3.18729,2.88945,1.32161,0.243029,0.0841089,0.15891999006271362,0.407168,0.244192,0.296494,0.737381,4.15216,816.0999999999999,4.0805,802,4.01,2.89161,2.72578,497.8399963378906,1,AL,Yusei Kikuchi,579328,20633,20633
DET,Tigers,12,13,32,32,0,0,,200,846,198,97,90,27,177,55,,6,4.05914,1.2667,7.9641,2.49052,3.19776,1.19844,0.209102,0.06539,0.14371181279420853,0.415332,0.252359,0.294962,0.721725,4.02344,804.1000000000001,4.020500000000001,820,4.1,2.85916,2.54886,280.04998779296875,6,AL,Casey Mize,663554,20492,20492
NYM,Mets,12,11,32,32,0,1,,200,839,179,91,85,27,208,65,,10,3.82334,1.2168,9.35456,2.91534,3.20873,1.23615,0.247913,0.0772621,0.17065122723579407,0.38718,0.233872,0.28607,0.7415,3.96626,877.5000000000001,4.3875,844,4.22,2.84273,3.13076,339.7799987792969,25,NL,Sean Manaea,640455,15873,15873
NYY,Yankees,12,11,32,32,0,0,,200,849,177,94,88,28,217,73,,9,3.96101,1.24661,9.75114,3.26354,2.9879,1.27211,0.255155,0.085396,0.1697588637471199,0.363636,0.230267,0.284084,0.738441,4.02757,863.3999999999999,4.316999999999999,824,4.12,2.82665,2.67051,199.94000244140625,9,AL,Carlos Rodón,607074,16137,16137
BOS,Red Sox,11,12,32,32,0,1,,200,863,191,103,96,25,193,82,,10,4.30519,1.36737,8.69243,3.68913,2.35623,1.13855,0.223869,0.0950117,0.12885741889476776,0.416456,0.248445,0.300909,0.716761,4.22926,789.9,3.9495,789,3.945,2.82114,2.46097,538.3599853515625,3,AL,Johan Oviedo,670912,22487,22487
WSN,Nationals,11,12,32,32,0,0,,200,854,198,97,89,22,168,68,,11,3.9846,1.32925,7.55693,3.07176,2.46013,1.00281,0.196564,0.0799,0.1166640892624855,0.499048,0.254906,0.299703,0.720712,4.09219,793.6000000000001,3.968000000000001,813,4.065,2.81336,2.97182,314.0799865722656,24,NL,Cade Cavalli,676917,27473,27473
MIL,Brewers,11,12,32,32,0,1,,200,843,186,99,93,32,197,61,,7,4.16635,1.23359,8.87291,2.72814,3.25237,1.43421,0.23391,0.07192,0.16199033707380295,0.348653,0.240091,0.282433,0.731748,4.25291,796.8000000000001,3.9840000000000004,778,3.89,2.78869,2.61095,332.8999938964844,23,NL,Logan Henderson,701656,31475,31475
LAA,Angels,11,13,32,32,0,1,,200,848,182,96,90,27,212,77,,9,4.03391,1.29026,9.52098,3.44318,2.76517,1.21942,0.249394,0.0901913,0.1592029556632042,0.397213,0.23796,0.294611,0.734587,4.06292,844.7,4.2235000000000005,819,4.095,2.78685,2.93468,332.9800109863281,1,AL,Reid Detmers,672282,27468,27468
ARI,Diamondbacks,12,12,32,32,0,0,,200,854,201,99,92,26,183,61,,5,4.12131,1.30961,8.24,2.75691,2.98885,1.14751,0.214423,0.0717409,0.1426820456981659,0.422564,0.254889,0.302713,0.720474,3.96259,805.6,4.0280000000000005,830,4.15,2.74548,2.76233,277.54998779296875,15,NL,Merrill Kelly,518876,11156,11156
