Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ARI,Diamondbacks,7.6604,9.56035,23.665,26.901,0,0.6469,,132.5,573.828,133.439,73.63,68.84,18.0753,116.134,49.2628,0.937318,3.54785,4.67592,1.37888,7.88838,3.34615,2.35745,1.22776,0.202386,0.0858494,0.11653615534305573,,0.256113,0.298246,0.692976,4.3513,486.6000000000002,3.686363636363638,503,3.8106060606060606,1.76048,0.790501,7.74579,738.0800170898438,15,NL,Eduardo Rodriguez,593958,13164,13164
CHC,Cubs,5.62712,4.19779,12.968,13.417,0,0,,72.7309,297.335,64.2057,29.91,27.75,7.16657,67.6365,18.1912,0.223293,2.53911,3.43389,1.1329,8.3696,2.25105,3.71809,0.886818,0.227476,0.0611808,0.16629508882761002,,0.232121,0.28265,0.725321,3.41127,360.70000000000005,4.94109589041096,347,4.7534246575342465,1.73532,1.59079,4.7821,592.0499877929688,17,NL,Justin Steele,657006,17312,17312
HOU,Astros,7.95482,9.63495,24.308,28.786,0,0.6558,,129.817,548.468,118.005,66.8,62.52,20.4317,129.344,43.3441,0.867371,5.47371,4.33441,1.2429,8.96719,3.00497,2.98412,1.4165,0.235827,0.0790274,0.1567997932434082,,0.236175,0.27888,0.712262,4.31663,527.2,4.055384615384615,508,3.9076923076923076,1.7335,1.34365,5.92825,246.66000366210938,21,AL,Mike Burrows,681347,24728,24728
SFG,Giants,7.94041,9.29727,24.885,24.885,0,0,,140.981,609.983,144.759,74.6,69.55,15.5675,97.6323,49.6352,0.422489,6.02739,4.43996,1.37887,6.23269,3.16863,1.967,0.993803,0.160057,0.0813714,0.07868596166372299,,0.261147,0.292872,0.694059,4.37006,497.60000000000014,3.5290780141843983,525,3.723404255319149,1.71795,1.27996,10.5847,744.530029296875,30,NL,Adrian Houser,605288,12718,12718
SEA,Mariners,8.60622,8.60078,24.795,24.795,0,0,,141.491,594.861,131.166,74.01,69.33,22.3648,122.46,42.6153,0.477498,5.2584,4.40996,1.22822,7.78947,2.71069,2.87361,1.42259,0.205863,0.0716391,0.13422386348247528,,0.239798,0.270541,0.700295,4.47405,532.2,3.7744680851063834,519,3.6808510638297873,1.70598,1.37996,10.703,310.2099914550781,11,AL,Bryce Miller,682243,29837,29837
ATL,Braves,6.75802,8.65051,21.962,30.784,0,0.6465,,130.579,562.823,126.646,70,65.47,18.6447,133.813,47.422,1.52781,5.77979,4.51244,1.33305,9.22289,3.2685,2.82175,1.28506,0.237753,0.0842573,0.15349546819925308,,0.24851,0.302386,0.703327,4.1641,518.5,3.9580152671755724,521,3.9770992366412212,1.69991,1.05682,4.44676,398.9200134277344,16,NL,Grant Holmes,656550,16944,16944
CHW,White Sox,3.03297,2.9004,2.428,65.883,6,15.0731,,79.5668,324.895,60.9175,28.43,26.53,5.79408,93.3913,27.4152,1.66161,3.59209,3.00087,1.11017,10.5637,3.10101,3.40655,0.655383,0.287451,0.0843819,0.20306923985481262,,0.207282,0.283117,0.746721,2.90341,542.6,6.782500000000001,505,6.3125,1.66159,1.5379,0,499.1400146484375,4,AL,Grant Taylor,691799,33927,33927
LAA,Angels,8.49459,11.7228,29.094,29.094,0,0,,166.243,718.283,166.69,95.19,88.48,28.7713,161.777,58.5424,0.717674,5.77146,4.7901,1.35484,8.75821,3.16935,2.76341,1.55761,0.225227,0.0815033,0.1437237560749054,,0.25489,0.29761,0.703112,4.59935,566.5,3.4126506024096384,582,3.5060240963855422,1.65671,0.85058,12.8536,497.8399963378906,1,AL,Yusei Kikuchi,579328,20633,20633
WSN,Nationals,7.91704,11.411,25.333,26.303,0,0,,144.706,610.75,147.84,78.95,73.81,23.678,103.989,32.5418,0.548227,4.86296,4.59062,1.24654,6.46759,2.02394,3.19555,1.47265,0.170264,0.0532816,0.11698248237371445,,0.257856,0.278592,0.688923,4.60052,486.99999999999994,3.3586206896551722,507,3.496551724137931,1.65453,1.119,10.4105,713.02001953125,24,NL,Zack Littell,641793,15823,15823
CHC,Cubs,8.79197,8.72015,24.965,24.965,0,0,,145.649,609.487,140.952,77.52,72.5,24.3285,109.21,35.7075,0.377829,4.28744,4.47995,1.21291,6.74836,2.20645,3.05847,1.50332,0.179184,0.0585861,0.12059782445430756,,0.247505,0.267514,0.69523,4.63075,516.6,3.5383561643835617,516,3.5342465753424657,1.60054,1.29168,11.3605,472.1300048828125,17,NL,Jameson Taillon,592791,11674,11674
NYY,Yankees,7.01762,8.01803,21.103,34.281,0,0.691,,123.17,526.039,116.088,62.88,58.81,16.7272,119.242,43.5097,1.28396,5.61362,4.29723,1.29575,8.71296,3.17924,2.74058,1.22226,0.226679,0.0827119,0.14396663010120392,,0.243414,0.291426,0.710221,4.16088,491.5,3.9959349593495936,486,3.951219512195122,1.58693,1.22471,2.97493,307.30999755859375,9,AL,Will Warren,701542,30182,30182
NYY,Yankees,6.97133,7.88619,21.235,30.909,0,0.691,,122.679,519.432,113.507,61.39,57.35,17.5466,114.367,41.6667,1.48362,4.76342,4.20732,1.26488,8.39021,3.05676,2.7448,1.28726,0.220177,0.0802159,0.13996101915836334,,0.239972,0.281336,0.718052,4.26542,483.4000000000001,3.9300813008130087,472,3.83739837398374,1.55986,1.45764,2.94903,230.77000427246094,9,AL,Ryan Weathers,677960,23796,23796
TOR,Blue Jays,6.11229,5.58638,15.669,19.265,0,0.6481,,94.5884,392.827,87.9792,45.22,42.21,13.3992,89.6216,24.7908,0.561772,3.00869,4.01624,1.19222,8.52741,2.35882,3.61511,1.27492,0.228145,0.0631086,0.16503632068634033,,0.24102,0.284649,0.718532,3.96341,414.3,4.361052631578947,406,4.273684210526316,1.5362,1.39323,5.07314,410.7200012207031,14,AL,Shane Bieber,669456,19427,19427
TBR,Rays,4.66349,6.87385,15.374,36.439,0,0.6597,,108.398,457.807,98.375,53.09,49.48,14.7726,107.811,35.1044,1.82391,4.9894,4.10819,1.23138,8.95126,2.91463,3.07115,1.22653,0.235494,0.0766795,0.15881477296352386,,0.235508,0.283273,0.712686,4.02725,459.90000000000003,4.258333333333334,445,4.12037037037037,1.53544,1.19513,0.874691,473.95001220703125,12,AL,Ian Seymour,693855,27932,27932
ATL,Braves,4.67629,3.48533,10.502,10.689,0,0,,62.7767,256.067,57.1087,26.94,25.15,7.08015,61.3824,12.8558,0.258159,2.15615,3.60564,1.1145,8.80011,1.84308,4.77468,1.01505,0.239712,0.0502049,0.18950730934739113,,0.236912,0.289865,0.716451,3.36314,308.90000000000003,4.9031746031746035,301,4.777777777777778,1.52859,1.2512,4.69561,741.27001953125,16,NL,Spencer Schwellenbach,680885,31846,31846
