Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
MIL,Brewers,143.965,523.048,599.924,138.528,92.6897,25.921,1.00334,18.9137,71.78,76.4198,67.1396,2.71654,117.474,4.63861,4.12593,0.971678,14.9838,5.92369,1.76061,0.264847,0.351123,0.426723,0.777846,0.339235,0.111914,0.195815,0.571527,0.161876,3.46592,0.306086,,,83.6373,12.7516,5.49,-0.604095,-0.604095,4.6346,12.71107280254364,12.627744197845459,118.726,736.9,5.117361111,736.9,5.117361111,55.79999923706055,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
LAD,Dodgers,142.757,527.627,620.3,143.748,83.3102,29.0036,2.05501,29.379,96.3259,88.1213,81.7738,5.83919,87.6615,3.53802,5.09829,0.834099,8.92577,18.4868,5.58114,0.272442,0.370624,0.502246,0.87287,0.372428,0.131829,0.141321,0.932836,0.229804,5.06999,0.275133,,,103.195,29.9018,0.35,0.337145,0.337145,4.60607,30.64120164513588,-6.259120374917984,141.22,921.9,6.446853146,921.9,6.446853146,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
ARI,Diamondbacks,139.957,533.489,611.888,145.812,85.4881,29.3892,2.63136,28.3028,85.0058,93.0161,66.5688,4.38344,101.422,6.25701,4.24772,0.641011,12.6473,4.73882,1.81927,0.273317,0.358091,0.497427,0.855518,0.365538,0.108792,0.165753,0.656351,0.22411,3.88869,0.288003,,,98.3724,26.0731,-0.25,-0.813456,-0.813456,4.57872,24.573390543460846,-0.17879687994718552,135.006,871.9,6.227857142,871.9,6.227857142,32.060001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
ARI,Diamondbacks,138.212,524.56,603.315,136.143,74.4881,27.8327,9.28369,24.5383,97.2885,74.9168,63.4673,2.59506,128.507,7.89295,3.92508,3.46983,7.34919,33.2572,7.28487,0.259537,0.345928,0.488329,0.834256,0.356752,0.105198,0.213002,0.493882,0.228792,8.22006,0.297264,,,92.6908,21.4044,7.11,2.72245,2.72245,4.54487,23.45024561882019,0.8988041877746582,128.988,860.2,6.233333333,860.2,6.233333333,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
HOU,Astros,129.437,469.829,552.026,139.067,79.3624,28.7093,1.0393,29.9557,82.0686,87.7201,68.7955,8.89592,90.2994,7.66438,5.20356,0.533329,9.28527,3.61531,1.19361,0.295994,0.390806,0.5528,0.943606,0.397359,0.124624,0.163578,0.76186,0.256806,3.18293,0.307548,,,103.011,37.7844,-0.44,-0.7357,-0.7357,4.53501,37.55042862892151,-12.225158154964447,158.845,916,7.100775193,916,7.100775193,33.08000183105469,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
SDP,Padres,148.591,566.282,648.008,150.999,93.2939,27.1031,3.30631,27.2956,96.0494,82.6184,70.3394,3.09159,129.291,6.20572,4.21545,0.965408,12.6098,23.7022,6.69785,0.26665,0.351668,0.470793,0.82246,0.354201,0.108547,0.19952,0.544041,0.204143,5.92764,0.298864,,,98.215,21.6478,4.32,0.896739,0.896739,4.52775,25.445068895816803,-2.750302314758301,131.963,882.8,5.924832214,882.8,5.924832214,14.079999923706055,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,143.7,532.787,628.995,146.541,91.4689,24.968,2.03555,28.0689,99.7134,81.4917,83.3714,3.40889,135.935,8.45448,3.82503,0.556745,12.2259,28.0106,7.70315,0.275046,0.379301,0.4876,0.8669,0.374036,0.132547,0.216114,0.613318,0.212553,5.57594,0.317954,,,105.462,31.1418,-2.8,1.26001,1.26001,4.37795,32.079020261764526,-10.215820074081421,141.341,941.1,6.535416666,941.1,6.535416666,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
TBR,Rays,149.182,584.591,636.417,158.603,95.0926,25.4556,1.32517,36.7297,83.4483,105.828,41.4026,2.19514,122.248,4.65513,5.17519,0.592592,13.2488,5.434,1.39918,0.271306,0.321883,0.507873,0.829756,0.352233,0.0650558,0.192087,0.338678,0.236567,3.4839,0.282907,,,95.4412,20.2436,-0.39,-0.403525,-0.403525,4.35444,19.32518121600151,1.3305851221084595,126.302,876.1,5.879865771,876.1,5.879865771,16.65999984741211,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
LAD,Dodgers,142.552,544.705,621.763,145.897,91.3536,30.023,2.34443,22.1764,85.4301,79.5409,63.6289,1.26266,71.2065,5.78484,5.93843,0.719155,9.0018,8.76378,2.76586,0.267847,0.347244,0.453711,0.800955,0.346477,0.102336,0.114524,0.893582,0.185864,4.36963,0.27057,,,90.338,16.8719,-1.65,-0.43291,-0.43291,4.34603,16.842131346464157,4.949629902839661,123.442,796.5,5.569930069,796.5,5.569930069,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
TOR,Blue Jays,152.945,577.552,662.68,168.667,109.283,31.7714,0.564898,27.0479,92.1842,91.9142,73.0398,6.99092,88.7772,7.1444,4.31098,0.633041,16.5339,5.91659,2.25153,0.292038,0.375881,0.4895,0.865382,0.371024,0.110219,0.133967,0.822732,0.197462,3.18006,0.303879,,,109.49,31.1894,-0.37,-0.943372,-0.943372,4.22682,30.870391130447388,-12.365972638130188,140.732,966.5,6.316993464,966.5,6.316993464,18.299999237060547,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
