Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Miguel Rojas","LAD",48.719,178.023,160.208,39.1546,28.9172,7.01889,0.388907,2.82959,19.9307,16.9838,11.0266,0.302653,25.3051,1.41875,1.08389,1.35341,4.0831,2.50443,1.07803,0.244398,0.0619394,0.142145,0.435748,0.297,0.346051,0.283249,0.643051,0.101652,4.20079,0.272798,,-0.211652,16.7267,-4.30805,80.1293,-0.211652,0.2,-4.404258608818054,0.951836422085762,0.252758,999,,,,,,,145.8,2.975510204,145.8,2.975510204,,,,,,,,,,,,,,,,,,,"Miguel Rojas","7802",500743
"Enrique Hernández","LAD",50.537,188.766,172.121,39.5695,24.5459,8.26457,0.260209,6.49878,21.4823,23.0292,13.1574,0.0713082,41.7531,1.25247,1.55929,0.502548,3.02604,0.484263,0.190516,0.229894,0.0697021,0.22119,0.315124,0.286987,0.394205,0.295782,0.681192,0.164311,2.61041,0.263663,,-0.237869,19.6568,-2.64733,88.7143,-0.237869,-0.87,-2.7627925127744675,-1.0499750822782516,0.252459,999,,,,,,,173.6,3.403921568,173.6,3.403921568,,,,,,,,,,,,,,,,,,,"Enrique Hernandez","10472",571771
"Juan Brito","CLE",28.43,113.409,101.416,23.2815,15.2468,5.35364,0.287589,2.39343,11.7323,11.107,9.80555,0.430139,22.488,0.942435,0.863335,0.381543,1.8318,1.76442,0.342367,0.229564,0.0864619,0.198291,0.436035,0.301073,0.358824,0.289989,0.659897,0.12926,4.21105,0.269879,,0.0439087,11.2763,-2.12388,85.4908,0.0439087,0,-1.8954698294401169,0.4387345612049103,0.25032,999,,,,,,,97.9,3.496428571,97.9,3.496428571,,,,,,,,,,,,,,,,,,,"Juan Brito","sa3009808",682877
"Jeremiah Jackson","BAL",51.515,207.096,193.769,45.3497,29.8858,8.98844,0.882244,5.59319,22.9067,21.5639,10.3669,0.044915,49.6729,1.26479,1.43234,0.263097,3.38588,3.78335,1.22916,0.23404,0.0500584,0.239854,0.208704,0.275495,0.37613,0.282747,0.651624,0.142089,5.03757,0.284106,,-0.020482,19.3739,-5.09607,80.762,-0.020482,-0.44,-4.716218404471874,0.02602541446685791,0.249409,999,,,,,,,184,3.538461538,184,3.538461538,,,,,,,,,,,,,,,,,,,"Jeremiah Jackson","22239",669236
"Andrew Knizner","SEA",30.205,107.973,97.4094,20.2369,14.7058,3.69239,0.152037,1.68665,9.32424,9.33492,7.47538,0.0694061,23.2874,1.92503,0.63373,0.453899,2.20613,0.386939,0.143117,0.207751,0.0692338,0.215678,0.321006,0.27584,0.300723,0.258795,0.576564,0.0929728,2.60046,0.253872,,-0.139904,8.00121,-4.75664,69.3495,-0.139904,0.42,-4.040446221828461,2.7506326735019684,0.248255,999,,,,,,,72.4,2.413333333,72.4,2.413333333,,,,,,,,,,,,,,,,,,,"Andrew Knizner","19514",668800
"Joshua Báez","STL",25.206,86.716,77.863,18.4494,10.8223,4.46649,0.27182,2.88887,10.7431,9.91944,6.79294,0.296781,25.0017,1.29406,0.640192,0.125799,0.843031,3.79216,0.208168,0.236948,0.0783355,0.288317,0.2717,0.30646,0.412599,0.311547,0.719059,0.175651,6.23858,0.307444,,0.550309,10.14,-0.106161,101.153,0.550309,0,0.668811060488224,-1.1669443845748901,0.244213,999,,,,,,,94.2,3.768,94.2,3.768,,,,,,,,,,,,,,,,,,,"Joshua Baez","sa3017022",695491
"Sam Haggerty","TEX",61.051,222.892,199.858,48.0758,34.5966,9.21555,1.44368,2.8199,27.5334,16.1528,17.9173,0.389611,49.4273,2.59704,1.28579,1.2343,3.60283,12.0347,2.7872,0.24055,0.0803855,0.221754,0.362498,0.309441,0.343436,0.289667,0.652878,0.102886,6.74106,0.303942,,0.904275,22.104,-4.23243,85.4902,0.904275,-0.17,-2.9075241684913635,-2.4013962000608444,0.24173,999,,,,,,,206.2,3.380327868,206.2,3.380327868,,,,,,,,,,,,,,,,,,,"Sam Haggerty","18054",664059
"Nathan Church","STL",48.851,169.801,156.28,38.3901,28.4539,6.84323,0.764967,2.32799,17.1762,14.8294,9.43134,0.517457,25.4346,1.9079,1.21078,0.971346,3.63943,3.56317,0.859519,0.24565,0.0555435,0.14979,0.370808,0.294553,0.343917,0.280265,0.638471,0.0982671,5.08015,0.277983,,0.101361,15.5428,-4.52047,79.7239,0.101361,1.72,-3.9791875556111336,0.6645771265029907,0.23887,999,,,,,,,139.4,2.844897959,139.4,2.844897959,,,,,,,,,,,,,,,,,,,"Nathan Church","31357",701675
"Graham Pauley","MIA",80.871,303.992,273.92,60.1707,38.9461,12.8724,0.801585,7.5506,29.8328,31.7948,24.43,0.774432,64.8745,2.8238,2.09542,0.722902,4.57818,4.08357,1.21761,0.219666,0.0803641,0.213408,0.376574,0.288274,0.355207,0.282757,0.643481,0.135541,4.132,0.258461,,-0.113838,28.441,-7.47803,77.9415,-0.113838,0.92,-8.061357408761978,0.1711944341659546,0.227515,999,,,,,,,266.4,3.288888888,266.4,3.288888888,,,,,,,,,,,,,,,,,,,"Graham Pauley","31363",688363
"Otto Kemp","PHI",59.215,228.42,205.683,49.0287,30.7286,10.4208,1.05535,6.82394,26.7608,26.2187,15.2974,0.98883,63.9799,5.59602,1.59732,0.245947,3.37953,4.27397,1.21355,0.23837,0.0669703,0.280097,0.239097,0.306442,0.398827,0.306677,0.705269,0.160457,5.09691,0.309245,,0.0235622,25.8067,-1.18285,94.0583,0.0235622,-1.03,-1.585014408454299,-3.826817750930786,0.223835,999,,,,,,,236.7,4.011864406,236.7,4.011864406,,,,,,,,,,,,,,,,,,,"Otto Kemp","31792",805249
