Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13.0044,0,33,33,0,0,,198,813.751,174.03,80.5175,73.7194,15.5182,190.077,65.7601,2.47338,8.93255,3.35088,1.21106,8.63985,2.98909,2.89046,0.705374,0.233581,0.0808111,0.15276995301246643,,0.235476,0.297138,0.730392,3.36575,971.0000000000001,4.904040404040405,937,4.732323232323233,4.21331,4.36136,0,82.37999725341797,6,AL,Framber Valdez,664285,17295,17295
BOS,Red Sox,12.9417,0,33,33,0,0,,198,816.985,173.643,82.0611,75.1326,22.9375,213.501,54.2111,2.48321,8.57867,3.41512,1.15078,9.7046,2.46414,3.93833,1.04261,0.261328,0.0663551,0.19497301429510117,,0.230236,0.291073,0.744824,3.43591,968.9000000000002,4.893434343434344,930,4.696969696969697,4.18538,4.25,0,137.47999572753906,3,AL,Sonny Gray,543243,12768,12768
SEA,Mariners,12.5598,0,33,33,0,0,,198,795.21,169.61,82.5768,75.6048,24.5304,207.252,47.443,2.41702,8.17451,3.43658,1.09623,9.42056,2.1565,4.36844,1.11502,0.260626,0.059661,0.20096492394804955,,0.229329,0.285697,0.736007,3.49495,964.7,4.872222222222223,914,4.616161616161616,4.09782,4.13917,0,36.91999816894531,11,AL,Logan Gilbert,669302,22250,22250
PHI,Phillies,13.0532,0,33,33,0,0,,198,818.863,165.976,80.9594,74.124,23.0276,220.715,63.1324,2.48892,8.88841,3.36927,1.15711,10.0325,2.86965,3.49606,1.04671,0.269538,0.0770976,0.19244025647640228,,0.222237,0.284135,0.752523,3.50883,976.7000000000002,4.932828282828283,917,4.6313131313131315,4.05848,4.36136,0,71.6500015258789,26,NL,Jesús Luzardo,666200,19959,19959
LAD,Dodgers,12.7036,0,33,33,0,0,,198,801.45,159.313,81.9505,75.0313,20.6,222.192,72.9772,2.43599,9.06824,3.41052,1.17318,10.0997,3.31715,3.04468,0.936362,0.277238,0.0910565,0.18618148565292358,,0.221451,0.291039,0.73895,3.48641,991.5000000000001,5.007575757575758,915,4.621212121212121,4.04224,4.25,0,117.62000274658203,22,NL,Tyler Glasnow,607192,14374,14374
LAA,Angels,13.1618,0,33,33,0,0,,198,829.342,172.176,81.7368,74.8357,22.8337,216.7,60.8034,2.52077,8.89873,3.40162,1.17666,9.85002,2.76379,3.56395,1.0379,0.261292,0.0733153,0.18797679990530014,,0.226655,0.287138,0.752405,3.50152,959.1000000000001,4.843939393939395,915,4.621212121212121,4.04082,4.25,0,317.8800048828125,1,AL,Grayson Rodriguez,680570,24492,24492
TEX,Rangers,12.1658,0,33,33,0,0,,198,768.962,159.112,82.28,75.333,24.0009,206.527,51.3777,2.33724,8.08605,3.42423,1.06308,9.38759,2.33535,4.01978,1.09095,0.268579,0.0668143,0.20176468044519424,,0.224259,0.282086,0.724805,3.52579,993.6,5.0181818181818185,915,4.621212121212121,4.02497,4.25,0,49.720001220703125,13,AL,Jacob deGrom,594798,10954,10954
ATL,Braves,12.3157,0,33,33,0,0,,198,786.469,174.412,84.0821,76.983,21.9459,182.837,44.5255,2.39046,8.00566,3.49923,1.10575,8.31078,2.02389,4.10634,0.997543,0.232479,0.0566145,0.17586415261030197,,0.237639,0.288132,0.716504,3.52512,949.1999999999999,4.793939393939394,911,4.601010101010101,3.96942,4.02888,0,741.27001953125,16,NL,Spencer Schwellenbach,680885,31846,31846
SEA,Mariners,12.5815,0,33,33,0,0,,198,812.406,186.179,86.0294,78.7659,23.92,183.962,38.4766,2.46929,8.02183,3.58027,1.13462,8.36189,1.74894,4.78112,1.08727,0.226441,0.0473614,0.17907916381955147,,0.243083,0.290773,0.725155,3.55197,916.4,4.6282828282828286,908,4.585858585858586,3.96162,3.80988,0,64.52999877929688,11,AL,George Kirby,669923,25436,25436
LAD,Dodgers,12.8619,0,33,33,0,0,,198,807.745,152.157,81.1504,74.2988,19.6474,233.711,86.6801,2.45513,9.57236,3.37722,1.20625,10.6232,3.94,2.69625,0.893065,0.289338,0.107311,0.18202681839466095,,0.213856,0.289237,0.746161,3.52277,1001,5.055555555555555,907,4.58080808080808,3.94638,4.36136,0,165.0800018310547,22,NL,Blake Snell,605483,13543,13543
