Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,11.9335,10.1037,30.78,30.78,0,0,,190.384,795.586,179.678,80.4539,72.5288,15.5057,176.144,61.9985,0.4225,7.8493,3.42865,1.26942,8.32682,2.93085,2.84109,0.733,0.221401,0.0779281,0.14347298443317413,0.555109,0.24758,0.307387,0.732935,3.44415,883.2,4.648421052631579,884,4.652631578947369,3.72605,3.72253,19.3482,0.392528,0.770943,0.86512,4.94,4.48,4.17,3.92,3.71,3.5,3.3,3.07,2.78,4.32,4.12,3.99,3.88,3.78,3.68,3.58,3.47,3.31,82.37999725341797,6,AL,Framber Valdez,664285,17295,17295
PHI,Phillies,10.7566,7.4362,25.92,25.92,0,0,,154.827,628.357,129.219,59.8983,55.0161,17.8051,177.736,39.1108,0.4907,6.8623,3.19805,1.08721,10.3317,2.27348,4.54444,1.035,0.282859,0.062243,0.2206161543726921,0.415291,0.221879,0.288008,0.756133,3.225,808.1999999999999,5.2141935483870965,759,4.896774193548387,3.7175,4.06042,16.0567,0.3895,0.819838,0.907659,4.68,4.18,3.85,3.6,3.37,3.16,2.95,2.72,2.43,3.99,3.8,3.67,3.56,3.46,3.36,3.26,3.15,3,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
NYY,Yankees,12.8263,9.1081,30.78,30.78,0,0,,189.434,789.308,175.558,76.5239,69.0589,18.6698,179.581,54.2894,0.6299,7.4163,3.28099,1.21334,8.53189,2.57929,3.30784,0.887,0.227517,0.068781,0.15873587876558304,0.50471,0.241283,0.296378,0.752657,3.4976,884.3000000000001,4.678835978835979,875,4.62962962962963,3.69416,3.81406,19.6934,0.394949,0.756939,0.85378,4.76,4.3,4,3.75,3.54,3.34,3.13,2.91,2.63,4.15,3.96,3.83,3.72,3.61,3.52,3.42,3.3,3.15,49.81999969482422,9,AL,Max Fried,608331,13743,13743
HOU,Astros,11.9024,9.7656,30.78,30.78,0,0,,184.176,769.968,164.896,81.0168,74.2362,20.8733,200.265,60.8491,0.5467,7.1746,3.62764,1.2257,9.78618,2.97346,3.29117,1.02,0.260095,0.0790281,0.18106712400913239,0.472946,0.234913,0.299545,0.736447,3.54178,870.3000000000002,4.729891304347827,843,4.581521739130435,3.58539,3.27611,17.6651,0.424727,0.798125,0.9041,5.15,4.67,4.34,4.09,3.86,3.65,3.43,3.19,2.89,4.51,4.31,4.16,4.04,3.94,3.83,3.72,3.6,3.43,36.77000045776367,21,AL,Hunter Brown,686613,25880,25880
PHI,Phillies,11.9144,9.5618,30.78,30.78,0,0,,180.975,751.557,158.59,77.7649,71.7988,23.3257,197.757,57.4212,0.7162,5.5938,3.5706,1.1936,9.83456,2.85559,3.44396,1.16,0.263129,0.076403,0.18672610074281693,0.404283,0.230327,0.28936,0.75398,3.66983,850.1,4.6966850828729285,813,4.49171270718232,3.51333,3.86515,17.3375,0.430179,0.796834,0.905537,5.06,4.57,4.25,3.99,3.77,3.55,3.34,3.1,2.8,4.43,4.22,4.07,3.95,3.84,3.74,3.63,3.5,3.33,71.6500015258789,26,NL,Jesús Luzardo,666200,19959,19959
LAD,Dodgers,11.0144,7.1413,25.92,25.92,0,0,,154.428,639.72,138.999,64.9291,59.1749,16.7469,162.558,47.1397,0.4075,5.206,3.44868,1.20534,9.47379,2.74728,3.44843,0.976,0.254108,0.073688,0.18042004853487015,0.492277,0.236645,0.299587,0.745021,3.45652,739.1000000000003,4.799350649350651,719,4.6688311688311686,3.42854,3.29851,15.2774,0.414482,0.854135,0.94939,5.04,4.52,4.18,3.91,3.67,3.45,3.22,2.98,2.67,4.33,4.12,3.98,3.87,3.76,3.66,3.55,3.43,3.27,26.780000686645508,22,NL,Yoshinobu Yamamoto,808967,33825,33825
TEX,Rangers,11.0551,9.4877,29.16,29.16,0,0,,174.547,724.26,164.564,77.0721,70.7541,20.5189,171.558,44.5254,0.6917,7.0847,3.64823,1.1979,8.84592,2.29582,3.85305,1.058,0.236874,0.0614771,0.17539695277810097,0.459885,0.24465,0.299735,0.731953,3.58464,795.7,4.546857142857143,790,4.514285714285714,3.35661,3.04559,16.6796,0.440488,0.821256,0.931929,5.21,4.7,4.37,4.1,3.87,3.65,3.43,3.19,2.88,4.55,4.34,4.19,4.06,3.95,3.84,3.73,3.6,3.43,134.66000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
MIN,Twins,10.7199,9.7359,29.16,29.16,0,0,,172.8,713.46,154.74,78.1095,73.212,24.8832,189.389,41.9329,0.3439,8.1834,3.81312,1.13815,9.86403,2.184,4.51649,1.296,0.265452,0.058774,0.20667814463377,0.335611,0.233272,0.289167,0.732612,3.6852,797.7,4.6109826589595375,768,4.4393063583815024,3.32571,2.96153,15.8667,0.434407,0.83372,0.940106,5.31,4.8,4.47,4.2,3.96,3.74,3.52,3.27,2.96,4.64,4.42,4.28,4.16,4.05,3.94,3.83,3.7,3.53,79.4000015258789,8,AL,Joe Ryan,657746,21390,21390
SEA,Mariners,12.3808,10.3618,32,32,0,0,,195.095,801.211,176.21,84.2077,77.8996,26.056,195.611,44.1163,0.6634,7.5362,3.59362,1.12933,9.0238,2.03515,4.43398,1.202,0.244144,0.055062,0.18908189609646797,0.394697,0.235085,0.28444,0.740387,3.66034,901.6,4.6235897435897435,873,4.476923076923077,3.30571,2.94012,19.0733,0.439013,0.768974,0.885468,5.05,4.58,4.26,4.01,3.79,3.58,3.37,3.13,2.84,4.46,4.24,4.09,3.97,3.86,3.75,3.64,3.51,3.34,35.130001068115234,11,AL,Bryan Woo,693433,30279,30279
BOS,Red Sox,10.7885,9.5862,29.16,29.16,0,0,,171.504,723.339,170.067,78.0755,71.2981,18.2556,153.199,49.3498,0.8123,5.6681,3.74151,1.27937,8.03942,2.58973,3.10435,0.958,0.211794,0.068225,0.14356905221939087,0.489771,0.254469,0.305538,0.729094,3.69477,750.3999999999999,4.362790697674418,767,4.459302325581396,3.25675,3.19535,15.8855,0.427313,0.83934,0.941854,5.34,4.83,4.5,4.23,3.99,3.77,3.54,3.3,2.98,4.66,4.45,4.3,4.18,4.07,3.97,3.86,3.73,3.57,183.47000122070312,3,AL,Ranger Suarez,624133,17277,17277
TBR,Rays,10.5309,10.421,30.78,30.78,0,0,,171.003,713.406,163.684,76.9116,70.5904,19.4754,160.745,45.0145,0.6028,6.0276,3.71521,1.22044,8.46007,2.36914,3.57095,1.025,0.22532,0.063098,0.16222192347049713,0.456954,0.247122,0.2991,0.726368,3.63113,774.3000000000001,4.528070175438597,777,4.543859649122807,3.24149,2.90131,15.2265,0.49024,0.8363,0.969398,5.33,4.8,4.46,4.18,3.94,3.71,3.48,3.23,2.91,4.69,4.45,4.28,4.14,4.02,3.9,3.77,3.63,3.44,134.67999267578125,12,AL,Drew Rasmussen,656876,25385,25385
TBR,Rays,9.1106,7.8176,24.3,24.3,0,0,,142.175,583.64,123.147,57.8102,52.9567,16.2869,157.866,41.7903,0.4657,4.0761,3.35229,1.1601,9.99332,2.64543,3.77758,1.031,0.270486,0.0716029,0.19888286292552948,0.444956,0.228994,0.293877,0.753696,3.37144,712.2,5.0154929577464795,680,4.788732394366197,3.22636,3.05982,14.1571,0.500692,0.87642,1.00936,4.99,4.43,4.07,3.78,3.53,3.29,3.06,2.81,2.49,4.32,4.07,3.89,3.75,3.63,3.5,3.38,3.23,3.05,192.0800018310547,12,AL,Shane McClanahan,663556,21483,21483
SEA,Mariners,11.205,8.8486,29.16,29.16,0,0,,166.486,678.151,144.338,68.0599,62.8409,20.8848,181.781,38.7679,0.9284,5.8925,3.39709,1.09983,9.82683,2.09574,4.68896,1.129,0.268054,0.0571671,0.2108870968222618,0.398084,0.227845,0.286551,0.747696,3.38693,824.7000000000002,4.968072289156628,786,4.734939759036145,3.17976,2.90631,16.1744,0.398836,0.81194,0.904608,4.87,4.38,4.06,3.8,3.57,3.36,3.15,2.91,2.62,4.2,4.01,3.87,3.76,3.66,3.56,3.46,3.34,3.18,36.91999816894531,11,AL,Logan Gilbert,669302,22250,22250
SEA,Mariners,11.6723,9.6517,30.78,30.78,0,0,,178.218,732.504,165.63,75.6154,69.511,22.0595,173.778,33.816,0.4769,7.2481,3.5103,1.11911,8.77576,1.7077,5.13892,1.114,0.237238,0.0461649,0.19107308238744736,0.423027,0.239543,0.289688,0.734625,3.48532,839.9999999999999,4.719101123595505,829,4.657303370786517,3.16654,2.75598,17.0934,0.411774,0.798365,0.898301,5,4.52,4.2,3.94,3.72,3.5,3.29,3.06,2.76,4.36,4.16,4.02,3.9,3.8,3.69,3.59,3.47,3.31,64.52999877929688,11,AL,George Kirby,669923,25436,25436
MIL,Brewers,9.9967,9.5989,27.54,27.54,0,0,,167.715,695.335,150.814,77.0359,71.9051,24.4677,176.153,45.9102,0.3873,6.669,3.85861,1.17297,9.4528,2.46366,3.8369,1.313,0.253335,0.066026,0.18730898946523666,0.364232,0.234637,0.285764,0.736683,3.87158,748.4,4.454761904761905,721,4.291666666666667,3.09225,2.84039,15.5815,0.524094,0.85165,0.999991,5.45,4.91,4.55,4.26,4.01,3.78,3.54,3.28,2.96,4.82,4.56,4.38,4.23,4.1,3.97,3.83,3.68,3.48,140.5,23,NL,Brandon Woodruff,605540,16162,16162
BAL,Orioles,10.2652,8.506,27.54,27.54,0,0,,154.145,646.853,142.318,69.1654,63.6263,18.4118,162.629,48.2164,0.3913,6.9,3.71492,1.23607,9.49536,2.81519,3.3729,1.075,0.251416,0.07454,0.17687588930130005,0.451994,0.240509,0.301698,0.73665,3.65052,710,4.6103896103896105,697,4.525974025974026,3.04432,2.50395,13.8103,0.504724,0.907031,1.038,5.41,4.84,4.47,4.17,3.91,3.67,3.43,3.16,2.83,4.7,4.45,4.28,4.14,4.01,3.88,3.75,3.61,3.42,73.29000091552734,2,AL,Kyle Bradish,680694,24586,24586
LAA,Angels,10.6073,10.7151,30.78,30.78,0,0,,177.273,759.523,169.432,80.1956,72.4305,14.8515,164.767,75.4799,0.695,8.6335,3.67724,1.38156,8.3651,3.83206,2.18293,0.754,0.216935,0.099378,0.11755695194005966,0.57228,0.250859,0.311787,0.734948,3.78879,763.9,4.315819209039548,768,4.338983050847458,3.02382,3.12309,16.3746,0.464841,0.82342,0.945567,5.32,4.81,4.47,4.2,3.97,3.74,3.52,3.27,2.96,4.68,4.45,4.29,4.16,4.05,3.93,3.81,3.68,3.5,326.82000732421875,1,AL,José Soriano,667755,22100,22100
PHI,Phillies,11.0933,10.4075,30.78,30.78,0,0,,180.677,757.874,174.313,86.2798,79.9083,26.4793,174.833,46.7086,0.5987,5.8622,3.98044,1.2233,8.70889,2.32668,3.74306,1.319,0.230689,0.0616311,0.16905803605914116,0.422873,0.247147,0.293327,0.732489,3.97794,758.2000000000002,4.188950276243095,758,4.1878453038674035,2.96685,3.01893,15.9016,0.439332,0.834132,0.942756,5.54,5.04,4.7,4.44,4.2,3.97,3.75,3.5,3.18,4.87,4.66,4.51,4.39,4.28,4.17,4.05,3.92,3.75,208.75,26,NL,Aaron Nola,605400,16149,16149
TOR,Blue Jays,11.3173,10.454,30.78,30.78,0,0,,185.401,782.945,175.756,88.2042,81.9764,25.1322,181.346,54.5556,0.7164,4.4745,3.97941,1.24223,8.80316,2.64831,3.32407,1.22,0.231621,0.06968,0.16194088757038116,0.379152,0.242785,0.291096,0.728283,3.89627,788.9,4.264324324324324,785,4.243243243243243,2.92967,2.41668,16.6731,0.413005,0.822153,0.920059,5.5,5.01,4.68,4.42,4.19,3.97,3.74,3.5,3.19,4.82,4.62,4.48,4.37,4.26,4.16,4.05,3.93,3.77,114.51000213623047,14,AL,Kevin Gausman,592332,14107,14107
SDP,Padres,10.4566,9.6372,29.16,29.16,0,0,,166.513,703.18,150.013,76.0237,70.344,21.7392,173.01,57.705,0.9029,6.9101,3.80208,1.24746,9.35118,3.11895,2.99819,1.175,0.24604,0.0820629,0.16397708654403687,0.401896,0.234922,0.289025,0.742847,3.91846,726.1999999999998,4.348502994011975,700,4.191616766467066,2.92339,2.65622,14.8797,0.478913,0.852913,0.978171,5.4,4.87,4.52,4.24,4,3.77,3.53,3.28,2.96,4.74,4.5,4.34,4.2,4.08,3.96,3.84,3.7,3.52,128.80999755859375,29,NL,Michael King,650633,19853,19853
LAD,Dodgers,9.8372,6.8371,24.3,24.3,0,0,,138.55,574.658,117.499,60.275,55.5266,16.3643,161.533,50.9228,0.3195,3.9496,3.60692,1.21561,10.4929,3.30787,3.17212,1.063,0.281094,0.0886141,0.19248004257678986,0.446989,0.226054,0.295813,0.743218,3.52696,686.6000000000001,4.939568345323742,646,4.64748201438849,2.86873,2.82341,12.8872,0.465593,0.915727,1.02729,5.27,4.71,4.34,4.04,3.79,3.55,3.31,3.05,2.72,4.53,4.3,4.14,4.01,3.89,3.77,3.65,3.52,3.34,117.62000274658203,22,NL,Tyler Glasnow,607192,14374,14374
LAD,Dodgers,10.0801,6.7694,24.3,24.3,0,0,,141.694,596.354,115.681,60.6021,55.7259,16.4522,173.733,62.0888,0.5647,3.8918,3.53956,1.2546,11.035,3.94371,2.79813,1.045,0.291325,0.104114,0.18721094727516174,0.428642,0.218112,0.291687,0.757206,3.58932,702.4,4.946478873239436,652,4.591549295774648,2.83116,2.92184,13.5783,0.44933,0.898651,1.00472,5.18,4.62,4.26,3.97,3.72,3.49,3.26,3,2.68,4.44,4.22,4.06,3.94,3.82,3.71,3.6,3.47,3.29,165.0800018310547,22,NL,Blake Snell,605483,13543,13543
NYM,Mets,10.9069,9.2699,29.16,29.16,0,0,,168.291,710.389,144.369,76.438,70.9942,22.4388,185.193,62.3594,0.4795,7.5898,3.79668,1.2284,9.90388,3.3349,2.96976,1.2,0.260692,0.087782,0.1729099228978157,0.37188,0.225421,0.281718,0.743182,3.91454,758.1999999999999,4.513095238095238,714,4.25,2.74378,2.67615,15.1861,0.421169,0.846446,0.945438,5.34,4.83,4.49,4.22,3.98,3.76,3.53,3.29,2.97,4.64,4.43,4.29,4.17,4.07,3.96,3.85,3.73,3.56,56.54999923706055,25,NL,Freddy Peralta,642547,18679,18679
TEX,Rangers,10.3302,9.4566,29.16,29.16,0,0,,161.264,681.59,141.643,73.7907,68.4968,20.8927,182.306,61.1632,0.3476,6.3279,3.82274,1.2576,10.1743,3.41346,2.98065,1.166,0.267472,0.0897361,0.17773603647947311,0.389817,0.230651,0.293867,0.743363,3.81393,726.9000000000001,4.514906832298137,695,4.316770186335404,2.70615,2.45898,13.9601,0.4371,0.867552,0.971444,5.4,4.88,4.53,4.25,4.01,3.78,3.55,3.3,2.98,4.69,4.48,4.33,4.21,4.1,3.99,3.87,3.75,3.58,164.67999267578125,13,AL,MacKenzie Gore,669022,22201,22201
