Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CIN,Reds,9,8,29,29,0,0,,161,672,152,74,68,19,144,47,,4,3.79518,1.22892,8.0241,2.60241,3.08333,1.08434,0.214182,0.0694645,0.14471781998872757,,0.244131,0.288747,0.727273,3.85803,697.5,4.332298136645963,693,4.304347826086956,3.33715,3.11852,219.72000122070312,18,NL,Andrew Abbott,671096,29911,29911
PHI,Phillies,11,6,26,26,0,0,,159,647,136,65,60,17,164,43,,7,3.42657,1.12665,9.3007,2.44755,3.8,0.979021,0.253817,0.0667939,0.18702291697263718,,0.227743,0.285714,0.733652,3.43817,791.9000000000002,4.980503144654089,752,4.729559748427673,3.33365,3.71236,112.94999694824219,26,NL,Zack Wheeler,554430,10310,10310
TEX,Rangers,11,8,29,29,0,0,,162,643,133,68,63,22,173,39,,2,3.48307,1.06427,9.57844,2.17692,4.4,1.24395,0.268761,0.061082,0.20767886564135551,,0.222015,0.273481,0.738095,3.57052,805.3999999999999,4.971604938271604,747,4.611111111111111,3.27289,3.15428,49.720001220703125,13,AL,Jacob deGrom,594798,10954,10954
TOR,Blue Jays,12,10,31,31,0,0,,178,743,167,81,75,23,173,51,,2,3.77079,1.21996,8.7061,2.55083,3.41304,1.16451,0.232249,0.0680473,0.16420119255781174,,0.242038,0.291111,0.735469,3.76976,787.1000000000001,4.4219101123595514,778,4.370786516853933,3.21267,2.84796,114.51000213623047,14,AL,Kevin Gausman,592332,14107,14107
PHI,Phillies,12,10,31,31,0,0,,179,745,171,91,85,26,180,44,,5,4.25197,1.19542,9.01933,2.19041,4.11765,1.28848,0.240964,0.0585198,0.18244406953454018,,0.244936,0.295039,0.690647,3.80801,773.2000000000002,4.319553072625699,770,4.301675977653631,3.20674,2.29859,208.75,26,NL,Aaron Nola,605400,16149,16149
BAL,Orioles,7,6,28,28,0,0,,138,570,117,58,54,14,146,44,,7,3.51,1.17,9.54,2.88,3.3125,0.9,0.256039,0.0772947,0.17874398082494736,,0.225464,0.287356,0.728155,3.42514,683.8,4.955072463768116,647,4.688405797101449,3.11347,2.6726,73.29000091552734,2,AL,Kyle Bradish,680694,24586,24586
TEX,Rangers,11,9,29,29,0,0,,159,673,137,72,67,18,182,58,,9,3.82372,1.23018,10.3297,3.31008,3.12069,1.02727,0.270553,0.0866966,0.1838565245270729,,0.225914,0.292804,0.722749,3.59804,762,4.7924528301886795,724,4.553459119496855,3.04929,2.51888,164.67999267578125,13,AL,MacKenzie Gore,669022,22201,22201
TBR,Rays,10,6,24,24,0,0,,135,547,115,53,50,16,142,36,,2,3.31536,1.12309,9.46092,2.42588,3.9,1.05121,0.26,0.0666667,0.19333332031965256,,0.227273,0.284722,0.758427,3.41366,673.2,4.986666666666667,637,4.718518518518518,3.02935,3.1796,192.0800018310547,12,AL,Shane McClanahan,663556,21483,21483
ATL,Braves,13,10,28,28,0,0,,156,655,133,73,67,19,187,52,,8,3.86744,1.18718,10.7502,3.0153,3.56522,1.11435,0.285217,0.08,0.2052173763513565,,0.224138,0.293255,0.711207,3.51387,768.9000000000001,4.9288461538461545,727,4.660256410256411,2.98161,2.56224,107.9800033569336,16,NL,Spencer Strider,675911,27498,27498
MIN,Twins,11,10,29,29,0,0,,162,656,140,73,68,24,176,37,,9,3.7669,1.09466,9.79395,2.08628,4.69444,1.3329,0.268254,0.0571429,0.21111112460494041,,0.22906,0.282443,0.725689,3.75329,753.5999999999999,4.651851851851851,712,4.395061728395062,2.97996,2.77527,79.4000015258789,8,AL,Joe Ryan,657746,21390,21390
