Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ARI,Diamondbacks,139.957,532.522,611.888,146.76,86.5986,29.4781,2.4292,28.2543,88.1001,86.0434,67.112,5.12263,99.4096,6.75778,4.90731,0.588877,11.4254,5.24262,1.63379,0.275595,0.36092,0.499247,0.860167,0.367021,0.10968,0.162464,0.675105,0.223652,4.1073,0.289204,-0.00151407,,99.1094,26.8102,0.143602,-0.646085,-0.647599,4.71137,25.47632545232773,0.21480528265237808,136.022,874.8,6.248571428,874.8,6.248571428,3.05787,0.574009,0.885703,3.05787,-0.574009,3.81906,32.060001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
LAD,Dodgers,142.757,527.871,620.3,141.947,82.3006,27.7466,2.1353,29.7644,94.3545,87.8866,84.4966,6.05812,92.1539,3.2115,3.54719,1.17424,8.11024,22.9627,4.60181,0.268905,0.370934,0.498715,0.869649,0.371808,0.136219,0.148563,0.916907,0.229811,5.37409,0.27395,-0.500006,,102.882,29.5893,0.0631759,1.62568,1.12567,4.60275,30.53947377204895,-6.545946896076202,140.12,932.5,6.52097902,932.5,6.52097902,1.87165,0.35847,0.279355,1.87165,-0.35847,4.62753,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
NYM,Mets,142.317,555.071,627.473,143.318,89.3724,27.8185,1.24339,24.8838,92.1583,76.7604,56.0826,1.27424,115.211,10.5867,4.82175,0.911534,7.91318,22.6468,5.43643,0.258198,0.335142,0.447285,0.782427,0.33889,0.0893784,0.183611,0.486781,0.189087,5.49504,0.282122,-0.402544,,87.3022,13.1614,2.89156,1.28131,0.878769,4.5127,13.862660586833954,9.007997512817383,117.508,798.4,5.622535211,798.4,5.622535211,2.89157,1.29129,0.536148,2.89157,-1.29129,4.28514,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
TEX,Rangers,123.222,460.768,528.594,125.876,75.1326,23.9286,0.365691,26.4488,70.9588,75.8989,59.7003,9.50784,98.1657,4.39415,3.53356,0.198891,9.84624,2.529,0.574452,0.273187,0.359523,0.498911,0.858433,0.363473,0.112942,0.185711,0.608159,0.225724,2.70456,0.292702,-0.875304,,84.0952,21.6377,0.239157,-0.585811,-1.46112,4.46779,21.17413318157196,4.300531223416328,136.332,753.5,6.12601626,753.5,6.12601626,2.92218,-0.555875,0.831687,2.92218,0.555875,3.89108,94.87000274658203,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
TOR,Blue Jays,152.945,576.806,662.68,169.7,108.571,31.8681,0.474176,28.7868,93.811,95.3079,74.8884,7.97721,90.5738,6.27511,4.4749,0.235758,15.1704,4.78111,2.07621,0.294206,0.378693,0.500821,0.879514,0.375728,0.113008,0.136678,0.826821,0.206615,2.97296,0.305059,-0.230437,,112.021,33.7203,-0.973159,-1.09392,-1.32436,4.38507,33.0203423500061,-12.969105422496796,143.973,987.3,6.452941176,987.3,6.452941176,3.14121,0.10444,1.32697,3.14121,-0.10444,3.23071,18.299999237060547,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
MIL,Brewers,143.965,522.992,599.924,139.175,91.7536,27.256,0.880411,19.2854,76.5129,76.4623,68.6928,3.25162,115.607,3.7904,4.08664,0.362086,13.8836,5.7502,2.03304,0.266114,0.353022,0.432221,0.785243,0.341706,0.114502,0.192703,0.59419,0.166107,3.26779,0.305697,-0.449567,,84.841,13.9553,1.80098,-0.745297,-1.19486,4.31987,13.324000239372253,8.938704133033752,120.419,742.8,5.158333333,742.8,5.158333333,2.05351,-0.585576,0.579998,2.05351,0.585576,4.22667,55.79999923706055,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
ARI,Diamondbacks,138.212,524.905,603.315,135.035,73.19,26.3321,10.0459,25.4666,96.3853,76.9803,63.5851,2.57225,127.451,8.1139,4.59861,2.11238,6.09171,31.6459,6.71278,0.257255,0.343867,0.491248,0.835115,0.356484,0.105393,0.211251,0.498899,0.233992,8.14384,0.290951,2.01488,,92.5594,21.2731,3.03564,2.64065,4.65553,4.31236,25.25199556350708,-3.175539016723633,128.804,855.6,6.2,855.6,6.2,1.91114,0.385889,0.901362,1.91114,-0.385889,3.79818,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
LAD,Dodgers,123.544,425.76,497.475,111.557,69.2238,21.1145,1.23132,19.9874,68.7445,68.287,57.7309,2.60648,97.0051,8.20397,5.59108,0.189618,7.01937,2.33981,1.07218,0.262018,0.356921,0.458231,0.815152,0.352216,0.116048,0.194995,0.595132,0.196212,3.37051,0.29129,-0.680414,,74.5978,15.8172,1.81273,-0.846181,-1.52659,4.27108,14.149884343147278,10.758819341659546,126.662,654.8,5.280645161,654.8,5.280645161,2.91535,0.271202,0.541236,2.91535,-0.271202,4.27835,96.91999816894531,0.00980392,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
PHI,Phillies,143.298,577.407,627.267,163.263,112.232,29.1608,3.96142,17.9096,89.3895,70.9797,40.1075,0.556597,113.392,5.36481,3.44854,0.939055,10.3988,27.7277,5.10841,0.282753,0.333269,0.440029,0.773298,0.334835,0.06394,0.180772,0.353705,0.157276,6.53515,0.323329,1.2876,,85.2086,11.0922,0.55772,2.41613,3.70373,4.26521,13.626875400543213,7.191875994205475,113.348,786.1,5.497202797,786.1,5.497202797,2.49446,0.960639,1.02646,2.49446,-0.960639,3.63139,26.3799991607666,0.00714286,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
LAD,Dodgers,142.552,545.142,621.763,146.258,92.7414,29.8224,2.47476,21.2199,88.5259,80.6433,66.2769,1.89976,72.0182,4.2525,5.5429,0.548781,8.95086,9.05104,2.47665,0.268294,0.348974,0.448855,0.79783,0.345403,0.106595,0.115829,0.92028,0.180561,4.52255,0.27334,-0.303871,,89.7956,16.3295,-1.86608,-0.269345,-0.573216,4.23135,15.58039790391922,4.733533024787903,121.982,789.9,5.523776223,789.9,5.523776223,2.15838,-0.375464,0.647554,2.15838,0.375464,4.13659,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
