Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zach Brzykcy","MIA",0.292452,0.262764,0,4.39556,7.964,0,0,0.6387,,8.0058,34.8076,7.12129,4.19,3.91,1.04608,3.86496,0.367508,0.323623,7.44549,8.3701,4.34493,1.92641,1.17599,0.213904,0.111038,0.10286633670330048,0.232577,1.37229,0.274555,0.713761,,,4.54334,0.0125167,0.0184266,999,,,,,,,34.7,4.3375,33,4.125,,,,,,,,,,,,,,,,,,,"Zach Brzykcy","27783",694350
"Taylor Rashi","ARI",0.426159,0.381976,0,4.76076,12.33,0,0,0,,21.7024,95.2346,20.4474,12.28,11.48,3.05712,10.341,0.854785,0.633115,20.564,8.52792,4.28842,1.98859,1.26779,0.21593,0.108584,0.10734590888023376,0.242668,1.41866,0.286781,0.698207,,,4.58828,0.0122529,-0.0510385,999,,,,,,,82.9,3.7681818181818185,80,3.6363636363636362,,,,,,,,,,,,,,,,,,,"Taylor Rashi","26344",688497
"Daniel Lynch IV","KCR",1.99977,1.86843,0,4.63402,48.494,0.441,0,10.7571,,55.9342,244.2,55.8331,30.9,28.8,6.99654,20.5359,1.56729,4.32873,41.8967,6.74132,3.30429,2.04017,1.12577,0.171567,0.0840943,0.08747249096632004,0.254555,1.36534,0.286528,0.682986,,,4.59677,0.0122073,-0.17658,999,,,,,,,235.70000000000007,4.208928571428573,242,4.321428571428571,,,,,,,,,,,,,,,,,,,"Daniel Lynch IV","21537",663738
"Tayler Saucedo","LAA",0.883685,0.827801,0,4.55956,24.776,0,0,0.6185,,24.8708,108.869,24.8732,13.52,12.6,2.83358,10.3208,0.671963,1.42591,20.0406,7.2521,3.7348,1.94177,1.02539,0.18408,0.0948003,0.08927971869707108,0.256101,1.41507,0.296837,0.694079,,,4.4216,0.0106049,-0.0952222,999,,,,,,,94.1,3.764,97,3.88,,,,,,,,,,,,,,,,,,,"Tayler Saucedo","17888",642048
"Logan VanWey","HOU",0.400454,0.302156,0,4.49242,8.456,0,0,0,,10.1571,44.0628,8.8901,5.42,5.07,1.48682,4.74226,0.356086,0.595829,9.94356,8.81078,4.20202,2.0968,1.31744,0.225668,0.107625,0.11804277449846268,0.229572,1.34215,0.271239,0.710977,,,4.65681,0.00946838,0.0230333,999,,,,,,,40.300000000000004,4.03,39,3.9,,,,,,,,,,,,,,,,,,,"Logan VanWey","31884",701121
"Tucker Davidson","PHI",0.217647,0.160794,0,4.59568,5.561,0,0,0.6364,,5.8555,25.6,5.77378,3.22,2.99,0.66865,2.47243,0.163318,0.252071,4.92269,7.56625,3.80017,1.99103,1.02773,0.192292,0.0965793,0.09571295231580734,0.2524,1.40829,0.295364,0.687571,,,4.33411,0.00933756,0.0138199,999,,,,,,,24.500000000000007,4.083333333333335,25,4.166666666666667,,,,,,,,,,,,,,,,,,,"Tucker Davidson","19871",656353
"Nick Hernandez","ATH",0.41704,0.364661,0,4.62199,9.655,0,0,0,,11.878,51.4112,10.3524,6.52,6.1,1.98581,5.41965,0.340893,0.604042,12.3093,9.32679,4.10649,2.27123,1.50465,0.239428,0.105418,0.134010411798954,0.22809,1.32784,0.269088,0.712139,,,4.75729,0.00918803,-0.0739255,999,,,,,,,44.20000000000002,3.683333333333335,40,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Nick Hernandez","19281",663321
"Jake Eder","WSN",0.467495,0.52338,0,4.82885,13.811,0.002,0,0.6452,,16.886,74.2745,16.4713,9.69,9.06,2.19202,7.47613,0.492002,0.867261,14.7234,7.84736,3.98467,1.96939,1.16831,0.198229,0.100655,0.09757392108440399,0.249826,1.41818,0.29132,0.682872,,,4.56115,0.00879533,-0.113109,999,,,,,,,69.60000000000002,4.094117647058825,69,4.0588235294117645,,,,,,,,,,,,,,,,,,,"Jake Eder","27590",671109
"Ryan Loutos","SEA",0.604253,0.607998,0,4.70771,15.906,0,0,0.65,,16.4411,71.9697,16.5635,9.2,8.6,2.07502,6.71885,0.564918,0.671706,13.2272,7.24069,3.67796,1.96867,1.13588,0.183789,0.0933567,0.09043186902999878,0.256483,1.4161,0.294021,0.691079,,,4.51536,0.0083576,-0.0649976,999,,,,,,,55.60000000000001,3.4750000000000005,60,3.75,,,,,,,,,,,,,,,,,,,"Ryan Loutos","29521",702795
"Matt Bowman","MIN",0.546346,0.463844,0,4.98102,11.44,0,0,0.6406,,14.0935,62.2632,14.6798,8.33,7.8,1.6361,5.60196,0.375322,0.879428,10.7234,6.84791,3.57737,1.91423,1.0448,0.172228,0.0899724,0.08225535601377487,0.263165,1.43909,0.300393,0.664311,,,4.5022,0.00834706,-0.0693912,999,,,,,,,45,3.2142857142857144,49,3.5,,,,,,,,,,,,,,,,,,,"Matt Bowman","13528",621199
"Guillo Zuñiga","SEA",0.219356,0.210945,0,4.58031,5.597,0,0,0.65,,5.8555,25.251,5.26943,3.19,2.98,0.8791,2.44067,0.207943,0.314603,5.60917,8.62139,3.75135,2.29821,1.35119,0.222137,0.0966565,0.1254802867770195,0.234242,1.31673,0.274268,0.697616,,,4.58263,0.0077274,0.0138199,999,,,,,,,29.10000000000001,4.850000000000001,27,4.5,,,,,,,,,,,,,,,,,,,"Guillo Zuniga","19588",670871
"Jorge Alcala","TOR",0.802484,0.53629,0,4.72199,17.56,0,0,0,,18.812,81.1051,17.5633,10.57,9.87,3.12699,7.43742,0.349662,0.762797,17.8918,8.55974,3.5582,2.40564,1.49601,0.2206,0.0917011,0.12889878451824188,0.240907,1.32898,0.27823,0.699741,,,4.70158,0.00722144,-0.108773,999,,,,,,,68.89999999999999,3.6263157894736837,68,3.5789473684210527,,,,,,,,,,,,,,,,,,,"Jorge Alcala","19459",660896
"Vince Velasquez","CHC",0.237766,0.208936,0,4.8446,5.712,0,0,0.7226,,6.0005,26.2542,5.55253,3.45,3.23,0.913437,2.7918,0.140963,0.291826,6.06464,9.0962,4.18736,2.1723,1.37004,0.230997,0.106337,0.12465941905975342,0.239637,1.39061,0.286496,0.692707,,,4.63439,0.00567956,0.0138199,999,,,,,,,23.500000000000007,3.916666666666668,24,4,,,,,,,,,,,,,,,,,,,"Vince Velasquez","11189",592826
"Jesse Scholtens","TBR",1.04513,1.10069,0,5.07554,24.199,0.479,0,0.6597,,31.5454,139.158,32.5309,19.1,17.79,4.92495,12.7618,1.00306,1.19022,28.3731,8.09495,3.64099,2.22328,1.4051,0.203892,0.0917076,0.11218420416116714,0.259819,1.43579,0.300366,0.682141,,,4.69271,0.00559055,-0.230422,999,,,,,,,107.50000000000001,3.3593750000000004,113,3.53125,,,,,,,,,,,,,,,,,,,"Jesse Scholtens","19205",669947
"Jose Franco","CIN",0.481456,0.43478,0,4.772,12.538,0.003,0,0,,13.1077,57.1498,11.9009,7.41,6.95,2.2118,6.01115,0.376062,0.641433,13.6239,9.35441,4.12737,2.26643,1.51866,0.238389,0.105182,0.1332065463066101,0.235674,1.36653,0.279534,0.708853,,,4.7726,0.00499707,-0.0210759,999,,,,,,,47.39999999999999,3.6461538461538456,46,3.5384615384615383,,,,,,,,,,,,,,,,,,,"Jose Franco","sa3008714",683742
"Cam Sanders","PIT",1.41959,1.07488,0,4.62961,31.31,0,0,6.8285,,33.6508,150.437,29.2817,18.41,17.31,3.92847,20.9684,1.22238,1.92161,33.7081,9.01531,5.60805,1.60757,1.05068,0.224068,0.139383,0.08468475937843323,0.229577,1.49328,0.281985,0.711507,,,4.69004,0.00495449,-0.0237762,999,,,,,,,154.00000000000003,4.529411764705883,145,4.264705882352941,,,,,,,,,,,,,,,,,,,"Cam Sanders","23479",676742
"Bradley Blalock","MIA",0.433815,0.674959,0,5.19302,12.031,0.589,0,0.6387,,15.9618,71.2491,17.1846,9.89,9.21,2.22581,6.88639,0.559688,0.594406,11.5299,6.5011,3.88287,1.6743,1.25502,0.161825,0.0966524,0.06517308205366135,0.269485,1.50804,0.2991,0.67674,,,4.90925,0.00404318,-0.115259,999,,,,,,,53.60000000000001,3.3500000000000005,58,3.625,,,,,,,,,,,,,,,,,,,"Bradley Blalock","26419",687134
"Shinnosuke Ogasawara","WSN",0.282031,0.399546,0,4.81555,8.079,0.241,0,0.6452,,11.8865,52.1519,12.0939,6.84,6.36,1.56248,4.63069,0.348309,0.47135,9.62789,7.28987,3.50618,2.07915,1.18305,0.184612,0.0887924,0.09582006186246872,0.257043,1.40702,0.293684,0.679954,,,4.5117,0.00235839,-0.0737407,999,,,,,,,42.000000000000014,3.5000000000000013,43,3.5833333333333335,,,,,,,,,,,,,,,,,,,"Shinnosuke Ogasawara","35324",829272
"Jalen Beeks","TEX",2.29105,1.87685,0,4.75978,50.023,0.16,1,6.9607,,51.6578,225.011,51.5051,29.24,27.32,7.26263,19.5596,1.20993,2.54928,41.3512,7.20435,3.40773,2.11412,1.26532,0.183774,0.0869272,0.09684713929891586,0.253843,1.37568,0.286753,0.68681,,,4.64581,0.00125256,-0.185841,999,,,,,,,209.50000000000006,4.028846153846155,215,4.134615384615385,,,,,,,,,,,,,,,,,,,"Jalen Beeks","17192",656222
"Kirby Yates","LAA",2.02841,1.85364,0,4.62059,55.477,0,12,9.9344,,55.9799,242.609,46.8466,30.71,28.74,8.99666,27.7031,1.47489,3.2922,64.4518,10.3621,4.45388,2.32652,1.44641,0.265661,0.114188,0.15147316455841064,0.221378,1.33172,0.273947,0.707612,,,4.58277,0.000234697,-0.176753,273.04998779296875,,,,,,,316.5000000000001,5.651785714285716,298,5.321428571428571,,,,,,,,,,,,,,,,,,,"Kirby Yates","9073",489446
"Lyon Richardson","CIN",0.698735,0.662968,0,4.65452,18.221,0.157,0,0,,22.3718,98.9566,21.5517,12.36,11.57,2.42557,11.407,0.741971,0.994088,18.8145,7.56894,4.58894,1.64939,0.975789,0.190129,0.115272,0.07485655695199966,0.248992,1.47322,0.292827,0.696775,,,4.52557,-0.000186719,-0.0512378,999,,,,,,,83.00000000000001,3.7727272727272734,86,3.909090909090909,,,,,,,,,,,,,,,,,,,"Lyon Richardson","24581",680689
"Génesis Cabrera","PHI",0.758066,0.576053,0,4.67777,19.181,0,0,0.6364,,19.9518,86.524,19.5306,11.16,10.37,2.81201,7.57956,0.5694,1.0623,16.3095,7.35702,3.41904,2.15178,1.26846,0.188497,0.0876007,0.10089664161205292,0.250771,1.35878,0.28452,0.688297,,,4.63187,-0.000671036,-0.0558626,999,,,,,,,68.1,3.405,70,3.5,,,,,,,,,,,,,,,,,,,"Genesis Cabrera","17490",650893
"Logan Gillaspie","SDP",0.583274,0.500472,0,4.84258,14.113,0,0,0.6518,,16.7638,73.1734,17.2887,9.65,9.02,2.38645,5.86859,0.401526,0.83841,12.7745,6.85828,3.15068,2.17676,1.28121,0.174579,0.0802011,0.0943777859210968,0.260112,1.38139,0.290462,0.681626,,,4.66198,-0.00161953,-0.113109,999,,,,,,,66.00000000000001,3.8823529411764715,68,4,,,,,,,,,,,,,,,,,,,"Logan Gillaspie","22461",670810
"Derek Law","ARI",0.577206,0.590537,0,5.22961,17.78,0,0,0.6469,,18.6381,83.1871,20.7297,11.57,10.83,2.31995,7.29708,0.438398,0.890463,14.2848,6.89787,3.52363,1.9576,1.12026,0.171719,0.0877189,0.08400000631809235,0.276398,1.50374,0.315264,0.664146,,,4.5383,-0.00216663,-0.209391,999,,,,,,,69.4,3.6526315789473687,77,4.052631578947368,,,,,,,,,,,,,,,,,,,"Derek Law","13133",571882
"Shaun Anderson","LAA",0.35286,0.403089,0,4.95146,9.939,0.103,0,0.6185,,10.8877,47.7831,11.4002,6.4,5.99,1.58206,4.10577,0.309264,0.360771,8.25691,6.82534,3.39392,2.01105,1.30777,0.1728,0.0859251,0.08687467128038406,0.263184,1.42417,0.293275,0.685119,,,4.7381,-0.0024612,-0.0256389,999,,,,,,,36.20000000000001,3.290909090909092,37,3.3636363636363638,,,,,,,,,,,,,,,,,,,"Shaun Anderson","19453",641312
