Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Matt Vierling","DET",66,287,259,63,43,12,2,7,33,29,23,0,67,3,2,0,,3,1,0.244881,0.0798043,0.232881,0.342683,0.310774,0.380772,0.303058,0.691546,0.13589,4.60156,0.302355,0.190103,-0.284175,31.5817,-2.32952,93.0583,-0.0940716,-1.97229,-2.44220232963562,-3.347287654876709,0.418313,999,,,,,,,286.7,4.343939393,286.7,4.343939393,,,,,,,,,,,,,,,,,,,"Matt Vierling","21558",663837
"Daniel Schneemann","CLE",49,210,187,41,26,9,1,5,23,21,20,0,57,1,1,1,,4,1,0.219356,0.0971356,0.270969,0.358475,0.298664,0.359571,0.290987,0.658235,0.140215,4.78221,0.284129,-0.102003,-0.0823331,21.0505,-3.76261,86.1784,-0.184336,0.103971,-3.605309411883354,0.4039711058139801,0.411963,999,,,,,,,189.2,3.861224489,189.2,3.861224489,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"Oswald Peraza","LAA",63,273,248,54,38,9,0,7,30,27,19,0,71,4,1,1,,9,2,0.218536,0.0711001,0.259059,0.274455,0.284483,0.345131,0.278651,0.629613,0.126594,4.92877,0.273618,0.0351994,0.514677,24.6314,-7.62562,75.318,0.549877,1.4937,-7.391847252845764,2.01870059967041,0.41161,999,,,,,,,226.8,3.6,226.8,3.6,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Yohel Pozo","STL",44,179,171,45,30,10,0,5,19,22,5,0,22,1,1,0,,1,0,0.264483,0.0305891,0.121155,0.252479,0.288596,0.414976,0.3026,0.703572,0.150493,2.86758,0.275863,-0.12974,-0.140781,19.6747,-1.5228,95.0241,-0.27052,-1.31305,-1.3285273313522339,-0.7880479097366333,0.410307,999,,,,,,,176.9,4.020454545,176.9,4.020454545,,,,,,,,,,,,,,,,,,,"Yohel Pozo","18848",650968
"Vaughn Grissom","LAA",32,140,126,31,22,6,0,3,16,14,11,0,27,2,1,0,,2,1,0.249413,0.0756748,0.193736,0.390607,0.315533,0.370968,0.303058,0.686501,0.121555,4.32919,0.294251,0.0481657,-0.0319646,15.4057,-1.13636,92.1308,0.0162011,-0.115022,-1.2822633143514395,0.4349781423807144,0.406312,999,,,,,,,133.2,4.1625,133.2,4.1625,,,,,,,,,,,,,,,,,,,"Vaughn Grissom","26031",687093
"Jahmai Jones","DET",32,140,121,29,17,7,1,4,19,17,15,0,34,3,1,1,,3,1,0.243821,0.10841,0.244281,0.443792,0.341232,0.419982,0.333366,0.761215,0.176161,5.74339,0.305349,-0.00189988,-0.0982194,18.8508,2.30871,113.937,-0.100119,0.115285,2.1995139718055725,-3.084714576601982,0.402433,999,,,,,,,161.9,5.059375,161.9,5.059375,,,,,,,,,,,,,,,,,,,"Jahmai Jones","18872",663330
"Blake Perkins","MIL",34,147,129,29,20,6,1,3,17,14,15,0,40,1,1,0,,5,2,0.223059,0.104625,0.272689,0.38368,0.307807,0.341659,0.289584,0.649466,0.118601,5.751,0.298268,0.0438014,0.123129,14.5679,-2.80127,84.7141,0.16693,1.00869,-2.4962576180696487,1.5336856842041016,0.401899,999,,,,,,,136.6,4.017647058,136.6,4.017647058,,,,,,,,,,,,,,,,,,,"Blake Perkins","19921",663368
"James McCann","ARI",53,213,196,47,31,10,0,6,22,24,11,0,55,3,2,1,,1,0,0.238948,0.0529905,0.256956,0.206224,0.28773,0.378449,0.290278,0.666179,0.139501,3.11964,0.299722,-0.305066,-0.156756,21.2286,-3.93902,83.4505,-0.461823,-0.677799,-4.639731138944626,2.5472012162208557,0.390818,999,,,,,,,196.5,3.707547169,196.5,3.707547169,,,,,,,,,,,,,,,,,,,"James McCann","12859",543510
"Tyrone Taylor","NYM",63,273,251,58,37,14,2,6,31,28,14,1,61,5,2,1,,7,2,0.231926,0.0506487,0.225168,0.224937,0.283997,0.372286,0.285571,0.656283,0.14036,6.01968,0.281438,0.266371,0.359233,26.1653,-6.09179,84.5117,0.625604,0.95614,-4.385814905166626,-0.9688602089881897,0.381431,999,,,,,,,246.9,3.919047619,246.9,3.919047619,,,,,,,,,,,,,,,,,,,"Tyrone Taylor","13675",621438
"Ezequiel Duran","TEX",57,245,228,56,37,13,1,5,27,25,13,0,58,3,2,1,,7,2,0.246327,0.0512281,0.236061,0.217012,0.291623,0.376101,0.291331,0.667724,0.129774,5.05542,0.306886,-0.13745,0.264349,24.6273,-4.32132,86.6361,0.126899,-2.12789,-3.7320720702409744,-1.0028948783874512,0.378304,999,,,,,,,231.7,4.06491228,231.7,4.06491228,,,,,,,,,,,,,,,,,,,"Ezequiel Duran","23733",677649
