Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,12,7,29,29,0,0,,164,665,133,61,56,20,184,39,,7,3.05293,1.04905,10.1017,2.14036,4.71961,1.09136,0.276781,0.0586449,0.21813634410500526,,0.214847,0.27248,0.771714,3.30484,851.8000000000002,5.1939024390243915,790,4.817073170731708,3.41461,3.64938,19,36.91999816894531,11,AL,Logan Gilbert,669302,22250,22250
SEA,Mariners,12,8,31,31,0,0,,172,706,152,67,61,20,171,34,,7,3.21309,1.08013,8.93491,1.77413,5.03623,1.05725,0.241559,0.0479643,0.1935950629413128,,0.228046,0.277185,0.753763,3.3901,850.5999999999999,4.945348837209302,819,4.761627906976744,3.38559,3.45846,19,64.52999877929688,11,AL,George Kirby,669923,25436,25436
TEX,Rangers,11,9,29,29,0,0,,174,719,159,77,71,20,166,48,,8,3.65144,1.19079,8.57123,2.49819,3.43097,1.01303,0.230431,0.067162,0.1632687747478485,,0.239571,0.29147,0.723631,3.65694,792.2000000000002,4.552873563218392,774,4.448275862068965,3.2989,2.96951,17,134.66000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
MIN,Twins,10,9,29,29,0,0,,168,689,146,74,68,25,183,41,,7,3.6218,1.11165,9.80213,2.19232,4.47112,1.32272,0.265524,0.0593866,0.20613756775856018,,0.227474,0.279494,0.74194,3.72464,778.1,4.631547619047619,737,4.386904761904762,3.12367,3.06255,17,79.4000015258789,8,AL,Joe Ryan,657746,21390,21390
TOR,Blue Jays,12,9,31,31,0,0,,172,722,141,74,68,21,199,68,,8,3.55172,1.21455,10.4383,3.54826,2.94181,1.11149,0.275994,0.0938177,0.1821763962507248,,0.218156,0.281328,0.752192,3.74755,817.9,4.755232558139535,757,4.401162790697675,3.11824,3.14351,18,74.19000244140625,14,AL,Dylan Cease,656302,18525,18525
TBR,Rays,9,9,31,31,0,0,,159,651,141,68,62,17,148,45,,7,3.53708,1.17258,8.39063,2.56103,3.27627,0.95512,0.227388,0.0694046,0.15798385441303253,,0.235427,0.286037,0.725904,3.63424,740.9000000000002,4.659748427672957,714,4.490566037735849,3.10502,3.10068,18,134.67999267578125,12,AL,Drew Rasmussen,656876,25385,25385
LAA,Angels,11,9,31,31,0,0,,175,753,162,79,73,13,162,77,,9,3.73468,1.36645,8.36326,3.96575,2.10887,0.685982,0.215763,0.102312,0.11345072835683823,,0.242622,0.302304,0.724925,3.7404,779.8999999999999,4.4565714285714275,772,4.411428571428571,3.08287,3.06213,18,326.82000732421875,1,AL,José Soriano,667755,22100,22100
BOS,Red Sox,11,10,29,29,0,0,,170,717,169,84,77,19,154,50,,8,4.05552,1.29099,8.13561,2.66308,3.05497,1.00155,0.214262,0.0701356,0.14412634074687958,,0.256586,0.308704,0.70369,3.79608,718.9,4.228823529411764,737,4.3352941176470585,2.93328,2.43554,15,183.47000122070312,3,AL,Ranger Suarez,624133,17277,17277
BAL,Orioles,10,8,28,28,0,0,,145,607,128,62,57,16,157,47,,7,3.51989,1.20323,9.75936,2.91944,3.34289,1.01579,0.259266,0.0775572,0.18170837312936783,,0.230509,0.292873,0.74249,3.54317,695.4000000000001,4.795862068965518,669,4.613793103448276,2.83176,2.68552,16,73.29000091552734,2,AL,Kyle Bradish,680694,24586,24586
LAD,Dodgers,11,7,24,24,0,0,,135,553,107,55,51,16,156,50,,6,3.39209,1.16895,10.4013,3.36665,3.0895,1.03835,0.281516,0.0911202,0.19039546698331833,,0.215721,0.281523,0.751711,3.58518,668,4.948148148148148,611,4.525925925925926,2.79656,3.07454,14,117.62000274658203,22,NL,Tyler Glasnow,607192,14374,14374
TOR,Blue Jays,12,10,31,31,0,0,,181,758,165,86,79,24,175,57,,8,3.9396,1.2264,8.73479,2.8143,3.10372,1.20827,0.231503,0.074589,0.15691406279802322,,0.238288,0.285548,0.720595,4.01292,770.2,4.25524861878453,748,4.132596685082873,2.76561,2.43745,17,114.51000213623047,14,AL,Kevin Gausman,592332,14107,14107
MIA,Marlins,11,10,31,31,0,0,,187,784,180,92,84,21,161,60,,8,4.04701,1.28132,7.77775,2.87113,2.70895,1.0175,0.205657,0.0759175,0.12973903119564056,,0.250752,0.296896,0.703611,3.96987,775.5,4.147058823529412,780,4.171122994652406,2.7576,2.68006,17,145.35000610351562,20,NL,Sandy Alcantara,645261,18684,18684
LAD,Dodgers,11,7,24,24,0,0,,134,562,103,54,49,15,166,60,,7,3.33095,1.22021,11.1591,4.06361,2.7461,1.00186,0.294894,0.107387,0.18750736862421036,,0.207576,0.279498,0.766629,3.60652,670.3,5.002238805970149,606,4.522388059701493,2.74276,3.11997,15,165.0800018310547,22,NL,Blake Snell,605483,13543,13543
CIN,Reds,10,9,28,28,0,0,,150,635,137,69,63,21,155,42,,7,3.78613,1.19398,9.24315,2.53135,3.65146,1.26805,0.243241,0.0666146,0.17662622779607773,,0.234234,0.282855,0.736915,3.88963,658.5,4.39,640,4.266666666666667,2.7404,2.89452,15,121.75,18,NL,Nick Lodolo,666157,26378,26378
TBR,Rays,10,9,31,31,0,0,,168,702,143,76,70,22,176,59,,8,3.72914,1.20213,9.44414,3.15342,2.99489,1.2062,0.250834,0.0837541,0.1670803725719452,,0.224929,0.275692,0.738857,3.96884,751.8,4.475,705,4.196428571428571,2.72373,2.83173,17,124.62000274658203,12,AL,Ryan Pepiot,686752,26221,26221
PHI,Phillies,12,10,31,31,0,0,,179,747,167,88,81,26,173,51,,8,4.05787,1.21518,8.72197,2.5458,3.42602,1.30246,0.231967,0.0677076,0.1642596572637558,,0.242106,0.287757,0.713753,4.05902,739.6000000000001,4.131843575418995,726,4.055865921787709,2.69522,2.64667,16,208.75,26,NL,Aaron Nola,605400,16149,16149
CLE,Guardians,10,10,31,31,0,0,,181,759,166,85,77,23,170,54,,8,3.85678,1.21794,8.46336,2.67258,3.16674,1.16208,0.224016,0.0707401,0.15327543765306473,,0.238836,0.284163,0.723017,3.95787,778.9,4.3033149171270715,760,4.198895027624309,2.69291,2.52948,17,187.3000030517578,5,AL,Tanner Bibee,676440,30134,30134
CIN,Reds,8,3,19,27,0,1,,109,454,83,39,36,13,143,37,,5,2.96205,1.10257,11.8028,3.05626,3.86185,1.05383,0.316041,0.0818367,0.23420463502407074,,0.202693,0.276527,0.79168,3.1903,594.8999999999999,5.457798165137613,540,4.954128440366972,2.67328,3.10243,13,105,18,NL,Chase Burns,695505,35333,35333
LAD,Dodgers,10,6,23,23,0,0,,114,464,87,43,39,13,138,39,,5,3.08289,1.10186,10.8818,3.08787,3.52405,1.02243,0.297779,0.0844993,0.2132800817489624,,0.206624,0.274595,0.771867,3.35828,601.5,5.276315789473684,545,4.780701754385965,2.66574,2.97624,14,1.2400000095367432,22,NL,Shohei Ohtani,660271,19755,19755
LAD,Dodgers,11,4,24,42,0,1,,145,600,115,60,55,20,177,49,,7,3.43153,1.1377,11.0483,3.07821,3.5892,1.25523,0.295532,0.0823391,0.2131926417350769,,0.211278,0.273539,0.765307,3.65654,718,4.951724137931034,655,4.517241379310345,2.64539,2.8147,15,110.3499984741211,22,NL,Emmet Sheehan,686218,29839,29839
DET,Tigers,11,9,29,29,0,0,,161,688,145,74,68,21,175,56,,8,3.78811,1.24648,9.78557,3.11667,3.13975,1.18607,0.254336,0.0810051,0.17333072423934937,,0.231901,0.28858,0.740847,3.85353,714.1000000000001,4.435403726708075,690,4.285714285714286,2.62277,2.51285,16,211.57000732421875,6,AL,Jack Flaherty,656427,17479,17479
TEX,Rangers,10,9,29,29,0,0,,161,681,138,74,68,21,180,62,,8,3.78196,1.24344,10.0628,3.49219,2.88152,1.18092,0.264246,0.0917036,0.17254212498664856,,0.22539,0.284452,0.740247,3.91269,724.3000000000002,4.498757763975156,682,4.236024844720497,2.61828,2.44601,16,164.67999267578125,13,AL,MacKenzie Gore,669022,22201,22201
SDP,Padres,11,9,29,29,0,0,,174,718,146,79,73,25,187,55,,8,3.75568,1.15901,9.67956,2.86007,3.38438,1.31628,0.260592,0.0769984,0.18359342217445374,,0.223456,0.273305,0.736942,3.97313,785.5000000000001,4.514367816091955,730,4.195402298850575,2.6034,2.7676,16,95.66000366210938,29,NL,Nick Pivetta,601713,15454,15454
LAA,Angels,9,5,24,36,0,1,,149,629,127,66,60,19,166,54,,7,3.64744,1.21693,10.0364,3.24792,3.09011,1.16514,0.263782,0.0853631,0.1784185692667961,,0.224117,0.282167,0.747607,3.81155,691.7,4.642281879194631,651,4.369127516778524,2.47168,2.51726,14,332.9800109863281,1,AL,Reid Detmers,672282,27468,27468
ATL,Braves,11,9,28,28,0,0,,156,654,134,72,66,21,179,56,,7,3.80392,1.21312,10.2968,3.22535,3.19248,1.23533,0.27355,0.0856859,0.18786421418190002,,0.226278,0.287448,0.736061,3.84617,716.7000000000002,4.59423076923077,676,4.333333333333333,2.43349,2.66967,15,107.9800033569336,16,NL,Spencer Strider,675911,27498,27498
PIT,Pirates,11,10,31,31,0,0,,174,746,174,88,81,22,154,52,,8,4.18147,1.3059,7.98686,2.71498,2.94178,1.14102,0.206791,0.0702946,0.13649645447731018,,0.254615,0.299481,0.707589,4.05026,692.6,3.9804597701149427,712,4.091954022988506,2.42391,2.31157,16,532.8400268554688,27,NL,Mitch Keller,656605,17594,17594
SDP,Padres,10,9,28,28,0,0,,155,654,143,71,65,21,148,42,,7,3.77166,1.19124,8.5824,2.41741,3.55025,1.20965,0.22657,0.0638179,0.1627516821026802,,0.236792,0.28067,0.731276,3.91254,665.9000000000001,4.296129032258065,651,4.2,2.39559,2.40018,16,302.9100036621094,29,NL,Joe Musgrove,605397,12970,12970
NYM,Mets,11,9,29,29,0,0,,163,684,136,74,68,22,178,62,,8,3.74485,1.21551,9.84863,3.40307,2.89405,1.2177,0.260699,0.0900812,0.17061778157949448,,0.221998,0.276145,0.741692,3.98188,727.9999999999999,4.4662576687116555,675,4.141104294478527,2.38205,2.58908,16,56.54999923706055,25,NL,Freddy Peralta,642547,18679,18679
TOR,Blue Jays,9,9,23,44,0,1,,164,691,155,80,73,22,161,49,,6,4.0289,1.24427,8.81917,2.66479,3.30952,1.2055,0.232441,0.0702341,0.16220735758543015,,0.244323,0.294268,0.717145,3.92118,701,4.274390243902439,695,4.237804878048781,2.35078,1.70786,13,256.5799865722656,14,AL,Cody Ponce,664074,17920,17920
CLE,Guardians,9,10,31,31,0,0,,167,711,146,78,72,19,172,72,,8,3.86106,1.30756,9.2552,3.88992,2.37928,1.01907,0.24129,0.101413,0.13987677544355392,,0.231573,0.288853,0.730169,3.99609,726.4999999999999,4.350299401197604,692,4.1437125748503,2.34358,2.3768,17,143.5500030517578,5,AL,Gavin Williams,668909,30122,30122
CIN,Reds,10,11,31,31,0,0,,170,726,165,89,81,24,155,56,,8,4.31788,1.30389,8.23277,2.99103,2.75249,1.27241,0.213984,0.0777421,0.1362423598766327,,0.249372,0.292327,0.705165,4.28004,651.8,3.8341176470588234,656,3.8588235294117648,2.34347,2.20006,15,367.80999755859375,18,NL,Brady Singer,663903,25377,25377
NYY,Yankees,10,7,23,23,0,0,,134,556,114,58,54,18,143,41,,6,3.59063,1.15069,9.59983,2.71861,3.53115,1.23674,0.257206,0.072839,0.18436671048402786,,0.22329,0.273912,0.746046,3.82775,618.8,4.617910447761194,581,4.335820895522388,2.34057,2.37529,13,238.72000122070312,9,AL,Gerrit Cole,543037,13125,13125
TBR,Rays,8,7,24,24,0,0,,141,572,118,63,58,17,137,48,,6,3.70628,1.18294,8.75581,3.09848,2.82584,1.07453,0.239343,0.0846979,0.15464460849761963,,0.228186,0.278454,0.721758,3.90975,639.5,4.535460992907802,596,4.226950354609929,2.33915,2.46293,14,192.0800018310547,12,AL,Shane McClanahan,663556,21483,21483
LAA,Angels,7,6,21,21,0,0,,113,480,97,47,43,14,129,38,,5,3.41261,1.19038,10.2719,3.0073,3.41564,1.09454,0.269246,0.0788275,0.19041882455348969,,0.221907,0.283026,0.760927,3.5747,540.8,4.785840707964601,512,4.530973451327434,2.31383,2.40843,13,317.8800048828125,1,AL,Grayson Rodriguez,680570,24492,24492
MIA,Marlins,8,8,28,28,0,0,,133,552,109,58,53,18,150,46,,6,3.58697,1.17252,10.1483,3.14906,3.22263,1.21028,0.271344,0.0841994,0.18714438378810883,,0.218808,0.275533,0.749008,3.81608,623.4000000000001,4.6872180451127825,575,4.323308270676692,2.29882,2.6776,16,80.36000061035156,20,NL,Eury Pérez,691587,27768,27768
LAA,Angels,10,10,31,31,0,0,,168,723,156,83,76,24,168,60,,8,4.08963,1.28517,9.01828,3.22604,2.79547,1.28372,0.232614,0.0832113,0.14940311014652252,,0.237523,0.284405,0.726742,4.20355,674.4,4.014285714285714,660,3.9285714285714284,2.28454,2.18692,16,497.8399963378906,1,AL,Yusei Kikuchi,579328,20633,20633
PIT,Pirates,9,4,23,45,0,1,,147,627,139,67,61,15,139,49,,7,3.73061,1.2784,8.4962,2.98437,2.8469,0.9086,0.221511,0.0778076,0.14370308816432953,,0.243785,0.29796,0.726139,3.69338,655.9,4.461904761904762,654,4.448979591836735,2.26918,2.3369,14,243.8300018310547,27,NL,Braxton Ashcraft,677952,23793,23793
CHC,Cubs,9,8,26,26,0,0,,139,581,116,61,56,15,151,58,,7,3.61169,1.25151,9.8313,3.7517,2.62049,0.987727,0.260444,0.0993875,0.16105681657791138,,0.22384,0.286901,0.740715,3.77351,649.5000000000001,4.672661870503598,607,4.366906474820144,2.24684,2.57794,15,175.3300018310547,17,NL,Edward Cabrera,665795,21690,21690
KCR,Royals,9,6,24,34,0,1,,147,621,144,73,67,16,136,48,,7,4.08206,1.30668,8.31824,2.93561,2.83357,1.01036,0.218267,0.0770291,0.1412382274866104,,0.253861,0.30725,0.705771,3.86244,627.6,4.269387755102041,638,4.340136054421769,2.24678,1.87443,13,193.38999938964844,7,AL,Kris Bubic,663460,21455,21455
NYM,Mets,12,9,29,29,0,0,,164,709,157,79,72,17,145,64,,8,3.96862,1.3458,7.98399,3.48829,2.2888,0.917216,0.205105,0.0896125,0.11549229174852371,,0.2464,0.295293,0.71828,3.99475,670.3000000000002,4.087195121951221,673,4.103658536585366,2.22778,2.11711,16,485.54998779296875,25,NL,David Peterson,656849,20302,20302
SDP,Padres,10,9,29,29,0,0,,162,685,144,77,70,22,165,58,,8,3.91676,1.24722,9.18911,3.23819,2.83773,1.21339,0.241385,0.0850625,0.15632230043411255,,0.232127,0.282173,0.729253,4.06626,685.7999999999998,4.2333333333333325,656,4.049382716049383,2.21675,2.20744,16,128.80999755859375,29,NL,Michael King,650633,19853,19853
ARI,Diamondbacks,10,11,31,31,0,0,,181,764,175,92,85,23,166,60,,8,4.20871,1.29857,8.2713,2.96337,2.79118,1.13354,0.217509,0.077927,0.13958149403333664,,0.251765,0.300656,0.701998,4.06013,729.5,4.030386740331492,734,4.05524861878453,2.19894,2.26137,16,222.77999877929688,15,NL,Zac Gallen,668678,19291,19291
SEA,Mariners,12,10,31,31,0,0,,178,744,159,82,75,24,167,52,,8,3.79421,1.18945,8.46562,2.65173,3.19248,1.22187,0.224795,0.0704139,0.1543814092874527,,0.232709,0.274142,0.729447,4.03621,762.6,4.284269662921348,732,4.112359550561798,2.17291,2.13185,17,171.25999450683594,11,AL,Luis Castillo,622491,15689,15689
NYM,Mets,11,9,28,28,0,0,,150,652,141,69,63,13,131,60,,7,3.78976,1.34144,7.84737,3.61534,2.17058,0.806538,0.201215,0.092701,0.1085137203335762,,0.242053,0.291056,0.724951,3.90919,644.5,4.296666666666667,642,4.28,2.17198,2.28264,16,348.3699951171875,25,NL,Clay Holmes,605280,13649,13649
NYM,Mets,11,8,26,26,0,0,,145,622,128,65,59,15,144,61,,7,3.68773,1.30743,8.95505,3.81125,2.34964,0.921406,0.231211,0.0984029,0.1328084096312523,,0.230784,0.285994,0.738679,3.89566,639.7,4.411724137931035,614,4.23448275862069,2.1505,2.39237,15,88.3499984741211,25,NL,Nolan McLean,690997,33703,33703
