Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CHC,Cubs,152,560,614,143,84,28,6,25,91,91,33,1,151,9,6,6,2,32,8,0.255357,0.304276,0.460714,0.764991,0.326599,0.0537459,0.245928,0.218543,0.205357,7.66295,0.302564,,,79.3006,6.75178,13.4,2.29865,2.29865,4.75408,10.382311344146729,15.656025409698486,111.108,755.6,4.971052631,755.6,4.971052631,32.709999084472656,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
BAL,Orioles,133,489,559,124,76,28,1,19,65,66,62,2,89,3,5,0,10,1,0,0.253579,0.338104,0.431493,0.769597,0.334054,0.110912,0.159213,0.696629,0.177914,2.42329,0.272021,,,75.5805,9.53029,6.7,-0.717633,-0.717633,4.7169,9.893249034881592,16.969694137573242,116.105,667.8,5.021052631,667.8,5.021052631,151.0500030517578,0.1978022,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
LAD,Dodgers,136,496,579,133,75,25,2,31,87,96,78,5,82,2,2,1,9,21,3,0.268145,0.368512,0.514113,0.882625,0.376492,0.134715,0.141623,0.951219,0.245968,5.36868,0.264935,,,98.2347,29.8214,0.9,1.9812,1.9812,4.70221,32.17805624008179,-5.482275128364563,144.004,895.6,6.585294117,895.6,6.585294117,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
TOR,Blue Jays,126,418,476,113,82,17,0,14,43,62,48,2,56,4,6,0,15,1,0,0.270335,0.346639,0.411483,0.758122,0.330931,0.10084,0.117647,0.857143,0.141148,1.50007,0.279661,,,63.1515,6.90839,13.9,-0.671421,-0.671421,4.67706,6.685461044311523,22.644855499267578,113.113,553.6,4.393650793,553.6,4.393650793,158.9499969482422,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
LAD,Dodgers,137,532,613,146,91,30,2,23,91,87,71,3,72,4,6,0,9,9,2,0.274436,0.360522,0.468045,0.828567,0.357043,0.115824,0.117455,0.986111,0.193609,4.56975,0.277652,,,94.3232,21.8926,-3.7,-0.0951075,-0.0951075,4.67022,22.19494868069887,3.0570547580718994,130.68,836.7,6.10729927,836.7,6.10729927,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
ATL,Braves,119,444,529,127,78,21,1,27,101,71,78,3,110,6,1,0,8,24,5,0.286036,0.398866,0.52027,0.919136,0.395262,0.147448,0.20794,0.709091,0.234234,5.80102,0.324675,,,97.8131,35.3077,-4.4,1.70275,1.70275,4.51278,36.73896777629852,-10.231128692626953,155.881,871.2,7.321008403,871.2,7.321008403,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
TOR,Blue Jays,152,578,663,168,104,32,0,32,93,102,75,9,89,6,4,0,19,5,2,0.290657,0.375566,0.512111,0.887676,0.377676,0.113122,0.134238,0.842697,0.221453,2.70965,0.295011,,,113.124,34.7852,-1.2,-0.980929,-0.980929,4.48825,34.42896753549576,-13.380335092544556,145.315,1003.3,6.600657894,1003.3,6.600657894,18.299999237060547,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
PHI,Phillies,135,555,603,158,109,28,3,18,87,73,40,1,112,5,3,0,10,26,4,0.284685,0.33665,0.443243,0.779893,0.337611,0.066335,0.185738,0.357143,0.158559,6.29062,0.327103,,,83.2712,12.0221,2.1,2.55187,2.55187,4.32362,13.45015287399292,8.746825218200684,115.249,770.5,5.707407407,770.5,5.707407407,26.3799991607666,0.00714286,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
CIN,Reds,152,589,656,154,94,30,7,23,100,87,62,6,174,3,1,1,11,40,10,0.26146,0.334351,0.453311,0.787662,0.337974,0.0945122,0.265244,0.356322,0.191851,7.64392,0.333333,,,90.7837,13.2722,0.2,2.89477,2.89477,4.26219,12.402249574661255,7.431040480732918,112.228,859.5,5.654605263,859.5,5.654605263,8.529999732971191,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
SFG,Giants,152,572,650,137,83,27,1,26,85,85,68,2,157,4,6,0,10,11,3,0.23951,0.321538,0.426573,0.748112,0.324268,0.104615,0.241538,0.433121,0.187063,4.32368,0.281013,,,82.7201,5.91763,4.8,-0.0386081,-0.0386081,4.22987,7.752064660191536,11.964903354644775,110.113,752.1,4.948026315,752.1,4.948026315,131.00999450683594,0.00628931,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
TBR,Rays,151,585,637,158,95,27,0,36,83,115,44,1,119,3,5,0,24,6,1,0.270085,0.321821,0.500855,0.822676,0.350436,0.0690738,0.186813,0.369748,0.230769,3.12828,0.28046,,,94.5994,19.3329,-2.2,-0.140353,-0.140353,4.16844,18.677193447947502,0.1405348777770996,125.064,866.1,5.735761589,866.1,5.735761589,16.65999984741211,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
TEX,Rangers,142,522,599,135,82,28,2,23,83,75,68,3,135,5,4,0,7,21,5,0.258621,0.347245,0.452107,0.799353,0.345635,0.113523,0.225376,0.503704,0.193487,5.33213,0.304348,,,86.621,15.8446,8.6,1.14896,1.14896,4.16799,18.12393832206726,1.9972667694091797,124.044,787.7,5.547183098,787.7,5.547183098,39.849998474121094,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
NYM,Mets,137,555,598,163,114,31,1,17,73,80,37,1,97,3,3,0,16,5,4,0.293694,0.339465,0.445045,0.78451,0.339505,0.0618729,0.162207,0.381443,0.151351,2.91001,0.328829,,,83.5001,12.8418,4.8,-1.64813,-1.64813,4.13885,13.560199975967407,6.997237205505371,121.458,731.5,5.339416058,731.5,5.339416058,94.25,0.05035971,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
ARI,Diamondbacks,132,490,563,131,78,26,3,24,81,78,62,5,91,6,5,0,11,5,1,0.267347,0.353464,0.479592,0.833055,0.356231,0.110124,0.161634,0.681319,0.212245,4.58135,0.281579,,,86.2588,19.736,0.8,-0.340353,-0.340353,4.12974,18.76423606276512,2.868636190891266,128.631,772.4,5.851515151,772.4,5.851515151,32.060001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
ARI,Diamondbacks,152,504,603,132,90,25,4,13,86,68,74,1,76,8,7,10,6,20,5,0.261905,0.360877,0.404762,0.765639,0.337493,0.12272,0.126036,0.973684,0.142857,5.97556,0.281991,,,83.2133,11.9642,1.5,0.823527,0.823527,4.12526,12.111426174640656,8.146825313568115,115.794,722.7,4.754605263,722.7,4.754605263,76.68000030517578,0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
SFG,Giants,133,473,547,116,66,26,1,23,79,66,64,1,134,7,3,0,8,7,2,0.245243,0.341865,0.450317,0.792182,0.344054,0.117002,0.244973,0.477612,0.205074,4.20849,0.291536,,,78.399,13.7668,5,-0.316862,-0.316862,4.11653,15.026157140731812,7.009847164154053,123.666,694.6,5.22255639,694.6,5.22255639,164.55999755859375,0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
BAL,Orioles,152,584,663,160,84,37,1,38,84,113,57,6,145,14,8,0,21,1,1,0.273973,0.348416,0.535959,0.884375,0.372643,0.0859729,0.218703,0.393103,0.261986,2.12273,0.298288,,,110.414,32.0758,-3,-1.19317,-1.19317,4.07238,32.16425120830536,-15.18033504486084,142.688,994.3,6.541447368,994.3,6.541447368,24.450000762939453,0.01234568,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
