Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CIN,Reds,152,587,656,154,93,31,6,24,102,89,64,11,165,3,1,1,6,38,9,0.262351,0.337405,0.458262,0.795667,0.338654,0.097561,0.251524,0.387879,0.195911,7.36849,0.325815,,,91.1458,13.6343,0.5,2.93069,2.93069,4.33361,12.800264596939087,7.7310404777526855,112.694,873.1,5.744078947,873.1,5.744078947,999,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ATL,Braves,121,449,537,127,78,21,1,27,102,71,80,8,110,7,1,0,3,21,4,0.282851,0.39851,0.514477,0.912987,0.390464,0.148976,0.204842,0.727273,0.231626,5.68759,0.319489,,,97.2006,33.7499,-4.7,1.52547,1.52547,4.32235,34.99976825714111,-10.619311809539795,152.595,872.3,7.209090909,872.3,7.209090909,999,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
LAD,Dodgers,134,486,568,129,74,24,2,29,84,91,77,9,80,2,2,1,5,18,2,0.265432,0.366843,0.502058,0.868901,0.369289,0.135563,0.140845,0.9625,0.236626,5.28024,0.263852,,,93.0467,25.9332,0.7,1.83032,1.83032,4.24272,28.131805539131165,-5.561023056507111,139.069,855.6,6.385074626,855.6,6.385074626,999,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
CLE,Guardians,139,529,597,141,87,29,2,23,82,79,58,7,70,4,6,0,17,23,5,0.266541,0.340034,0.459357,0.799391,0.341117,0.0971524,0.117253,0.828571,0.192817,5.50544,0.266968,,,84.142,13.6019,2.5,1.61498,1.61498,4.23875,16.18807101249695,4.6935625076293945,120.711,788,5.669064748,788,5.669064748,999,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
BAL,Orioles,135,497,568,124,77,28,1,18,65,65,63,10,89,3,5,0,2,1,0,0.249497,0.334507,0.418511,0.753018,0.32271,0.110915,0.15669,0.707865,0.169014,2.43249,0.268354,,,71.5662,4.45267,6.1,-0.678023,-0.678023,4.19044,4.872631728649139,16.535038471221924,108.291,653.4,4.84,653.4,4.84,999,0.1978022,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ARI,Diamondbacks,152,504,603,132,89,25,4,14,86,68,74,6,75,8,7,10,1,19,4,0.261905,0.360877,0.410714,0.771591,0.336445,0.12272,0.124378,0.986667,0.14881,5.97521,0.279621,,,82.7003,11.4512,1.7,1.07265,1.07265,4.11873,11.847596883773804,8.346825361251831,115.077,733,4.822368421,733,4.822368421,999,0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
TOR,Blue Jays,124,412,469,110,80,16,0,14,43,60,47,15,55,4,6,0,2,1,0,0.26699,0.343284,0.407767,0.751051,0.317541,0.100213,0.117271,0.854545,0.140777,1.54374,0.275072,,,57.1241,1.70811,13.9,-0.565794,-0.565794,4.11733,1.5842115879058838,22.516254425048828,103.89,536.9,4.329838709,536.9,4.329838709,999,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
TBR,Rays,152,585,640,161,96,27,0,38,87,119,47,24,114,3,5,0,2,6,1,0.275214,0.329688,0.516239,0.845927,0.34741,0.0734375,0.178125,0.412281,0.241026,3.14637,0.280822,,,93.4726,17.8516,-1.6,-0.0149216,-0.0149216,4.10255,17.31888158991933,0.7515579462051392,122.98,910.7,5.991447368,910.7,5.991447368,999,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
LAA,Angels,147,544,610,141,82,32,1,26,88,85,43,10,141,18,3,2,4,21,8,0.259191,0.332237,0.465074,0.79731,0.339123,0.0704918,0.231148,0.304965,0.205882,5.37725,0.302632,,,84.9867,12.9105,-0.5,0.0458388,0.0458388,4.0382,12.250031925737858,6.22398567199707,116.975,789,5.367346938,789,5.367346938,999,0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
SDP,Padres,143,521,573,142,89,26,5,22,76,79,40,6,105,3,6,3,2,6,3,0.272553,0.324561,0.46833,0.792892,0.336004,0.069808,0.183246,0.380952,0.195777,4.75366,0.3,,,78.3808,10.6765,5.5,-0.860363,-0.860363,3.99532,12.380895674228668,7.605379104614258,119.498,716.9,5.013286713,716.9,5.013286713,999,0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
BOS,Red Sox,140,522,614,139,87,29,3,20,93,76,83,6,143,5,4,0,1,8,4,0.266284,0.369707,0.448276,0.817983,0.35433,0.135179,0.232899,0.58042,0.181992,4.72086,0.327824,,,93.1247,20.5759,7.5,-1.15375,-1.15375,3.92798,16.52720558643341,0.7319226264953613,124.432,813.6,5.811428571,813.6,5.811428571,999,0.24657534,OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
WSN,Nationals,152,569,656,152,87,35,2,28,91,96,81,8,185,3,3,0,6,15,6,0.267135,0.359756,0.483304,0.84306,0.36026,0.123476,0.282012,0.437838,0.216169,4.49828,0.345404,,,102.653,25.1415,-0.9,-0.533177,-0.533177,3.92345,24.653478264808655,-8.131040453910828,132.395,922,6.065789473,922,6.065789473,999,0.21153846,OF,/players/james-wood/29518/stats/batting,24,NL,James Wood,695578,29518,29518
PIT,Pirates,133,553,616,147,101,27,3,16,109,84,38,7,148,20,3,2,1,33,10,0.265823,0.333876,0.412297,0.746173,0.32316,0.0616883,0.24026,0.256757,0.146474,7.08099,0.334184,,,77.8391,5.05399,5.7,1.50137,1.50137,3.90757,5.207940101623535,12.490123271942139,105.077,724.7,5.44887218,724.7,5.44887218,999,0,SS,/players/konnor-griffin/sa3065496/stats/batting,27,NL,Konnor Griffin,804606,sa3065496,sa3065496
TOR,Blue Jays,152,578,663,166,104,31,0,31,92,100,75,19,87,6,4,0,9,4,2,0.287197,0.372549,0.50173,0.874279,0.367696,0.113122,0.131222,0.862069,0.214533,2.50725,0.290948,,,107.751,29.4127,-1.4,-1.11491,-1.11491,3.9044,28.92249619960785,-13.580335021018982,138.439,977.9,6.433552631,977.9,6.433552631,999,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
ATL,Braves,129,454,509,120,73,24,1,22,59,75,49,11,94,5,1,0,1,0,0,0.264317,0.341847,0.46696,0.808807,0.342885,0.0962672,0.184676,0.521277,0.202643,1.59099,0.289086,,,72.4699,12.3276,0,-0.765794,-0.765794,3.84555,11.300614893436432,9.351117134094238,120.002,662.1,5.132558139,662.1,5.132558139,999,0.11009174,C,/players/drake-baldwin/31539/stats/batting,16,NL,Drake Baldwin,686948,31539,31539
