Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TEX,Rangers,142.857,527.142,600,144.405,87.0592,27.0036,0.562701,29.7797,78.7551,86.6914,63.3093,3.20572,110.056,5.34886,4.2,0,,3.38063,1.03372,0.27394,0.355106,0.49678,0.851886,0.364643,0.105516,0.183427,0.575245,0.22284,2.7522,0.292781,,,96.0255,25.1309,0.6,-0.754031,-1.091,5.23895,23.870160698890686,7.028571248054504,135.199,852.3,5.96013986,852.3,5.96013986,94.87000274658203,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
SEA,Mariners,142.857,519.898,600,130.935,70.1918,24.7853,0.75383,35.2045,79.6892,91.8934,70.4781,3.11839,148.368,5.42343,4.2,0,,9.01667,3.11262,0.251848,0.344728,0.505564,0.850292,0.362522,0.117463,0.24728,0.475023,0.253716,3.48739,0.281127,,,94.9921,24.0975,4.62857,-0.415213,-0.632,5.22695,23.295776307582855,7.485714435577393,133.742,854.5,5.975524475,854.5,5.975524475,18.350000381469727,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
ARI,Diamondbacks,142.857,519.809,600,138.97,77.3709,28.117,7.36118,26.1212,96.9216,81.405,66.9351,3.29664,121.23,9.05582,4.2,0,,33.5106,7.00482,0.267349,0.358269,0.500517,0.858785,0.366852,0.111558,0.20205,0.552133,0.233168,7.82066,0.299606,,,97.1013,26.2067,-2.05714,2.84283,3.803,5.13939,29.839983463287354,0.08571410179138184,136.716,896.9,6.272027972,896.9,6.272027972,14.420000076293945,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
MIL,Brewers,142.857,545.726,600,162.034,97.2243,36.8076,3.12725,24.8748,85.3713,88.6936,45.9791,3.36905,99.1107,4.07992,4.2,0.0149,,25.3229,7.38327,0.296915,0.353497,0.512566,0.866063,0.368608,0.0766319,0.165185,0.463917,0.215651,5.71293,0.322015,,,97.9568,27.0622,-1.45714,1.09093,1.415,5.04399,28.307501792907715,0.6857142448425293,137.922,898.5,6.283216783,898.5,6.283216783,19.149999618530273,0.01324503,OF,/players/jackson-chourio/28806/stats/batting,23,NL,Jackson Chourio,694192,28806,28806
ATL,Braves,142.857,510.637,600,147.265,90.4901,25.9005,1.65427,29.2204,86.8151,85.0659,77.7255,4.13071,118.56,7.43768,4.2,0,,23.1592,5.37224,0.288395,0.387381,0.517267,0.904648,0.387151,0.129543,0.1976,0.655581,0.228872,5.11571,0.321599,,,106.99,36.0953,-2.22857,1.29947,1.697,5.04115,37.62262487411499,-8.657142639160156,150.66,956.3,6.687412587,956.3,6.687412587,5.420000076293945,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
PIT,Pirates,142.857,535.52,600,150.584,97.3689,28.1268,2.53514,22.5535,80.1958,77.2789,44.8954,2.71637,131.164,14.4485,4.2,0.936,,38.2216,9.38163,0.281193,0.350427,0.469528,0.819955,0.353319,0.0748256,0.218607,0.342284,0.188336,6.29891,0.331684,,,90.5088,19.6142,-0.796268,2.78575,3.73,5.02491,23.17448091506958,5.632303178310394,127.42,848.1,5.93076923,848.1,5.93076923,999,0,SS,/players/konnor-griffin/sa3065496/stats/batting,27,NL,Konnor Griffin,804606,sa3065496,sa3065496
CHC,Cubs,142.857,547.131,600,144.507,84.5862,30.5844,4.31038,25.0263,81.9541,82.4404,39.2615,2.15645,130.06,8.83319,4.2,0.574,,36.4131,9.96942,0.264118,0.321311,0.472997,0.794307,0.339519,0.0654358,0.216766,0.301872,0.208879,6.99356,0.301533,,,83.7863,12.8917,10.2,2.3383,3.122,4.96149,15.843994379043579,12.342856884002686,117.94,797.1,5.574125874,797.1,5.574125874,32.709999084472656,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
TOR,Blue Jays,142.857,529.074,600,146.045,100.757,26.5072,0.302467,18.4787,72.3861,69.7693,61.2664,2.26035,70.9987,4.48749,4.2,0.972,,1.65597,0.461238,0.276039,0.353571,0.432063,0.785633,0.342284,0.102111,0.118331,0.862922,0.156024,2.12089,0.287443,,,85.1334,14.2387,12.2286,-0.942017,-1.337,4.92372,12.732024073600769,15.08571481704712,119.839,734.9,5.139160839,734.9,5.139160839,158.9499969482422,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
TEX,Rangers,142.857,517.267,600,139.978,84.3179,29.3055,2.00779,24.3471,82.5272,80.2197,73.3571,3.1048,122.587,5.17562,4.2,0,,22.3216,5.54916,0.270611,0.364185,0.476234,0.840419,0.362197,0.122262,0.204312,0.598408,0.205623,5.18138,0.308734,,,94.8338,23.9392,-0.171429,1.13725,1.484,4.86306,25.253451108932495,1.9714284986257553,133.518,847.1,5.923776223,847.1,5.923776223,39.849998474121094,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
BAL,Orioles,142.857,531.17,600,149.944,87.3694,32.0606,1.41285,29.101,82.3484,90.2399,59.7643,3.46022,119.976,4.86573,4.2,0,,2.4355,1.94136,0.28229,0.357623,0.512328,0.869951,0.370821,0.0996072,0.199959,0.498137,0.230038,2.72247,0.312827,,,99.035,28.1404,-2.5047,-1.28853,-1.823,4.78891,26.14763832092285,0.35243868827819824,139.443,873.3,6.106993006,873.3,6.106993006,169.02999877929688,0.22580645,C,/players/samuel-basallo/28824/stats/batting,2,AL,Samuel Basallo,694212,28824,28824
