mlbam_id,name,position,age,pa_projected,pa_fullseason,games_missed_estimate,pa_disagreement,injury_risk_tier
663979.0,Kyle Datres,1B/3B,,225.64652,600,108.24303494117648,286.5531409106781,MODERATE
700840.0,Christian Olivo,OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
808696.0,Stiven Flores,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
570481.0,Erik González,3B/SS,,1.79326,600,161.57278217647058,,HIGH
661541.0,Donovan Casey,OF,,1.0,600,161.76176470588234,,HIGH
678362.0,Gilberto Jimenez,OF,,1.0,600,161.76176470588234,,HIGH
688394.0,Jordan Sprinkle,SS,,248.0,600,102.91764705882352,297.81761756708306,MODERATE
805058.0,Luis Marquez,2B/SS,,218.5,600,109.94558823529412,284.6149445596044,MODERATE
683270.0,Connor Dykstra,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
821672.0,Eduardo Rojas,C,,1.0,450,161.70545454545456,,HIGH
673990.0,Andy Thomas,C,,3.08263,450,161.09202534545454,,HIGH
689909.0,Jadiel Sanchez,OF,,1.0,600,161.76176470588234,,HIGH
598289.0,Bon Ki Shin,DH,,1.0,600,161.76176470588234,,HIGH
664334.0,Aaron Whitefield,OF,,1.0,600,161.76176470588234,,HIGH
683665.0,Alexander Suarez,OF,,1.0,600,161.76176470588234,,HIGH
823787.0,Rainiel Rodriguez,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
657669.0,Riley Mahan,2B,,1.0,600,161.76176470588234,,HIGH
671250.0,Jorge Ona,DH,,1.0,600,161.76176470588234,,HIGH
700385.0,Gabriel Silva,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
408234.0,Miguel Cabrera,1B/3B,,1.0,600,161.76176470588234,,HIGH
678803.0,Anthony Garcia,1B/OF,,1.0,600,161.76176470588234,,HIGH
823185.0,Zane Zielinski,SS,,273.5,600,96.84264705882353,317.72996920865575,LOW
680690.0,Korey Holland,OF,,234.25,600,106.19338235294117,290.24974877967884,MODERATE
800510.0,Samuel Gil,2B/SS,,250.25,600,102.38161764705882,299.27843780221343,MODERATE
643436.0,Ryan McBroom,1B/OF,,1.0,600,161.76176470588234,,HIGH
656448.0,Stone Garrett,OF,,230.706875,600,107.03747977941177,286.5716699577888,MODERATE
673461.0,Yoelqui Céspedes,OF,,1.0,600,161.76176470588234,,HIGH
683534.0,Efrenyer Narvaez,C,,1.0,450,161.70545454545456,,HIGH
656364.0,Greg Deichmann,OF,,1.0,600,161.76176470588234,,HIGH
812430.0,Heriberto Caraballo,C/1B,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
691464.0,Fernando Caldera,C,,176.75,450,109.93909090909092,286.3941049207077,MODERATE
801039.0,John Garcia,C,,235.75,450,92.56090909090908,290.95861675961186,LOW
666177.0,Carter Aldrete,1B/3B,,231.75,600,106.78897058823529,289.13361962940246,MODERATE
815067.0,Aidan Longwell,1B,,267.5,600,98.27205882352942,312.4105205228104,LOW
803849.0,Devin Fitz-Gerald,3B/SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
680960.0,Caleb Bartolero,3B,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
701816.0,John Cristino,C/1B,,197.5,450,103.82727272727273,282.4423244959343,MODERATE
807728.0,Carter Graham,1B/3B,,249.25,600,102.61985294117649,298.6216949028765,MODERATE
814522.0,Caden Kendle,OF,,242.25,600,104.28750000000001,294.3641452351152,MODERATE
800299.0,Diomedes Hernandez,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
674630.0,AJ Lewis,1B,,1.0,600,161.76176470588234,,HIGH
801471.0,Austin Deming,3B,,228.5,600,107.56323529411765,287.8060689654291,MODERATE
808289.0,Julio Zayas,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
703154.0,Yordany De Los Santos,SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
815044.0,Sam Mongelli,2B,,1.0,600,161.76176470588234,,HIGH
690956.0,Werner Blakely,3B/OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
691913.0,Jesus Castillo,2B,,250.75,600,102.2625,299.61127593377836,MODERATE
821041.0,Roldy Brito,2B/OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
805332.0,Justin Janas,1B/OF,,249.25,600,102.61985294117649,298.6216949028765,MODERATE
668843.0,Conner Capel,OF,,252.74632,600,101.78690611764706,299.18112904086985,LOW
692562.0,Alexis Hernandez,OF,,224.5,600,108.51617647058825,286.3663155237827,MODERATE
683172.0,Joe Naranjo,1B,,253.8275725,600,101.52931361029411,301.5835819000061,LOW
673064.0,Alex Hall,C,,1.0,450,161.70545454545456,,HIGH
676205.0,Tyler Hardman,1B/3B,,256.75,600,100.83308823529411,303.8336990306814,LOW
805126.0,Charlie Szykowny,1B/3B,,278.75,600,95.59191176470588,322.6787618256481,LOW
683569.0,Jose Colmenares,2B,,247.75,600,102.97720588235295,297.659061119709,MODERATE
800139.0,Reylin Perez,2B/SS,,208.25,600,112.3875,282.7783289669372,MODERATE
689959.0,Caeden Trenkle,OF,,216.2535125,600,110.48078084558824,284.08255937494175,MODERATE
689763.0,Kyler Castillo,OF,,1.0,600,161.76176470588234,,HIGH
702607.0,Dakota Jordan,OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
690988.0,Austin Hendrick,OF,,260.869285,600,99.85172916176471,304.3724789995172,LOW
821065.0,Queni Pineda,C,,1.0,450,161.70545454545456,,HIGH
815873.0,Sean Keys,1B/3B,,280.0,600,95.29411764705883,323.8960738673235,LOW
800370.0,Eduardo Guerrero,2B/SS,,249.25,600,102.61985294117649,298.6216949028765,MODERATE
821666.0,Santiago Camacho,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
800433.0,Elis Cuevas,1B/OF,,235.0,600,106.01470588235294,290.600527643476,MODERATE
800506.0,Luis Sanchez,2B/3B,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
800254.0,Abrahan Ramirez,2B/3B,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
694191.0,Pedro Pineda,OF,,236.25,600,105.71691176470588,291.201390793382,MODERATE
808099.0,Yoiber Ruiz,C/2B,,1.0,450,161.70545454545456,,HIGH
802511.0,Sam Shaw,2B/OF,,229.75,600,107.26544117647059,288.3000462481175,MODERATE
702501.0,Eli Serrano III,OF,,245.5,600,103.51323529411764,296.2662091205588,MODERATE
691476.0,Luis Encarnacion,1B,,233.25,600,106.43161764705883,289.79346093381747,MODERATE
680854.0,Junior Gonzalez,C,,1.0,450,161.70545454545456,,HIGH
703611.0,Maximus Martin,2B/SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
814528.0,Sam Kulasingam,2B,,282.25,600,94.75808823529412,326.12408170306384,LOW
676155.0,Will Frizzell,1B,,1.0,600,161.76176470588234,,HIGH
641924.0,Jacob Nottingham,C,,201.25,450,102.72272727272727,282.3737180876908,MODERATE
808767.0,Jared Wegner,OF,,214.1816925,600,110.97436149264706,283.1502814560816,MODERATE
690944.0,Curtis Washington Jr.,OF,,232.75,600,106.55073529411764,289.5702275211778,MODERATE
694318.0,Austin St. Laurent,2B/3B/SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
800281.0,Roynier Hernandez,2B,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
683007.0,Darius Perry,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
827504.0,Hector Salas,2B,,223.75,600,108.69485294117646,286.1204583154911,MODERATE
686981.0,Brenden Dixon,1B/3B,,214.7535125,600,110.83813378676471,283.7691219830257,MODERATE
668860.0,Kale Emshoff,C/1B,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
684855.0,Jared Dupere,OF,,1.0,600,161.76176470588234,,HIGH
686781.0,Brandon Lewis,1B/3B,,1.0,600,161.76176470588234,,HIGH
672850.0,Jorge Caballero,OF,,1.0,600,161.76176470588234,,HIGH
668787.0,Bryce Ball,1B,,1.0,600,161.76176470588234,,HIGH
810053.0,Caleb Ketchup,2B/OF,,253.5,600,101.60735294117647,301.49461023374863,LOW
699077.0,Jose Perez,3B,,204.5,600,113.28088235294118,282.4753676576656,MODERATE
806921.0,Yannic Walther,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
685388.0,Colin Simpson,1B/OF,,1.0,600,161.76176470588234,,HIGH
691397.0,Juan Garcia,C,,1.0,450,161.70545454545456,,HIGH
800327.0,Juan Perez,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
696510.0,Peyton Stovall,1B/2B,,224.0,600,108.63529411764706,286.20156067592177,MODERATE
669282.0,Tanner Murphy,OF,,1.0,600,161.76176470588234,,HIGH
641553.0,Adam Engel,OF,,1.0,600,161.76176470588234,,HIGH
691949.0,Jake Vogel,OF,,1.0,600,161.76176470588234,,HIGH
673516.0,Victor Mesa,OF,,1.0,600,161.76176470588234,,HIGH
693243.0,Garrett Pennington,1B/OF,,252.0,600,101.96470588235294,300.45631962067296,LOW
690992.0,Ed Howard,2B/SS,,226.75,600,107.98014705882352,287.1496415924399,MODERATE
657212.0,Evan Edwards,1B,,221.0,600,109.35000000000001,285.2846531682581,MODERATE
821237.0,Kevin Garcia,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
695517.0,Casey Cook,2B,,272.0,600,97.2,316.3658220056859,LOW
691645.0,Jefrey De Los Santos,2B/OF,,227.5,600,107.8014705882353,287.4259324881224,MODERATE
802353.0,Christian Martin,2B,,246.0,600,103.39411764705882,296.57039636484285,MODERATE
605548.0,Bradley Zimmer,OF,,1.0,600,161.76176470588234,,HIGH
699712.0,Raylin Heredia,OF,,214.5,600,110.89852941176471,283.7234569083071,MODERATE
693309.0,Isaiah Greene,OF,,1.0,600,161.76176470588234,,HIGH
647228.0,Adam Hall,2B/SS/OF,,218.0,600,110.06470588235294,284.4913589783235,MODERATE
691584.0,Yeremi Villahermosa,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
800348.0,Edwin Amparo,2B/SS,,237.0,600,105.53823529411765,291.57160355562746,MODERATE
815195.0,Wilder Dalis,3B/SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
703150.0,Ricky Cabrera,3B/SS,,238.25,600,105.2404411764706,292.20469423562196,MODERATE
681068.0,Jayce Easley,2B/OF,,1.0,600,161.76176470588234,,HIGH
678828.0,Dereck Salom,3B/SS,,1.0,600,161.76176470588234,,HIGH
808285.0,Alberth Palma,SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
677577.0,Ynmanol Mariñez,3B/SS,,1.0,600,161.76176470588234,,HIGH
808684.0,Javier Mogollon,2B/SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
682618.0,Misael Urbina,OF,,238.0,600,105.3,292.07647400409826,MODERATE
806621.0,Francisco Perez,C,,1.0,450,161.70545454545456,,HIGH
701206.0,Willy Montero,OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
657027.0,Nick Tanielu,3B,,1.0,600,161.76176470588234,,HIGH
800051.0,Austin Charles,3B/SS,,241.75,600,104.40661764705882,294.08317984316386,MODERATE
815464.0,Lisbel Diaz,OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
800329.0,Alexander Martinez,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
821073.0,Jirvin Morillo,C,,1.0,450,161.70545454545456,,HIGH
800440.0,Narciso Polanco,2B/3B,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
672013.0,T.J. Schofield-Sam,1B/3B,,272.25,600,97.14044117647059,316.5916139129399,LOW
803174.0,Anthony Stephan,OF,,245.75,600,103.45367647058825,296.41792006107414,MODERATE
827388.0,Eric Rataczak,OF,,227.75,600,107.74191176470588,287.5197094693394,MODERATE
684712.0,Wilber Sanchez,2B/SS,,218.5,600,109.94558823529412,284.6149445596044,MODERATE
682637.0,Eduardo Lopez,OF,,210.0,600,111.97058823529412,282.9876322385839,MODERATE
815608.0,Wyatt Sanford,2B/SS,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
800208.0,Axiel Plaz,C/1B,,225.25,450,95.65363636363637,286.61981206236715,LOW
828319.0,Marshall Toole,OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
692484.0,Jean Arnaez,1B/2B,,1.0,600,161.76176470588234,,HIGH
693809.0,Dilan Granadillo,C,,200.66666666666666,450,102.89454545454547,345.83281124458586,MODERATE
687553.0,Kamren James,3B,,217.75,600,110.12426470588235,284.4308644761793,MODERATE
800231.0,Won-Bin Cho,OF,,255.0,600,101.25,302.55908513875437,LOW
682191.0,Dawson Dimon,C,,1.0,450,161.70545454545456,,HIGH
687628.0,Justin Boyd,OF,,177.5,600,119.71323529411765,286.14739791466445,HIGH
694834.0,Tyler Wilson,OF,,240.25,600,104.7639705882353,293.2591288718335,MODERATE
702977.0,Dillon Head,OF,,200.66666666666666,600,114.19411764705882,345.83281124458586,MODERATE
808121.0,Daniel Campos,C/1B,,1.0,450,161.70545454545456,,HIGH
821079.0,Randy Soto,C/1B,,1.0,450,161.70545454545456,,HIGH
