name,mlbam_id,espn_id,primary_position,PA,pos_adj_werth,werth_mean_sim,werth_std_sim,werth_q10_sim,werth_q90_sim,werth_skew_sim,risk_adj_werth_mc,waiver_floor,draft_value_mc
Elly De La Cruz,682829,4917694.0,SS,640.106,4.768385860026637,4.768385860026637,2.5592062286749417,1.5568195117586947,8.044935786839444,0.009608937733317701,4.768457016720893,-4.7964571447799536,9.564914161500846
Yordan Alvarez,670541,36018.0,UTIL,552.026,4.764232486622592,4.764232486622592,2.962284973655919,0.9332953834290613,8.64831628033642,0.06557412772392734,4.766551875152659,-2.730910267246295,7.4974621423989545
Taylor Ward,621493,34923.0,OF,630.488,4.683570077633524,4.683570077633524,1.7029313441392706,2.490112826038042,6.897671820903167,-0.05923786556233342,4.683570077633523,-4.139623131043089,8.823193208676612
Roman Anthony,701350,5080767.0,OF,609.547,4.627618750503395,4.627618750503395,2.2072659443317226,1.763825732367589,7.600031266294048,0.11455843671159438,4.627618750503394,-4.139623131043089,8.767241881546482
Jarren Duran,680776,41610.0,OF,615.118,4.440012401602569,4.440012401602569,1.5928281136680236,2.497632218420402,6.487659061222515,0.035243047457148374,4.440012401602568,-4.139623131043089,8.579635532645657
Rafael Devers,646240,33859.0,3B,649.882,4.429332473766065,4.429332473766065,1.987555369354582,1.9324234681670667,7.076374620438438,-0.06409914089442245,4.429332473766066,-7.059204814833756,11.488537288599822
Byron Buxton,621439,32655.0,OF,524.422,4.363054429178082,4.363054429178082,2.356411180606038,1.3575474427828211,7.399624223091651,0.04077709614284466,4.363054429178082,-4.139623131043089,8.502677560221171
Jackson Merrill,701538,4872691.0,OF,606.458,4.10861096947487,4.10861096947487,1.8267606222939154,1.886121768185928,6.454578802250852,0.0356124507615872,4.10861096947487,-4.139623131043089,8.248234100517958
Matt Olson,621566,32767.0,1B,665.298,3.5711005230538917,3.5711005230538917,1.9808382495317287,1.0108613597611873,6.014641483033513,-0.0004026510430715474,3.571100523053892,-4.017505808029069,7.5886063310829615
Ian Happ,664023,34945.0,OF,625.633,3.5272551377195454,3.5272551377195454,1.3302046266193248,1.796913719744434,5.28345808677794,-0.06351096460764381,3.527255137719545,-4.139623131043089,7.666878268762634
Brice Turang,668930,41179.0,2B,633.227,3.447888605179057,3.447888605179057,1.4197534326094852,1.6397392799865596,5.264802314377021,0.047031225779979036,3.447888605179057,-2.730910267246295,6.178798872425352
Christian Yelich,592885,31283.0,OF,575.066,3.300816663148356,3.300816663148356,2.1528431300480935,0.5610888871341784,6.121570364381802,0.04143938550878853,3.3008166631483555,-4.139623131043089,7.440439794191445
Brandon Nimmo,607043,32159.0,OF,616.306,3.237176158015361,3.237176158015361,1.3637797001510135,1.52169302827117,4.96933988890851,0.03453609711798665,3.237176158015361,-4.139623131043089,7.37679928905845
Francisco Lindor,596019,32129.0,SS,627.473,3.0942870467401073,3.0942870467401073,2.051359089721983,0.45335660185502513,5.644341990864679,-0.07027806811991559,3.094287046740107,-4.7964571447799536,7.89074419152006
Teoscar Hernández,606192,33377.0,OF,554.113,2.98542576101629,2.98542576101629,1.4381303175157327,1.1157879154403851,4.892771027192176,0.01322771268144929,2.9854257610162893,-4.139623131043089,7.125048892059378
Kyle Stowers,669065,42796.0,OF,576.263,2.945122808356007,2.945122808356007,2.530913712812756,-0.2663427489161941,6.140839030627528,-0.078531569459825,2.948736711184784,-4.139623131043089,7.088359842227873
Freddie Freeman,518692,30193.0,1B,617.859,2.9005520436555403,2.9005520436555403,1.659181849969918,0.7811102348082923,4.978726463141187,-0.01463451681870164,2.9005520436555403,-4.017505808029069,6.91805785168461
William Contreras,661388,39895.0,C,599.924,2.86535087932654,2.86535087932654,2.6286755178652474,-0.4801625146829596,6.222482684545936,0.012895197089974832,2.865350879326539,-5.97741071772182,8.842761597048359
Jo Adell,666176,40854.0,OF,567.838,2.8466391160908313,2.8466391160908313,2.914357551904712,-0.8927754100954357,6.54640115984947,0.06308197946309632,2.853717223601249,-4.139623131043089,6.993340354644338
Zach Neto,687263,4666100.0,SS,633.958,2.5424024007796464,2.5424024007796464,1.9376602730212105,0.15153249028024263,4.971582206684944,-0.07285269571543847,2.5426454893009907,-4.7964571447799536,7.339102634080945
Andy Pages,681624,42468.0,OF,574.099,2.3646765914760346,2.3646765914760346,1.9413812680778844,-0.05232130952906598,4.866011621071417,0.05394518316774472,2.3646765914760346,-4.139623131043089,6.504299722519123
Trea Turner,607208,33710.0,SS,627.267,2.3537545994272335,2.3537545994272335,1.5548579731612708,0.3811278937930273,4.340060925303827,0.03932092760879489,2.3537545994272335,-4.7964571447799536,7.150211744207187
Jose Altuve,514888,31662.0,2B,600.028,2.3368018549454295,2.3368018549454295,1.5409314411759323,0.4311926727134576,4.31841199521705,0.014260362692011018,2.33680185494543,-2.730910267246295,5.067712122191725
Hunter Goodman,696100,4416591.0,C,554.818,2.2420140580348322,2.2420140580348322,2.269937213291776,-0.6707154025677191,5.185500522979812,0.0025755784241884203,2.2420140580348327,-5.97741071772182,8.219424775756652
Shea Langeliers,669127,42598.0,C,525.258,2.2140101178858984,2.2140101178858984,1.9508229519834677,-0.31971892433201876,4.672031163028871,-0.07766569486486115,2.214010117885898,-5.97741071772182,8.191420835607717
Manny Machado,592518,31097.0,3B,628.872,2.1681065549104868,2.1681065549104868,1.436390389555289,0.32718556567447304,4.02885200851516,0.13593154505510038,2.1681065549104863,-7.059204814833756,9.227311369744243
Bryan Reynolds,668804,38980.0,OF,632.325,2.013257542100548,2.013257542100548,1.3042434706414812,0.3484667930956893,3.641798726370517,0.06894553355958043,2.013257542100548,-4.139623131043089,6.1528806731436365
Heliot Ramos,671218,39642.0,OF,608.423,1.9356344139542223,1.9356344139542223,1.4580879089692893,0.03712839298885076,3.8058280404011726,0.009849205280794108,1.9356344139542225,-4.139623131043089,6.075257544997311
Austin Riley,663586,34982.0,3B,633.369,1.9075889657422331,1.9075889657422331,2.488047362443387,-1.272165245849145,5.0107503434876595,0.03931718094454297,1.907588965742233,-7.059204814833756,8.966793780575989
Michael Harris II,671739,42470.0,OF,572.297,1.8127778765249682,1.8127778765249682,2.055253770927334,-0.7150505726837871,4.397776682306893,0.016264913702537447,1.813304130824295,-4.139623131043089,5.952927261867384
Eugenio Suárez,553993,32367.0,3B,598.76,1.7643358839174548,1.7643358839174548,1.8593968434169763,-0.687740032783389,4.1271342076454856,0.05471215372982013,1.7643358839174548,-7.059204814833756,8.823540698751211
Gleyber Torres,650402,33804.0,2B,633.453,1.6585008160065549,1.6585008160065549,1.3494335386470384,-0.08721250592201037,3.3332132003458037,0.02871727970381198,1.6585709816257843,-2.730910267246295,4.389481248872079
Vinnie Pasquantino,686469,4109109.0,1B,628.892,1.648869185535695,1.648869185535695,1.6392609301422916,-0.467756767572746,3.7576350800576046,0.010221475166330216,1.6489172113864248,-4.017505808029069,5.666423019415494
Seiya Suzuki,673548,4142424.0,UTIL,583.407,1.5999494359412743,1.5999494359412743,1.4914797993789353,-0.3514110659490989,3.48781131918384,0.02518818226593542,1.6003997419346192,-2.730910267246295,4.331310009180914
Willson Contreras,575929,32532.0,C,563.1,1.5784234566121054,1.5784234566121054,2.5572622802520493,-1.6146912096921224,4.916017967867214,0.13176416417953576,1.5786984146580492,-5.97741071772182,7.556109132379869
Lawrence Butler,671732,4917919.0,OF,560.511,1.4771444123380126,1.4771444123380126,2.0424537972686365,-1.169075030453732,4.169296030659189,0.06232096599773376,1.4790318138721699,-4.139623131043089,5.618654944915258
Michael Busch,683737,42415.0,1B,590.713,1.2271348889484779,1.2271348889484779,1.9416252507754885,-1.3241471933675935,3.762663285742694,-0.06347992898245136,1.2309053877614502,-4.017505808029069,5.24841119579052
Daulton Varsho,662139,40963.0,OF,545.689,1.1970058161841752,1.1970058161841752,1.9515640228810252,-1.2259246187734887,3.640919829249,0.028186750469480763,1.1990574558514244,-4.139623131043089,5.3386805868945135
Adolis García,666969,35537.0,OF,562.256,1.1783066197408383,1.1783066197408383,1.8278703637947167,-1.1419694911378833,3.524096293121875,0.11316612594601326,1.1791897779956444,-4.139623131043089,5.3188129090387335
Josh Naylor,647304,35066.0,1B,607.595,1.10856539502173,1.10856539502173,1.7489539141655905,-1.0927111908969926,3.3663666864510198,0.06506677848283027,1.1086799432360976,-4.017505808029069,5.126185751265167
Iván Herrera,671056,41889.0,C,543.233,1.073543894739636,1.073543894739636,2.350654955588413,-1.9819301503651232,4.117216073019639,-0.013499646103270953,1.0738734648131967,-5.97741071772182,7.051284182535016
Steven Kwan,680757,41996.0,OF,643.076,1.0052870119036714,1.0052870119036714,2.496141059495893,-2.1874930287549676,4.188715479063661,0.06506361914218728,1.0194448216908163,-4.139623131043089,5.1590679527339045
Salvador Perez,521692,31127.0,C,576.679,1.0005396392720662,1.0005396392720662,2.283560910630525,-1.921214113013557,3.905536535138131,-0.0978110651079477,1.0011684089761799,-5.97741071772182,6.9785791266979995
Willy Adames,642715,33675.0,SS,649.765,0.9198984974754102,0.9198984974754102,1.93215763006494,-1.4836634082237372,3.408514922356666,0.05029746030565544,0.9209599168774272,-4.7964571447799536,5.717417061657381
Nico Hoerner,663538,41219.0,2B,607.739,0.8892598039968052,0.8892598039968052,1.7871973290462095,-1.3779194662451548,3.1705599891639755,0.10746548050938344,0.9021909080332196,-2.730910267246295,3.6331011752795144
Jakob Marsee,805300,4866735.0,OF,564.144,0.7818220304645531,0.7818220304645531,2.7061091953200647,-2.634829812977173,4.214168943122615,0.04079836388734385,0.8182077611221578,-4.139623131043089,4.957830892165246
Brenton Doyle,686668,42462.0,OF,561.57,0.6705370270293312,0.6705370270293312,1.7040379000932657,-1.5227570261781098,2.890345872546403,0.1182109887305545,0.6710446180698189,-4.139623131043089,4.810667749112907
Mike Trout,545361,30836.0,OF,502.21,0.5746097250786293,0.5746097250786293,3.0389443463162467,-3.330378650285966,4.388039227306913,0.0029512112652037162,0.6559538293278669,-4.139623131043089,4.795576960370956
Luis Robert Jr.,673357,39631.0,OF,522.7,0.5873437866285922,0.5873437866285922,2.4607426841415028,-2.5473901143647515,3.780233870926351,0.061923561248731836,0.6092049692322838,-4.139623131043089,4.7488281002753725
Alex Bregman,608324,34886.0,3B,641.594,0.5211693858212987,0.5211693858212987,2.0824535945873555,-2.144256957095258,3.138118546924359,-0.03408096475627502,0.5211693858212987,-7.059204814833756,7.580374200655055
Wilyer Abreu,677800,4990055.0,OF,504.652,0.4893322567175531,0.4893322567175531,2.379529510406526,-2.4429615622559075,3.6121931136846164,0.08058464763974559,0.5082703168039909,-4.139623131043089,4.647893447847079
Cody Bellinger,641355,33912.0,1B,594.564,0.5,0.5,1.7571153886065576,-1.7280421805527415,2.7251788229695073,-0.0017665567539834432,0.5036921989006664,-4.017505808029069,4.521198006929736
Marcus Semien,543760,32146.0,2B,577.487,0.5,0.5,1.3459505961216638,-1.202276014027343,2.2205365660872904,0.055198829421124564,0.5035632635128813,-2.730910267246295,3.2344735307591765
Luke Keaschall,807712,4977664.0,2B,534.215,0.04877624910392164,0.04877624910392164,3.475573911730947,-4.3336237106409214,4.4559977430782265,-0.010316398811076585,0.4622163036446608,-2.730910267246295,3.1931265708909558
Will Smith,669257,38309.0,C,497.475,0.3134985714965235,0.3134985714965235,1.9186889642587428,-2.1879962136578173,2.7558152852277065,-0.024458130064289325,0.31349857149652344,-5.97741071772182,6.290909289218343
Matt Chapman,656305,33857.0,3B,613.95,0.26837213949089767,0.26837213949089767,1.789816595057749,-1.9819340072054128,2.580739564312475,0.11807789299162948,0.26837213949089767,-7.059204814833756,7.327576954324654
Yandy Díaz,650490,33481.0,1B,615.855,0.20757016098924397,0.20757016098924397,1.9319336031090648,-2.2622239894507508,2.6796903075283467,-0.01872514125531593,0.21897265725904005,-4.017505808029069,4.236478465288109
Trent Grisham,663757,34995.0,OF,521.926,0.10351572304968482,0.10351572304968482,1.8622733623093493,-2.203697832388127,2.4859923578540353,0.060374908126601685,0.11071042385580739,-4.139623131043089,4.250333554898896
Ozzie Albies,645277,33783.0,2B,588.025,0.07252252558557437,0.07252252558557437,1.2541914132668792,-1.5120546040160434,1.6922843327540367,0.07085307727042778,0.07596619425175354,-2.730910267246295,2.8068764614980486
Ceddanne Rafaela,678882,4987382.0,OF,559.269,0.0,0.0,2.043424191006922,-2.6298361933576326,2.5661006829110273,0.056050093490066545,0.015437923733699751,-4.139623131043089,4.155061054776788
Drake Baldwin,686948,4810190.0,C,534.911,0.0,0.0,2.5422381929192666,-3.3340515337323984,3.263443521360583,-0.056573756675651156,0.01181563656802269,-5.97741071772182,5.989226354289842
Geraldo Perdomo,672695,41355.0,SS,648.084,0.0,0.0,2.2090474549138386,-2.7491265628013632,2.8842814168174096,0.03366248838704498,0.010745248525845259,-4.7964571447799536,4.807202393305799
Maikel Garcia,672580,4905884.0,3B,640.705,0.0,0.0,1.3928148163707417,-1.7947937337805535,1.8035621968402726,0.02574809464600497,2.1316282072803006e-17,-7.059204814833756,7.059204814833756
Brandon Lowe,664040,39961.0,2B,527.091,-0.10689668157101018,-0.10689668157101018,2.121571295417376,-2.8689106253037773,2.6376210272656255,0.0015773230482524915,-0.0008394255911626374,-2.730910267246295,2.7300708416551323
Dylan Crews,686611,4719511.0,OF,562.682,-0.3079683132112301,-0.3079683132112301,3.5471913025419433,-4.734617256002877,4.3516794091735145,0.09616151092477819,-0.07450233633954106,-4.139623131043089,4.065120794703548
Tyler Soderstrom,691016,4686066.0,1B,584.965,-0.2391642910533447,-0.2391642910533447,2.241095430732062,-3.094242109395064,2.6615997849504933,0.09149809690465273,-0.20326548278592943,-4.017505808029069,3.81424032524314
Ben Rice,700250,5016968.0,1B,541.364,-0.2796323480001057,-0.2796323480001057,2.0148037408088975,-2.9424063474567017,2.3271613641997146,0.029569091897825542,-0.2568376971379907,-4.017505808029069,3.7606681108910784
Niko Kavadas,694359,,1B,22.3893,-22.755936145425107,-22.755936145425107,22.429952100358772,-40.77759796172032,10.331653526641764,1.3929913452586125,-0.2802770194382945,-4.017505808029069,3.737228788590775
Corey Seager,608369,32691.0,SS,528.594,-0.32179964347448753,-0.32179964347448753,2.5095668176241417,-3.5695997385653055,2.9353085464096274,0.036349606818517066,-0.2888767257716654,-4.7964571447799536,4.507580419008288
Jorge Polanco,593871,32525.0,2B,507.071,-0.47714762458244486,-0.47714762458244486,2.029040429658686,-3.0628883808514016,2.161511237431118,0.09127895762875492,-0.3507357830501288,-2.730910267246295,2.380174484196166
Bryson Stott,681082,42417.0,2B,558.607,-0.385163481795777,-0.385163481795777,1.3383168899625504,-2.1135469265943327,1.3416790795137192,0.01738961036481825,-0.3647768733419531,-2.730910267246295,2.366133393904342
Dustin Harris,687957,4917924.0,OF,26.872,-19.305494882460845,-19.305494882460845,20.509840810962228,-38.16715008841342,10.40119396236411,1.2376041021814865,-0.3899942539566438,-4.139623131043089,3.7496288770864448
Matt Wallner,670242,42427.0,OF,480.821,-0.6386294052913373,-0.6386294052913373,3.098329649947014,-4.646125685638156,3.3171442945969316,0.04950315225201035,-0.43837824457171104,-4.139623131043089,3.7012448864713776
Colton Cowser,681297,4416990.0,OF,512.583,-0.512412951354694,-0.512412951354694,2.3493875636620185,-3.5837398563395944,2.4927153692171014,-0.004157945297147415,-0.44876548118886206,-4.139623131043089,3.6908576498542267
Donovan Solano,456781,29703.0,2B,20.711,-20.01528956714927,-20.01528956714927,16.709841324464712,-33.492422574698836,5.02889518959758,1.3094590093387395,-0.5178039344279624,-2.730910267246295,2.2131063328183327
Ramón Laureano,657656,35142.0,OF,510.695,-0.66548832480506,-0.66548832480506,2.63140799045627,-3.9709805019695947,2.68698697201381,0.05256996797395144,-0.5499099949588652,-4.139623131043089,3.5897131360842236
Spencer Torkelson,679529,4424286.0,1B,615.307,-0.6891386833450011,-0.6891386833450011,2.0920492464005727,-3.386743884180216,2.0570917466220866,0.06813650968944134,-0.6455952401185591,-4.017505808029069,3.3719105679105104
CJ Abrams,682928,42402.0,SS,613.753,-0.6803999904136031,-0.6803999904136031,1.6224736016103798,-2.7642327204297428,1.4566100660511003,0.09761241342490046,-0.6788445570345927,-4.7964571447799536,4.117612587745361
Daylen Lile,695734,4917889.0,OF,549.729,-0.9286609490393536,-0.9286609490393536,2.734202933070569,-4.510640572623749,2.582392462433911,0.004293931512107556,-0.7654973287604732,-4.139623131043089,3.3741258022826157
Agustín Ramírez,682663,5132014.0,C,519.073,-0.8583386446567411,-0.8583386446567411,2.9497134432079095,-4.570306957051838,2.981397843926824,0.1113136343212284,-0.8147971067756639,-5.97741071772182,5.162613610946156
Xavier Edwards,669364,41326.0,2B,579.72,-1.1020420312034727,-1.1020420312034727,2.109667035964148,-3.8017008678231936,1.5453613577407068,0.03537427280790063,-0.8357805294668869,-2.730910267246295,1.895129737779408
Mickey Moniak,666160,36181.0,OF,471.486,-1.0900834816557339,-1.0900834816557339,2.95583638982961,-4.971735930157514,2.6255800179750435,-0.013908510837098698,-0.852223376152278,-4.139623131043089,3.287399754890811
Otto Lopez,672640,41917.0,2B,563.386,-1.0379123078417853,-1.0379123078417853,1.7469740631333526,-3.233073187474795,1.2505825479085333,-0.019476126156045912,-0.8863518482749183,-2.730910267246295,1.8445584189713768
Adley Rutschman,668939,42178.0,C,559.523,-0.9260049241852553,-0.9260049241852553,1.6561926679834669,-3.044543269492111,1.2370410249902035,0.01849893666549943,-0.9257507790677434,-5.97741071772182,5.051659938654076
Matt McLain,680574,4422899.0,2B,546.18,-1.1764381531902908,-1.1764381531902908,1.9384636025556583,-3.6261126307315514,1.3805864099408418,0.04010419608645735,-0.9500157686752039,-2.730910267246295,1.780894498571091
Brendan Donovan,680977,41773.0,2B,565.869,-1.0530779966176897,-1.0530779966176897,1.517815925595912,-2.9989186144790505,0.8742236835450352,0.1215364995005852,-0.9544173271078699,-2.730910267246295,1.776492940138425
Dansby Swanson,621020,34895.0,SS,629.832,-1.0290568145094683,-1.0290568145094683,2.239495409174653,-3.9014071031849844,1.9275905670171014,0.09016110895711016,-0.9931777007135797,-4.7964571447799536,3.8032794440663737
Bo Bichette,666182,38904.0,SS,614.242,-1.0392936090064417,-1.0392936090064417,2.248733105384615,-4.014776335811926,1.821990222133129,0.08081874190731286,-1.0051919363866069,-4.7964571447799536,3.7912652083933467
TJ Friedl,670770,36020.0,OF,576.472,-1.091172475325851,-1.091172475325851,1.648823771999845,-3.1495870455001147,1.0370181468121542,-0.046428535647284185,-1.0687751498561242,-4.139623131043089,3.0708479811869642
Oneil Cruz,665833,39712.0,SS,533.036,-1.1008841315795421,-1.1008841315795421,1.7881480585796943,-3.3921752304899777,1.0989481091797335,0.026051064820268244,-1.088005643932975,-4.7964571447799536,3.7084515008469783
Chandler Simpson,802415,4679983.0,OF,447.704,-4.139623131043089,-4.139623131043089,7.598393738303488,-13.800712325539898,5.571296469947856,0.13690086593294223,-1.1089951299450336,-4.139623131043089,3.030628001098055
Jordan Beck,687597,4619460.0,OF,540.937,-1.1558854808468446,-1.1558854808468446,1.8633901772895118,-3.596586581532599,1.2036267156710747,0.05840713901012299,-1.1157197089467878,-4.139623131043089,3.023903422096301
Wade Meckler,685133,,OF,33.9194,-19.347870707593472,-19.347870707593472,18.261505817884018,-35.30570651721697,7.9102824054261935,1.2614948539383073,-1.1318488766135042,-4.139623131043089,3.0077742544295845
Alec Burleson,676475,4345070.0,UTIL,574.63,-1.486010092007746,-1.486010092007746,1.5221372831648716,-3.3893480773975773,0.4618546319017717,0.059653485346305685,-1.3132953197924666,-2.730910267246295,1.4176149474538284
Munetaka Murakami,808959,4872595.0,1B,547.297,-1.5699536993540861,-1.5699536993540861,2.1277091790036464,-4.286892138933115,1.2002444426657846,0.08176847766519123,-1.4432442078388998,-4.017505808029069,2.5742616001901695
Jackson Holliday,702616,5080633.0,2B,504.586,-2.730910267246295,-2.730910267246295,3.2151710110514253,-6.7974680294738254,1.4317267452445854,0.10182322326265149,-1.4585628225952865,-2.730910267246295,1.2723474446510086
Yainer Diaz,673237,4781491.0,C,518.929,-1.4865799343953627,-1.4865799343953627,1.866716031291761,-3.820942299426077,0.9612680809818458,0.07639216368546425,-1.482777352829517,-5.97741071772182,4.4946333648923025
Jac Caglianone,695506,4926296.0,OF,494.439,-2.1881440249663315,-2.1881440249663315,3.734134693893245,-6.943075945764552,2.5862087603407238,0.015556903897657194,-1.4850048519500938,-4.139623131043089,2.654618279092995
Luis García Jr.,671277,40459.0,2B,505.087,-2.172003500402142,-2.172003500402142,2.265190343354079,-5.129490451448093,0.6559037383787434,-0.0769209188178119,-1.522668509377681,-2.730910267246295,1.208241757868614
Sal Frelick,686217,4417795.0,OF,546.915,-1.7237460294318536,-1.7237460294318536,2.3664883060212323,-4.715020210463362,1.328292907208232,0.12611595710559323,-1.5475263875888863,-4.139623131043089,2.5920967434542024
Jung Hoo Lee,808982,5134621.0,OF,569.082,-1.8129715281995615,-1.8129715281995615,2.406029869070388,-4.8494013780461565,1.331470381672729,0.03151165473937775,-1.6081020059462474,-4.139623131043089,2.531521125096841
Ji Hwan Bae,678225,40896.0,2B,25.1718,-19.27367074507286,-19.27367074507286,12.717262336022046,-31.94453195163401,-0.6374432186178527,1.0621292713409207,-1.6593370633630296,-2.730910267246295,1.0715732038832655
José Caballero,676609,42135.0,2B,367.152,-5.471024137357862,-5.471024137357862,5.371011032896474,-12.498363889391136,1.6541904324396877,0.029945069112131354,-1.674583658557686,-2.730910267246295,1.056326608688609
Kerry Carpenter,681481,42714.0,UTIL,473.137,-3.1653840204522616,-3.1653840204522616,2.987119057877728,-6.909106729040526,0.7222631810640784,0.13425500954211306,-1.7269055552698167,-2.730910267246295,1.0040047119764783
