,PA,R,HR,TB,RBI,SBN,OBP
PA,1.0,0.9816231915146532,0.912177248051948,0.9812899288544455,0.9773196119926773,0.6963268600938103,0.20723500524128732
R,0.9816231915146532,1.0,0.9443195222293421,0.9932515167321312,0.9903521380506223,0.7100738083043584,0.30381628194478805
HR,0.912177248051948,0.9443195222293421,1.0,0.9595463003678215,0.9640767836723929,0.6212460383045723,0.3585303608705354
TB,0.9812899288544455,0.9932515167321312,0.9595463003678215,1.0,0.9958092652303084,0.6936567984081982,0.3094946124760581
RBI,0.9773196119926773,0.9903521380506223,0.9640767836723929,0.9958092652303084,1.0,0.6811599104155454,0.30892669731122757
SBN,0.6963268600938103,0.7100738083043584,0.6212460383045723,0.6936567984081982,0.6811599104155454,1.0,0.19495248334118653
OBP,0.20723500524128732,0.30381628194478805,0.3585303608705354,0.3094946124760581,0.30892669731122757,0.19495248334118653,1.0
