mlbam_id,name,age,ip_projected,ip_fullseason,games_missed_estimate,ip_disagreement,injury_risk_tier
669373.0,Tarik Skubal,,194.5064285714286,200,10.397233201581027,7.067108504830505,LOW
694973.0,Paul Skenes,,188.81342857142857,200,10.317193675889328,6.164018355400502,LOW
676979.0,Garrett Crochet,,191.26500000000001,200,10.394268774703557,7.060269706840761,LOW
519242.0,Chris Sale,,161.73642857142858,200,30.99349285714285,21.561204108746978,LOW
554430.0,Zack Wheeler,,150.74557142857142,200,39.89608714285714,24.790677763070153,LOW
650911.0,Cristopher Sánchez,,193.14014285714285,200,10.50098814229249,8.663289241171073,LOW
666142.0,Cole Ragans,,160.42314285714286,200,32.057254285714286,23.97516959570583,LOW
594798.0,Jacob deGrom,,167.45928571428573,200,26.357978571428564,16.82122848976144,LOW
663556.0,Shane McClanahan,,135.92585714285715,200,51.9000557142857,31.299281575506765,LOW
808967.0,Yoshinobu Yamamoto,,164.76257142857142,200,28.542317142857147,15.515608419235376,LOW
660271.0,Shohei Ohtani,,121.722,200,63.40518,35.965708686655034,LOW
543243.0,Sonny Gray,,174.85042857142858,200,20.371152857142846,13.705184272835623,LOW
656302.0,Dylan Cease,,174.77414285714283,200,20.432944285714306,11.020491904153998,LOW
695505.0,Chase Burns,,125.98685714285713,200,59.95064571428572,32.737491323295636,LOW
607192.0,Tyler Glasnow,,138.32542857142857,200,49.956402857142855,28.452412802532482,LOW
657277.0,Logan Webb,,199.07771428571428,200,10.154150197628459,3.8653231738232807,LOW
605483.0,Blake Snell,,137.3077142857143,200,50.78075142857143,28.946426432948424,LOW
680694.0,Kyle Bradish,,144.8832857142857,200,44.64453857142858,29.149941084641924,LOW
664285.0,Framber Valdez,,189.62914285714285,200,10.423913043478262,7.545251385884402,LOW
608331.0,Max Fried,,185.11885714285717,200,12.053725714285697,8.714553620784244,LOW
686613.0,Hunter Brown,,181.83914285714286,200,14.710294285714278,8.981980598742714,LOW
668881.0,Hunter Greene,,102.15961428571428,200,79.25071242857143,48.479697748522476,LOW
666200.0,Jesús Luzardo,,178.32842857142856,200,17.553972857142863,11.032451040108036,LOW
657746.0,Joe Ryan,,171.16657142857144,200,23.355077142857137,13.010943827628887,LOW
543135.0,Nathan Eovaldi,,161.7707142857143,200,30.965721428571417,28.87084676459563,LOW
669302.0,Logan Gilbert,,168.79,200,25.280100000000004,13.02422271513096,LOW
813349.0,Connelly Early,,71.56744285714286,200,104.0303712857143,61.69356980614909,HIGH
656876.0,Drew Rasmussen,,161.08242857142858,200,31.523232857142848,19.353743762358942,LOW
624133.0,Ranger Suarez,,170.41657142857144,200,23.962577142857125,13.336042427161352,LOW
605540.0,Brandon Woodruff,,149.49500000000003,200,40.90904999999998,30.36521392426977,LOW
641154.0,Pablo López,,86.47726750000001,200,91.95341332499999,98.80769283343389,MODERATE
669923.0,George Kirby,,171.44914285714285,200,23.126194285714288,15.196583809402378,LOW
680885.0,Spencer Schwellenbach,,97.59297142857143,200,82.94969314285713,48.92240752241296,LOW
680570.0,Grayson Rodriguez,,121.3972857142857,200,63.66819857142858,34.59196626730107,LOW
650633.0,Michael King,,159.89528571428573,200,32.48481857142856,23.08893916802506,LOW
669456.0,Shane Bieber,,122.33011428571429,200,62.91260742857142,35.66841356398444,LOW
686218.0,Emmet Sheehan,,141.804,200,47.138760000000005,32.39778413719062,LOW
667755.0,José Soriano,,172.53442857142858,200,22.247112857142852,16.434563901091124,LOW
691587.0,Eury Pérez,,145.3192857142857,200,44.29137857142857,26.96552620609189,LOW
693433.0,Bryan Woo,,187.71242857142857,200,10.729249011857707,12.8921033693387,LOW
664074.0,Cody Ponce,,145.491,200,44.15228999999999,13.963287836322792,LOW
669022.0,MacKenzie Gore,,164.3834285714286,200,28.849422857142834,14.9659935281863,LOW
683003.0,Jared Jones,,109.94308571428571,200,72.94610057142857,40.03921859570641,LOW
666129.0,Braxton Garrett,,123.40771428571429,200,62.03975142857143,34.03779346899701,LOW
675911.0,Spencer Strider,,160.39685714285716,200,32.078545714285696,18.307170538967977,LOW
605400.0,Aaron Nola,,172.33242857142858,200,22.410732857142847,18.34874209001027,LOW
642547.0,Freddy Peralta,,168.7861428571429,200,25.28322428571426,13.109129190867606,LOW
669203.0,Corbin Burnes,,77.501,200,99.22419000000001,68.7967162647317,MODERATE
656427.0,Jack Flaherty,,162.58457142857145,200,30.306497142857122,17.186040399668784,LOW
657006.0,Justin Steele,,102.38964285714285,200,79.0643892857143,46.65742573127587,LOW
702056.0,Trey Yesavage,,127.68457142857143,200,58.57549714285714,31.775603906441297,LOW
592332.0,Kevin Gausman,,180.78957142857143,200,15.560447142857136,10.58406016701755,LOW
663460.0,Kris Bubic,,145.76314285714287,200,43.93185428571427,27.2673173257447,LOW
805673.0,Zebby Matthews,,122.99528571428571,200,62.37381857142858,34.28421054807536,LOW
666157.0,Nick Lodolo,,157.0217142857143,200,34.812411428571416,19.31082154056188,LOW
687888.0,Brandon Walter,,47.806393333333325,200,123.27682140000002,78.26782523614123,VERY_HIGH
571927.0,Steven Matz,,130.39542857142857,200,56.37970285714287,38.81020411720412,LOW
681857.0,Reese Olson,,77.695355,200,99.06676245,94.04004328460705,MODERATE
656492.0,Foster Griffin,,128.577,200,57.85262999999999,21.34437021792866,LOW
601713.0,Nick Pivetta,,172.56957142857144,200,22.21864714285714,12.911055377171182,LOW
543037.0,Gerrit Cole,,134.316,200,53.20403999999999,30.197665251914206,LOW
686752.0,Ryan Pepiot,,169.82799999999997,200,24.439320000000016,15.986328784308169,LOW
605397.0,Joe Musgrove,,143.23757142857144,200,45.977567142857126,34.99649039954884,LOW
656731.0,Tylor Megill,,74.9073125,200,101.325076875,93.09136746886877,MODERATE
808963.0,Roki Sasaki,,120.91314285714284,200,64.06035428571428,35.73536962836946,LOW
579328.0,Yusei Kikuchi,,170.416,200,23.963040000000007,15.127236925493039,LOW
663554.0,Casey Mize,,150.74142857142857,200,39.89944285714285,22.131422803012786,LOW
640455.0,Sean Manaea,,134.981,200,52.66539,29.673248367286426,LOW
607074.0,Carlos Rodón,,153.6822857142857,200,37.51734857142858,22.381935049754492,LOW
670912.0,Johan Oviedo,,111.61757142857142,200,71.58976714285714,38.26556804255031,LOW
676917.0,Cade Cavalli,,142.78471428571427,200,46.344381428571445,29.34035330231662,LOW
701656.0,Logan Henderson,,105.54481428571428,200,76.50870042857144,41.056122306603214,LOW
672282.0,Reid Detmers,,146.95442857142856,200,42.96691285714285,25.850580598619334,LOW
518876.0,Merrill Kelly,,169.95642857142857,200,24.335292857142864,13.851903549779037,LOW
665795.0,Edward Cabrera,,145.53185714285715,200,44.11919571428571,23.46056527756433,LOW
690997.0,Nolan McLean,,155.2365714285714,200,36.25837714285716,19.212580798851075,LOW
656557.0,Tanner Houck,,57.73495333333333,200,115.23468779999999,77.76590245995135,VERY_HIGH
477132.0,Clayton Kershaw,,78.2060575,200,98.653093425,94.24175202870484,MODERATE
671737.0,Taj Bradley,,148.08642857142857,200,42.049992857142854,22.817526303678225,LOW
677958.0,Kumar Rocker,,109.32857142857142,200,73.44385714285715,40.872872256983776,LOW
676974.0,Max Meyer,,135.11285714285714,200,52.55858571428571,37.605081976724776,LOW
625643.0,Reynaldo López,,143.94785714285715,200,45.402235714285716,29.662949529834755,LOW
645261.0,Sandy Alcantara,,181.913,200,14.65046999999999,12.068213261843416,LOW
