,IP,K,QS,ERA,WHIP,KBB,SVHD
IP,1.0,0.967228625391348,-0.0981633209206741,0.14160885039964816,0.010756780268310378,0.057668631707156755,-0.039689911729851646
K,0.967228625391348,1.0,-0.12441193109943205,0.09067220579768376,0.04210309310132286,0.10618362469472632,-0.05264676087960169
QS,-0.0981633209206741,-0.12441193109943205,1.0,-0.013340339747365947,0.02218001022218618,0.000267563711059442,0.019839898379110002
ERA,0.14160885039964816,0.09067220579768376,-0.013340339747365947,1.0,0.4802700318924698,-0.3985814104265106,0.024139405229032757
WHIP,0.010756780268310378,0.04210309310132286,0.02218001022218618,0.4802700318924698,1.0,-0.28380041613066703,0.005421863565127913
KBB,0.057668631707156755,0.10618362469472632,0.000267563711059442,-0.3985814104265106,-0.28380041613066703,1.0,0.03266357421334122
SVHD,-0.039689911729851646,-0.05264676087960169,0.019839898379110002,0.024139405229032757,0.005421863565127913,0.03266357421334122,1.0
